model,model_label,scenario,scenario_label,raw_rows,accepted_rows,excluded_rows,zero_max_abs_mean_pull,zero_worst_signed_mean_pull,zero_worst_mass_MeV,zero_ci90_excluding_zero_cells,zero_cells,pull_width_min_all_strengths,pull_width_max_all_strengths,injected_mean_pull_min,injected_mean_pull_max,z5_median_recovery_min,z5_median_recovery_max,z5_median_paired_response_min,z5_median_paired_response_max,boundary_contact_rows,boundary_contact_fraction,selected_extraction_upper_factor,production_card_upper_factor,strict_generator_qualified,signal_rigidity_passed,allowed_interpretation
knot_spline,fixed two-knot log spline,2021_1pct,native 1%,400,400,0,0.9573875220102911,0.9573875220102911,65.0,2,5,0.867254124963751,1.4399888897161262,-0.3033653775860404,0.9483318798469996,0.8995198650841808,1.1642167169284747,0.9789792226772115,0.9938704793111797,345,0.8625,25.0,15.0,False,False,requested conditional stress only
knot_spline,fixed two-knot log spline,2021_1pct_x10,1% x 10,400,400,0,1.3155035235463064,-1.3155035235463064,65.0,3,5,0.678427767435001,1.1393946654711156,-1.41505439690371,0.14987697113602735,0.7397153791106963,1.0167980826617902,0.977277717702844,0.9846803178174037,0,0.0,25.0,15.0,False,False,requested conditional stress only
knot_spline,fixed two-knot log spline,2021_1pct_x100,1% x 100,400,400,0,0.2086190588415521,0.2086190588415521,180.0,0,5,0.6944363214059152,1.458456676015962,-0.2204048475764407,0.18842500756927347,0.9668762057626831,1.0892075133027448,0.9707765167770402,0.9830506274511556,0,0.0,25.0,15.0,False,False,requested conditional stress only
knot_spline,fixed two-knot log spline,2021_10pct,native 10%,400,400,0,1.6586645637319393,-1.6586645637319393,65.0,2,5,0.6648872465391239,0.9503634832380696,-1.759336713767846,0.1447272534111847,0.6173170577933635,1.0271285879611405,0.97479508772777,0.9859991973801675,0,0.0,25.0,15.0,False,False,requested conditional stress only
knot_spline,fixed two-knot log spline,2021_10pct_x10,10% x 10,400,400,0,0.34703253246723853,-0.34703253246723853,65.0,0,5,0.689796594212025,1.3054385652371132,-0.48619293658838697,0.2858072582320556,0.8847989855402512,1.0235145144123985,0.9728380760616884,0.9837185837426565,0,0.0,25.0,15.0,False,False,requested conditional stress only
regional_blend,three-region log blend,2021_1pct,native 1%,400,400,0,3.1425093130096102,-3.1425093130096102,90.0,4,5,0.9677256800351812,1.1376578500529826,-3.2254651759684925,2.8291665638729766,0.37449659738334645,1.5217822126513976,0.9735713169862016,0.9855013665041104,0,0.0,25.0,15.0,False,False,requested conditional stress only
regional_blend,three-region log blend,2021_1pct_x10,1% x 10,400,400,0,4.229162578144939,4.229162578144939,210.0,4,5,0.9433830512397549,1.520595743124565,-1.0882902359679945,4.179558798559883,0.7520558964119493,1.8094838732183713,0.9583154330327,0.9794430335379488,0,0.0,25.0,15.0,False,False,requested conditional stress only
regional_blend,three-region log blend,2021_1pct_x100,1% x 100,400,400,0,7.558108620192097,7.558108620192097,210.0,4,5,0.8766820517975974,2.704223471861546,-2.5050934293458478,7.519284272835611,0.4732218657171451,2.6361526849309875,0.9567772109726955,0.9798457266626202,0,0.0,25.0,15.0,False,False,requested conditional stress only
regional_blend,three-region log blend,2021_10pct,native 10%,400,400,0,4.4720710851684045,4.4720710851684045,210.0,4,5,0.6249999411311161,1.282939221558593,-0.9219077687294165,4.435465280299974,0.8027127551457488,1.8419798645297747,0.9594923134582678,0.9746615916058139,0,0.0,25.0,15.0,False,False,requested conditional stress only
regional_blend,three-region log blend,2021_10pct_x10,10% x 10,400,400,0,6.167473043120003,6.167473043120003,210.0,4,5,1.0733101317591536,2.5479933711220233,-3.183693181703014,6.124446380045542,0.3917868372606518,1.9526941699016926,0.9524863691155259,0.9840550112001476,0,0.0,25.0,15.0,False,False,requested conditional stress only
