mass_MeV,sigma_fixed,kappa,sigma_fixed_covariance_corrected,sigma_profiled,corrected_fixed_over_profiled
149,2425.8857748545433,1.7632865657147563,4277.531796759548,3775.269240458191,1.1330401950988798
150,2386.387557039044,1.7202946363156295,4105.289714544626,3697.104892830503,1.1104066109959938
151,2374.0703588449705,1.75733515234015,4172.037295727061,3699.4735547683667,1.1277381048851105
152,2347.7901271290193,1.7498435361625124,4108.265378222878,3656.807362742257,1.1234568766406308
153,2323.058734292622,1.7438158330782418,4050.9866020301747,3613.0805643989565,1.1212001863302112
154,2298.1424130670803,1.732222426647278,3980.893827544089,3566.8794644510954,1.1160718682027866
155,2284.994631736331,1.7673238787190078,4038.3255754123634,3564.1352920073873,1.1330449729190564
156,2248.0365620956413,1.720233847514149,3867.148584566265,3483.445137478832,1.110150564152459
157,2236.001807905907,1.757089408608139,3928.8550943001196,3486.2720285824876,1.126950238561156
158,2211.6548805595885,1.7439231663866244,3856.956182259909,3439.218104033641,1.121463095852028
159,2188.1578767707256,1.7394297982583882,3806.147014148806,3399.0184668531133,1.1197782687166808
160,2164.476480936897,1.7330437507383152,3751.1324389077495,3362.663420327902,1.1155242050784753
161,2152.098983801163,1.7644261495749092,3797.2197234923606,3356.6402184423655,1.1312561002604098
162,2128.476615467433,1.7577146034752278,3741.254430162634,3319.7343279325805,1.1269740468938556
163,2105.744548357748,1.749610521537367,3684.2328174766667,3276.608110702111,1.1244044734685132
164,2082.6008409313818,1.7394812318653616,3622.645076267158,3236.1828294226057,1.1194191636303517
165,2070.2488275614883,1.773052689831731,3670.660252328884,3232.7211378953048,1.1354707368043206
166,2037.8170092228238,1.7287927403303738,3522.9632516661723,3163.5058541926096,1.113626278578613
167,2026.466743035436,1.7671990513154705,3581.1701058145736,3168.769587129738,1.130145315822217
168,2004.4965535562478,1.764244726258432,3536.422473414813,3139.069964897198,1.126582877400322
169,1983.3653154065207,1.7638307185390596,3498.320669398932,3108.236266030534,1.1255002419319196
170,1961.4411383937893,1.7551223247528944,3442.569130683671,3071.6191946937683,1.1207669025609424
171,1949.327680699257,1.7876705995402564,3484.755783656058,3066.8977132588343,1.136247801350119
172,1927.6687938709426,1.7865360580756606,3443.849808277657,3039.2138351763533,1.133138369014375
173,1907.0137621136846,1.7818936957532217,3398.0958004250087,3004.78985439795,1.1308929958783633
174,1885.5954811182203,1.777754114357016,3352.125124570913,2974.017953359073,1.1271368152921801
175,1872.9462255460683,1.8120010779084343,3393.7805795540094,2969.037508962557,1.1430574956730226
176,1844.2691521787044,1.7684416959769147,3261.4824673168146,2908.6034022521985,1.121322509899897
177,1832.5572254725544,1.7994348654507728,3297.5673644490475,2902.358216888467,1.1361682873123335
178,1811.914128088639,1.793773998269322,3250.16445006223,2870.9621100661493,1.132081973031453
179,1792.0024671421738,1.7908922339421465,3209.283301610086,2838.907974373911,1.1304640131273915
180,1772.5989958660168,1.7828688356372184,3160.311507811348,2807.1099603370094,1.1258239087406232
181,1760.4389714864956,1.8209124014093356,3205.6051551040555,2806.8524023600016,1.14206402602744
182,1741.1623186529519,1.8049322244597994,3142.6799769518543,2766.928143715801,1.135801081097626
183,1722.4240538945191,1.7992974092439529,3099.153137791875,2733.829592102402,1.1336306940069838
184,1703.4462254178045,1.7884697870616277,3046.562108043914,2699.9422984206203,1.128380450880767
185,1691.9069830871167,1.8194072259832623,3078.2677907202415,2693.1146813847326,1.1430140023363107
186,1665.5097188981638,1.7822819513805466,2968.407911841085,2642.7498922032783,1.1232269540899702
187,1654.2757315699982,1.8168593129350403,3005.586269065378,2640.671481562149,1.138190149759695
188,1635.480619465373,1.8111871907418684,2962.1615486822593,2612.3067314032387,1.133925627137626
189,1624.1441690199943,1.8410829419226327,2990.1841248058204,2603.928604791899,1.1483356799042461
190,1599.6666530654834,1.7900604188121891,2863.499958946292,2543.714244091275,1.1257160530503136
191,1588.8415706088167,1.8238904938940312,2897.873036937083,2541.2615982863194,1.1403285041143507
192,1571.2215568160088,1.8138688770842952,2849.989880912492,2510.047557591831,1.1354326224985178
193,1554.2971633365487,1.8108381485148546,2814.5805974982463,2483.3327474864413,1.1333884274457722
194,1543.1214738654082,1.8451031398255038,2847.218276561224,2479.620354574181,1.1482476627153553
195,1526.161001915701,1.8407746687593518,2809.318512774815,2455.1659179429275,1.1442479272963417
196,1515.0212503513842,1.8741952940409607,2839.4456977806167,2449.21511264823,1.1593288327828613
197,1492.1316748208098,1.8380530032723075,2742.617106182128,2407.5164191732856,1.1391893672417455
198,1480.6957857271223,1.872401747447647,2772.4573766338303,2402.1202856527057,1.154170918580997
199,1463.4909682861642,1.867067793886141,2732.436853530341,2376.0532322199356,1.149989746221905
200,1447.2797531395515,1.865050617244067,2699.2499969177616,2350.79038976982,1.1482308285180889
201,1431.042326954527,1.863329091640534,2666.502799183335,2329.587730513727,1.144624331703237
202,1420.3844967271966,1.8949953913480473,2691.6220752402533,2322.136380967398,1.159114553865664
203,1403.231132986843,1.8862591932594726,2646.857624864338,2293.442742359461,1.1540979750561764
204,1387.2568260246496,1.8804944881986154,2608.728815055259,2264.9160600248833,1.1517993364516115
205,1371.0628146266667,1.87200273171377,2566.6333343322904,2238.187805773503,1.1467461880149412
206,1360.6272385023808,1.902888303193029,2589.121657152012,2230.2336563156573,1.1609194623263095
207,1340.1520464126136,1.8588645217734112,2491.1610928584414,2185.3519313897455,1.1399358872482477
208,1329.6538449697412,1.88729106964408,2509.4438273293067,2176.009925386846,1.1532317927654596
209,1314.2811584302067,1.8789796978423985,2469.507613947147,2150.890507515066,1.1481326479980523
210,1304.060059666968,1.9105408399046584,2491.4600016822483,2143.7511032441944,1.1621964872283246
211,1284.946287348042,1.8725849168274433,2406.171036621365,2106.276659173605,1.1423812850707957
212,1274.8041243228915,1.9031965787407086,2426.202847975872,2099.0213007254097,1.1558733811502486
213,1260.2046712504805,1.9018920096691996,2396.773194799089,2080.12283838597,1.1522267582326136
214,1249.6520038441436,1.931718950983125,2413.976457959769,2070.5433495939487,1.1658661763508456
215,1230.967565206497,1.8932581357742881,2330.539357701467,2033.9067445187793,1.1458437629857365
216,1220.8219150132386,1.9268263447974467,2352.3118281535776,2028.2538048205922,1.1597719292145736
217,1210.5218303621245,1.9664273512969512,2380.40323656613,2025.227716164612,1.1753755973052509
218,1192.0186160121664,1.9277298246286667,2297.8898375992394,1989.7261248926368,1.154877452153487
219,1182.2755522492896,1.967749920765335,2326.422624261332,1988.086598670049,1.1701817344463852
220,1168.2415676918993,1.9722366978300518,2304.048891732474,1973.0337803341245,1.167769611801727
221,1158.2538315886557,2.0147028375335787,2333.5372810858044,1970.8701048004361,1.184013738603078
222,1141.265489871483,1.9791654372304803,2258.7532122575517,1941.0724528647706,1.1636624943720806
223,1131.7046565321507,2.024288604473552,2290.8968398476877,1941.2522990907553,1.1801128791557383
224,1117.9722205156174,2.025836429049046,2264.828850985391,1924.1854880913834,1.1770324976475603
225,1107.731181035601,2.0699684205298547,2292.9685631799334,1920.7864650136084,1.1937654731254512
226,1091.0935027502292,2.0262983970284703,2210.8810156309682,1887.006255989576,1.1716341737677745
227,1081.8221598876873,2.063999135734549,2232.88000302667,1881.3017677639598,1.1868802981462043
228,1068.9187347181162,2.0607949455914105,2202.8223257550594,1862.8720497429817,1.1824871848063747
229,1059.3522759733464,2.097969107848211,2222.488349320773,1855.3414822321442,1.1978864109947662
230,1043.3194928595353,2.0473239106796486,2136.0129442094917,1818.407801191689,1.1746611199147192
231,1034.3329667967896,2.079639507076067,2151.039701221802,1809.3756825773996,1.188829783628855
232,1024.422898056362,2.111998157240181,2163.5792729296827,1797.7614641365958,1.2034851764768342
233,1009.0756089851977,2.057509088433461,2076.182236403574,1760.0424431292615,1.1796205509182112
234,999.3348814927288,2.0919653125307414,2090.5739076848076,1750.6177793897825,1.1941920916703614
235,986.9601323876383,2.0813805528227376,2054.239625962985,1729.361717788915,1.1878600091769376
236,977.5938601610676,2.1155836397795684,2068.18157690571,1719.9636439721783,1.2024565659593467
237,962.0398279493525,2.0719616176860725,1993.309598196371,1688.1908196816328,1.1807371388101016
238,952.9242824439921,2.1089258855267534,2009.6466861931422,1681.1745523164209,1.1953825279023722
239,941.3522450982283,2.101973435748149,1978.6974128783568,1662.763693821015,1.1900051824750448
240,932.682754590301,2.1435026409328137,1999.2079476168017,1658.0950762718319,1.205725760981059
241,918.1612885880425,2.102736770083294,1930.6515023811357,1630.2430147996781,1.1842722127034364
242,909.1011864439009,2.1527430886972767,1957.0612960436022,1629.344026214353,1.2011344839129359
243,900.5503266242039,2.204680867661154,1985.4260754743852,1628.9525134235682,1.218836067419557
244,888.7526971575351,2.2174303729504166,1970.7472247187216,1618.2138888789193,1.217853361822295
245,878.1068367276588,2.2261041127815,1954.7572407009943,1607.9373444138394,1.2156924195411267
246,867.2669900522725,2.2476615661848696,1949.3226811613285,1602.8860910783267,1.2161330065880975
247,858.2252576477396,2.3167506995963425,1988.293966066652,1607.1186519575494,1.2371793231599997
248,847.821636930108,2.3420164408060535,1985.6122125614136,1603.533234662949,1.2382731892543373
249,837.4527971376784,2.355533105283497,1972.647787770066,1596.0933210982803,1.235922587792471
250,826.5530452700973,2.382446694819446,1969.218570796691,1592.237930327894,1.2367614998288379
