mass_MeV,sigma_fixed,kappa,sigma_fixed_covariance_corrected,sigma_profiled,corrected_fixed_over_profiled
50,1657.8741715700785,4.299047263225807,7127.279420061098,4784.4942913905625,1.4896620177572895
51,1795.5881870621454,3.749369119642898,6732.322900166383,5015.115134898187,1.3424064491199479
52,1960.3543347489206,4.112808818649609,8062.562595633348,5465.169634778107,1.4752630081830385
53,2081.259000624496,3.4406287867791536,7160.839630291853,5441.252377902389,1.3160278430335128
54,2214.963169516277,3.33751485740958,7392.472486875588,5664.343642862105,1.3050889834678685
55,2368.060638980393,3.5738811637410643,8463.167312248655,6010.77094738855,1.4080003025112076
56,2467.0176741927285,3.1497419266934603,7770.469002298624,6053.2420477635915,1.2836871450018215
57,2610.405728011983,3.3862341025733436,8839.444897746973,6384.048869720109,1.3846142280760005
58,2725.498490527304,3.1936645433713524,8704.327892209192,6431.309700949064,1.3534300627638411
59,2831.9401589683243,3.153315439413457,8930.000626769817,6618.982940641877,1.3491499686360922
60,2933.645660093553,3.078137504235384,9030.164730471335,6783.394894185847,1.3312161345952642
61,3051.9875357908986,3.27898638639695,10007.42558131153,7012.430781807242,1.4270979482998076
62,3113.910155008493,2.7912259124084735,8691.626713571592,6744.8438179179275,1.2886327612927022
63,3194.0374854615734,2.727945971763629,8713.16169212693,6831.749644052653,1.2753924171843931
64,3266.4332327945212,2.6272514039856993,8581.741296884953,6793.381236869183,1.2632503605582952
65,3336.42003785114,2.60724763435522,8698.873250902738,6939.781845958136,1.253479351943769
66,3426.135793179261,2.748386585929089,9416.3456555454,7104.279388142389,1.3254469793603605
67,3452.433774037456,2.4694213235381506,8525.513579711387,6935.012957277582,1.229343568964026
68,3531.10077508374,2.569253785640032,9072.29403386035,7032.293773519674,1.2900903070947294
69,3575.069228232129,2.464524409742122,8810.845379496011,6956.904464865471,1.2664893450806345
70,3579.6601750620507,2.257436023948733,8080.853832679702,6790.774387086549,1.189975306505012
71,3646.843326940683,2.3224457010761763,8469.595607151728,6846.09102132489,1.2371432954615684
72,3637.7089268248737,2.156858020486944,7846.021675019182,6695.490051999769,1.1718368056832194
73,3693.6947853812862,2.2936395932367932,8472.004605082797,6895.508816178027,1.2286264626630663
74,3712.056466008349,2.268643793673719,8421.33386337624,6909.785154913972,1.218754805623343
75,3724.6657327714065,2.2487198182134196,8375.72964950347,6883.231692323011,1.21683099216972
76,3738.907637069937,2.197258928047563,8215.348186697136,6835.632167877628,1.2018417587334709
77,3775.464829799967,2.2673428114961487,8560.273041903485,6858.432568476796,1.248138398451099
78,3752.7317286746647,2.101323250544005,7885.702434518269,6674.188125661759,1.1815223493923295
79,3758.046001828676,2.0733490734163955,7791.741195747675,6645.774025655995,1.1724354703707465
80,3793.3605020410037,2.176197274389655,8255.100785319006,6765.120832180518,1.2202443962347145
81,3761.532238204313,2.0192205672299877,7595.363259680798,6551.257908993567,1.1593747895734472
82,3794.223483088442,2.1433224595090343,8132.244407700055,6725.087909495299,1.2092398667708062
83,3791.7135388074153,2.1257723058298366,8060.319632436848,6709.586321491404,1.201313947868727
84,3786.4555814622754,2.0871727544579257,7902.986925593204,6617.737267649222,1.194212856443685
85,3782.3780635807934,2.0506030118482155,7756.155849127396,6559.254477460708,1.1824752150994524
86,3801.653034830102,2.129175785024474,8094.387584825056,6608.176719153878,1.2249048306113512
87,3766.003149232928,1.999419107906071,7529.8186570107555,6442.70728039278,1.1687351806167576
88,3753.6561231232586,1.970378955490207,7396.125031149026,6376.9934379488495,1.159813806163799
89,3741.2799836700524,1.960201239082592,7333.6616597449365,6333.222905142105,1.1579667681979975
90,3728.513983322923,1.9563499441099752,7294.278122887062,6326.256436972445,1.153016510721447
91,3743.978532831252,2.037516468614754,7628.417918783781,6400.832237770709,1.1917853234410993
92,3699.247655819332,1.9172528740813632,7092.39320005836,6208.363653098696,1.1423933255775747
93,3713.9147064316594,1.9927989651327664,7401.085383568373,6280.466966879131,1.1784291554432131
94,3696.360501480556,1.9795710266189483,7317.208152669596,6245.225454876851,1.171648358500115
95,3677.118991680238,1.9528935228538473,7181.021861615207,6155.4327907670695,1.16661526584881
96,3661.1809977532134,1.9329281668213438,7076.799874388257,6109.670964775006,1.1582947617292623
97,3640.437218243003,1.9119020231486412,6960.159282704409,6046.450457996278,1.151114911311276
98,3622.417654665302,1.8903753220894215,6847.7289406803275,5973.17896348292,1.1464128201321233
99,3602.38553301628,1.8768202543356451,6761.0301322906635,5929.21364294209,1.140291198705369
100,3608.248561198882,1.921445987715171,6933.05472059463,5934.137981398458,1.1683339252183624
101,3560.1374407834005,1.8377957589873095,6542.805490083667,5792.91666210669,1.1294492691189981
102,3566.7381080537443,1.917808673641467,6840.321280233027,5880.737131040334,1.1631741272922596
103,3542.359376361004,1.8802390201010852,6660.482322654905,5780.470107040415,1.1522388662719083
104,3519.535999671461,1.8604890265066558,6548.058105783886,5704.392707025613,1.1478974962083524
105,3497.029817220736,1.8440051411808143,6448.54096181764,5652.007320214403,1.140929336512788
106,3496.9260685114746,1.9097691567769992,6678.321549172666,5697.228309339276,1.172205357862369
107,3449.6119765754415,1.8309477660784108,6316.059342348136,5567.322446068278,1.1344877907707012
108,3449.1318072009617,1.8779422688069056,6477.270411429036,5578.860444887947,1.1610382577976701
109,3423.6826306314188,1.863245173283065,6379.160136377058,5526.177648094294,1.1543530705309328
110,3374.1867176535716,1.783744667734426,6018.687565554884,5379.048142134426,1.1189131248724327
111,3373.9139824226045,1.8290644721381346,6171.106197299273,5398.25310267879,1.1431672579851744
112,3346.7232331432588,1.8070940675300908,6047.843700278308,5324.72633627041,1.1358036673325806
113,3321.7556394123258,1.798444412915585,5973.992870771934,5271.418054579378,1.1332800413319934
114,3294.1232654675987,1.7937463345726676,5908.821533063052,5233.2254475813215,1.1290974547626218
115,3289.151621596733,1.8406900571501923,6054.308686332538,5246.740731049832,1.153918022002417
116,3240.398410516257,1.7720118759534258,5742.024466255412,5121.231870606062,1.1212193884858963
117,3234.9224188437624,1.8194086403320477,5885.645799648189,5139.233244321673,1.1452381162406329
118,3205.812989334957,1.8110020752052844,5805.733976405663,5091.398703653681,1.140302363717727
119,3178.614670138959,1.801590727345272,5726.562715525999,5033.476155777342,1.1376954093550524
120,3151.311856099562,1.794440383382023,5654.841255215613,4991.924729530319,1.1327977807365028
121,3141.7574210842567,1.8431333759048332,5790.677961797089,5002.655973589935,1.1575207234651528
122,3094.7530365220227,1.770505459638072,5479.277147393743,4873.353598601195,1.1243340005056204
123,3085.361464363257,1.813420750987768,5595.058503774337,4878.284908037253,1.1469314747394432
124,3056.997418104416,1.8009954260272134,5505.638367383054,4825.41741159551,1.1409662414184043
125,3008.4104277354836,1.7351896401515001,5220.162607530355,4698.011360927779,1.1111430361674264
126,3000.098402895513,1.7707860199121366,5312.532310208103,4698.145966785183,1.1307720849387164
127,2970.4815469722976,1.759902705079156,5227.758509904263,4643.900227119163,1.1257258455673789
128,2943.545032230489,1.758421022145578,5175.991464306275,4602.5534086500575,1.1245912876488289
129,2914.5186087191178,1.7439559400493114,5082.7920400599605,4543.4352371711875,1.1187112338426517
130,2904.293101876634,1.7899178342064843,5198.446018811857,4557.863338399585,1.1405445123848759
131,2858.6304282534775,1.7429363310755859,4982.410830521147,4469.251087786205,1.1148200744722825
132,2848.431355793261,1.7863771815661103,5088.3727772465,4480.422414041127,1.1356904119799345
133,2818.8328645971715,1.7638254673663278,4971.9291948256705,4407.271502994514,1.1281195613765798
134,2790.4546994774187,1.7564764600205338,4901.367992385759,4353.313211953049,1.1258937167507028
135,2763.1227013602684,1.7504355368932518,4836.668169257494,4312.646997607199,1.1215080139740254
136,2751.017200420368,1.7909721690153733,4926.995242435467,4315.061237482084,1.1418135157939167
137,2707.1357047769025,1.7350543636720481,4697.02761762557,4212.983014430221,1.11489355678326
138,2694.927261563406,1.7715728780116764,4774.2600448000085,4211.105872998614,1.1337307084612402
139,2667.31970510789,1.7635843714157817,4704.043345497626,4166.683789974971,1.128965763328511
140,2639.1784588908436,1.7572382826817983,4637.665422792141,4114.641029437351,1.1271130068486945
141,2612.9285434707695,1.7407084197477385,4548.346715818763,4058.993727036778,1.1205601737007935
142,2599.322204447141,1.7825329864967587,4633.3775719605,4062.6576424271293,1.1404794545258332
143,2557.0444559732673,1.7316644957874434,4427.943098559025,3970.297825909475,1.115267240070263
144,2544.8927386512623,1.7618921005430248,4483.826412958963,3960.153730931639,1.1322354427650283
145,2517.749396185037,1.760906692971093,4433.521762966159,3927.760254698742,1.128765880672676
146,2504.337201195835,1.7896136339171136,4481.795999185892,3910.827727746415,1.1459967841049579
147,2465.057306031475,1.7396594042914115,4288.360124554908,3826.506610786905,1.1206984753315308
148,2438.0749692647864,1.732788072551397,4224.667226728136,3783.859838500434,1.1164967538550254
