dataset,mass_MeV,rank,sigma_MeV,low_MeV,high_MeV,n_bins,observed_original,observed_gp_fill,observed_poly_fill,reference_original,reference_gp_fill
2021,78,1,2.2634635,72.875,82.875,16,18431682.0,18400723.607325654,18415392.095088117,18451673.395503134,18462744.36227282
2021,65,2,2.121696875,60.375,69.74999999999999,15,14542501.0,14540016.401258899,14508706.744852759,14543651.587899156,14522508.119627982
