dataset,mass_MeV,lane,reference_root_delta,r,Ahat_window,sigma_A_window,remote,half_deviance_fit,half_deviance_null,max_score,min_lambda
2021,50,observed_original,0.0,1.5686580080573722,7512.185222438751,4789.072924991175,True,6.9714219293462385,8.2017659024675,1.9562129693895258e-13,102084.06118680681
2021,50,observed_first_mean,0.0,1.0458134828195131,5016.040554352335,4796.403430775339,True,6.972181926028857,7.519044846452397,1.3035887769241583e-07,102086.86773422218
2021,50,observed_first_rep00,0.0,1.574274384940955,7539.742835451022,4789.493427803766,True,7.041517811820494,8.280687731361105,2.1316282072803006e-13,102077.40520154948
2021,50,observed_first_rep01,0.0,1.343882339921956,6440.607496453315,4792.664815637562,True,7.0195242608413535,7.922534132618409,1.5631940186722204e-13,102079.54072652149
2021,50,observed_first_rep02,0.0,1.0094552264315408,4841.474514227111,4796.220975627407,True,6.806471955055875,7.315971882140852,1.4093231767708936e-07,102096.29772881421
2021,50,observed_first_rep03,0.0,1.097482135474361,5263.343565452364,4795.938526837076,True,7.031874144247809,7.634107663090491,1.6288584508972193e-07,102083.0358470973
2021,50,observed_first_rep04,0.0,1.1352408558809846,5443.878044414703,4795.457417859567,True,7.035788379521093,7.680174279951788,1.0526969163038302e-07,102081.98467409599
2021,50,observed_first_rep05,0.0,1.223031479753853,5863.401193366632,4794.269005824136,True,7.01881195327349,7.76671495350794,1.7176385513906212e-07,102081.23372084604
2021,50,observed_first_rep06,0.0,1.1753899081215609,5635.289712988025,4794.510839177955,True,6.9207506561375665,7.611521374194572,1.5509547690584213e-07,102087.10601548573
2021,50,observed_first_rep07,0.0,1.3350690600378343,6399.000931335941,4793.136894956438,True,7.117575422031811,8.008780119566964,2.80109269112927e-13,102074.62005257772
2021,50,observed_first_rep08,0.0,0.9124785204965876,4378.2477824557845,4798.278329440583,True,7.030064305940544,7.446372831124365,4.7268601061078996e-08,102087.64376932154
2021,50,observed_first_rep09,0.0,1.0353396364723844,4965.376073994052,4795.988406652598,True,6.832088368153556,7.368052449578941,1.5736554404011116e-07,102094.30230689418
2021,50,observed_second_mean,0.0,1.7361417932666943,8311.591156589398,4787.556051081838,True,7.111451706777643,8.61854586994129,1.1610157280017575e-13,102073.92157820148
2021,50,observed_second_rep00,0.0,1.560348505155477,7473.126450857769,4789.543025567699,True,7.006699916898253,8.224043645668718,3.3950620093037287e-13,102080.29754965952
2021,50,observed_second_rep01,0.0,1.74687820475643,8364.79693399525,4788.591017565112,True,7.300527030361033,8.826318761487556,8.293365993949919e-14,102062.94157297489
2021,50,observed_second_rep02,0.0,2.4980144109464693,11938.452446732357,4779.414453567521,True,7.723462280124168,10.843500278772286,2.2137847111025621e-13,102042.8520819073
2021,50,observed_second_rep03,0.0,1.686782611360046,8076.3877293870355,4788.202438423568,True,7.076189754246587,8.498807543239895,1.487837630875788e-13,102076.5989554516
2021,50,observed_second_rep04,0.0,1.648303361541245,7894.763308664252,4789.785650964593,True,7.2261703918553435,8.584622377689428,6.550315845288424e-14,102068.98204574674
2021,50,observed_second_rep05,0.0,2.0393274434733595,9755.365858618037,4783.812538722086,True,7.302526807090552,9.381955017942346,1.1723955140041653e-13,102064.97508218852
2021,50,observed_second_rep06,0.0,1.9427354892687143,9295.374802050588,4784.867741424713,True,7.218401295151588,9.105511885783663,3.980149543281186e-14,102070.3244167157
2021,50,observed_second_rep07,0.0,1.7016642000425168,8148.284091284383,4788.581484175626,True,7.156934621325065,8.604765146178234,3.268496584496461e-13,102071.19150932439
2021,50,observed_second_rep08,0.0,1.9613993759829165,9384.431050057636,4784.74485028246,True,7.2417944354842945,9.165338191537382,3.0964120156795616e-13,102068.1525278753
2021,50,observed_second_rep09,0.0,1.6196387729945625,7756.138322814629,4788.96048656532,True,7.046548103307922,8.358162980801588,2.873257187729905e-13,102077.82778602642
2021,50,observed_both_mean,0.0,1.2130393324702504,5816.243593356469,4794.883245913522,True,7.132502016676541,7.868234227736476,1.3482099980866025e-07,102076.7367957464
2021,50,observed_both_rep00,0.0,1.5659996791031294,7500.849813258511,4789.963482551326,True,7.097367037282073,8.323544534757625,2.0583534876550402e-13,102073.64104390613
