dataset_set,mass_GeV,mass_MeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,confidence_level,cls_alpha,cls_statistic,cls_calibration,combined_mode,eps2_obs_95_ee_channel,minimal_visible_factor,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,eps2_obs_95_minimal_visible,eps2_obs_90_ee_channel_reference,eps2_obs_90_minimal_visible_reference,eps2_95_over_90,p0_analytic,Z_analytic,p0_source,gp_state_sha256_by_dataset,profile_cache_limit_calls,profile_cache_asimov_fixed_nodes
2015,0.029000000000000001,29,0.00145112512889,0.00145112512889,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,9.8127714007167634e-06,1,1,1,False,9.8127714007167634e-06,8.3979586448133704e-06,8.3979586448133704e-06,1.1684710315616034,0.2958487354012595,0.53637780044898509,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""b83cee0e17b8702ec00f63536f3b8488acae5acda7041c99df641f307e4b375c""}",1,22
2015,0.029999999999999999,30,0.0015043442127555999,0.0015043442127555999,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,1.1678337479873214e-05,1,1,1,False,1.1678337479873214e-05,1.023124658847981e-05,1.023124658847981e-05,1.1414383749701431,0.12913570968502669,1.1304861780495934,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""3c3b9333983c07f1110b5b3185d5aed4cdf9462354ea74dedfcbbc0e94f04e8f""}",1,23
2015,0.031,31,0.0015575632966214001,0.0015575632966214001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,9.9700123581182022e-06,1,1,1,False,9.9700123581182022e-06,8.5877736955787795e-06,8.5877736955787795e-06,1.1609542486256987,0.24762900261473261,0.68196986644279234,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""8840b2e03f9f83ed671cf5a48feb834ceb9da2492e533d54b84422925bc71c9a""}",1,22
2015,0.032000000000000001,32,0.0016107823804872,0.0016107823804872,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,7.7509616432982376e-06,1,1,1,False,7.7509616432982376e-06,6.4990281535513353e-06,6.4990281535513353e-06,1.1926339539032147,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""61cdc0216f77701b078869d568f13f3c2924442606cf97542537872a0bb0c19d""}",1,22
2015,0.033000000000000002,33,0.0016640014643527999,0.0016640014643527999,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,6.148622887274589e-06,1,1,1,False,6.148622887274589e-06,5.0392149996478564e-06,5.0392149996478564e-06,1.2201549026394505,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""735ed2b16c84f58b8120b5749d2658a4157dfd506541c3733583c7847ce7447b""}",1,22
2015,0.034000000000000002,34,0.0017172205482186001,0.0017172205482186001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.4664361891589802e-06,1,1,1,False,5.4664361891589802e-06,4.5030849404918069e-06,4.5030849404918069e-06,1.2139313962312157,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""d401bbdfb00e49a060f87a5ce3b1fedb6846ee94e6283168bd9f46ec3006e3c2""}",1,21
2015,0.035000000000000003,35,0.0017704396320843,0.0017704396320843,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.2424203208530587e-06,1,1,1,False,5.2424203208530587e-06,4.3090932589142466e-06,4.3090932589142466e-06,1.2165947696787562,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""0bd154b413a27ac09c500a047caada1f06d07a768056f8ed1193064514e7cdad""}",1,22
2015,0.035999999999999997,36,0.0018236587159499,0.0018236587159499,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,6.5586013615887272e-06,1,1,1,False,6.5586013615887272e-06,5.3977858635976168e-06,5.3977858635976168e-06,1.2150540105378371,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""0431a6d5a1e596a177680faff7b91684ef92402c0dfffaba481ffe50eaffffdc""}",1,22
2015,0.036999999999999998,37,0.0018768777998155,0.0018768777998155,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,8.9286962703219631e-06,1,1,1,False,8.9286962703219631e-06,7.5823118482130796e-06,7.5823118482130796e-06,1.1775691173169283,0.37559550472316539,0.3170693125655567,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""7da189cbe5ee1bf47f16d71fbc528e79a048cee5a4212d876344306868d67606""}",1,22
2015,0.037999999999999999,38,0.0019300968836813001,0.0019300968836813001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,1.3690821998397564e-05,1,1,1,False,1.3690821998397564e-05,1.2192184480002685e-05,1.2192184480002685e-05,1.1229178840635907,0.054272248146580798,1.6047697007205639,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""14e97fbe4d54bc66aef4a61a4a6894c2acfe36a018b5ce8b9712dc626d932bb6""}",1,23
