mass_MeV,inject_66,inject_78,inject_80
60,-1.6095858616280394,-0.454408839422504,-0.503415401089623
61,-1.7717706872505907,-0.12410229372250717,-0.5085077687626853
62,-1.3191688692901584,0.3617282667688748,-0.12997846823042114
63,-0.29865439601169014,0.6734381830578279,0.08805581147040387
64,0.9516810341173642,0.9444639909878528,0.4115193241521262
65,1.9300410557423333,1.0370157524963477,0.6135699917933629
66,2.2968272768629157,0.9140729659043763,0.7399494357489639
67,1.927663438840303,0.5928897273290243,0.7452147802055671
68,1.0131538294390334,0.029715327948494324,0.6012399097409046
69,-0.10792283530186514,-0.6619569319873588,0.280024044386155
70,-1.0981215344084159,-1.2847516239255614,-0.11917843057129107
71,-1.6460152901986551,-1.831361967873545,-0.6548211299416341
72,-1.7410426363502842,-1.9685854070479474,-1.0782967910078103
73,-1.4455276543562485,-1.6769975757758298,-1.4080549854181745
74,-0.8908603992718489,-0.9063155348993136,-1.498505900903833
75,-0.3032947410712828,0.21216237915288158,-1.258412122976504
76,0.17755712416641806,1.419131322494676,-0.6449728903914674
77,0.5193900425561785,2.3747742984405145,0.259635108264447
78,0.7339163412505498,2.7124491371828983,1.1568123452735575
79,0.8398232547496772,2.381148324656295,1.8482119322008224
80,0.8279038182753224,1.4892901643899932,2.087770659846387
81,0.7181532329740046,0.3667802287224889,1.8531387175256193
82,0.5141624255139322,-0.7284759404777845,1.1699803175671084
83,0.2848219692942492,-1.522126985490536,0.29291723849341134
84,0.10672519414184034,-1.8537608899533875,-0.49636011415982484
85,-0.05808500238528151,-1.807985047305994,-1.0841161813420548
86,-0.25791284479984694,-1.53100072191874,-1.4019742401657336
87,-0.36236306012790026,-1.0785545152416638,-1.4224380537898813
88,-0.4365505503033834,-0.555392645220289,-1.220880720695181
