scope_key,mass_MeV,unresolved_side,existing_n_toys,existing_tail_events,one_sided_upper95,last_archived_toy_id_at_mass,first_unused_id_after_this_archive,status
individual_2015_full,19,strong,3000,0,0.000998079011996587,3299,3300,Continuation input only; no new draws allocated or generated
individual_2016_full,100,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
individual_2016_full,101,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
individual_2016_full,102,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
individual_2016_full,103,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
individual_2016_full,104,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
individual_2016_full,117,weak,3000,0,0.000998079011996587,3299,3300,Continuation input only; no new draws allocated or generated
individual_2021_10pct,71,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
pair_2015_2021,71,strong,10000,0,0.000299528359776612,10299,10300,Continuation input only; no new draws allocated or generated
