mass_MeV,dataset_set,eps2_current,density_current_events_per_GeV,density_2021_full_equivalent_events_per_GeV,density_2015,density_2016,density_2021,projection_scale,eps2_observed_equivalent,babar_eps2_90_logy,current_over_babar,proxy_over_babar
132,2016+2021,2.1989981341495469e-06,847412472.11350334,7675979209.1198273,0,88682834.668356195,758729637.44514716,0.33226188984363109,7.3064327581514703e-07,1.0787256497984953e-06,2.0385147368659648,0.67732075894517785
133,2016+2021,2.0422131218848311e-06,824082516.12577677,7485163238.7651119,0,83962435.832517385,740120080.29325938,0.33180636446191175,6.7761931142901683e-07,1.0584941608893836e-06,1.9293570029417002,0.64017293289521549
134,2016+2021,1.8573054039235512e-06,801232548.45429909,7296813468.2882843,0,79501335.139411822,721731213.31488729,0.33136960454629888,6.1545455721985109e-07,9.3139166608655664e-07,1.9941185556527699,0.66079027720509509
135,2016+2021,1.655663925481393e-06,779144945.308429,7113702687.5115709,0,75305196.174746484,703839749.13368249,0.33094915280497772,5.4794057346783078e-07,9.6857344981826481e-07,1.7093839664839545,0.56571917552627715
136,2016+2021,1.5907734015812741e-06,757771776.77855599,6935594790.2282944,0,71346997.506362766,686424779.27219319,0.33054253777938525,5.258182771906195e-07,9.0368864044040928e-07,1.7603113842462561,0.58185779223070011
137,2016+2021,1.5675814915111879e-06,736683129.90032303,6758730987.1930628,0,67566701.312240809,669116428.58808219,0.33014732429884008,5.1753283504280356e-07,7.604626599108369e-07,2.0613523505479998,0.68054996297054682
138,2016+2021,1.590509772269745e-06,716257251.88028932,6586617923.0642977,0,63994955.082066223,652262296.79822314,0.32976402873303701,5.2449291024293638e-07,7.2633377847569366e-07,2.1897780598991798,0.72211003506356719
139,2016+2021,1.6527034788838416e-06,696421186.2123704,6418490877.4161339,0,60635664.96750772,635785521.24486268,0.32939691175045699,5.4439542198357407e-07,7.6433248892867648e-07,2.1622834340070338,0.71224948549109002
140,2016+2021,1.7771560546176195e-06,677301155.81964755,6255813364.6309366,0,57466465.951726526,619834689.86792099,0.32904024251724184,5.8475585920236619e-07,6.790796544852875e-07,2.6170067721505008,0.86110054297766503
141,2016+2021,1.6612964611061977e-06,658569587.24171782,6095763232.749589,0,54436959.963065326,604132627.27865243,0.32869022637734424,5.4605190988087698e-07,4.9462534108865567e-07,3.3586966196469707,1.1039707522445836
142,2016+2021,1.8114389201516313e-06,640387661.80534935,5939518242.0237865,0,51595375.114411794,588792286.69093752,0.32835668892020092,5.9479808600217385e-07,3.623084438275193e-07,4.9997148866173973,1.6416898257147263
143,2016+2021,1.9675870890540734e-06,622601949.26352394,5785869811.0073719,0,48905520.180874147,573696429.08264983,0.32803554817995678,6.4543850934965841e-07,2.7446503286047581e-07,7.1688078752614564,2.3516238211581832
144,2016+2021,2.1732755352301019e-06,605460187.94508815,5637214139.6987886,0,46376415.528010346,559083772.41707778,0.3277257223590897,7.1223829466862243e-07,2.5405399325625151e-07,8.5543844730597396,2.8034918307708843
145,2016+2021,2.2428740535319477e-06,588764090.17047036,5491775105.9804525,0,43985088.413805768,544779001.75666463,0.32742684607019001,7.3437717748062811e-07,2.8878731961409661e-07,7.7665254019084919,2.5429689172709122
