mass_MeV,A90_full_template_events,A90_fitted_window_events,eps2_90,dimuon_factor,eps2_observed,p0_local_asymptotic,Z_local_asymptotic
19,1651.1615655412281,1602.4146784559155,6.0287203111420068e-06,1,6.0287203111420068e-06,0.5,0
20,5128.013036313394,5022.1550949290304,1.3250739100729953e-05,1,1.3250739100729953e-05,0.48337914502860524,0.041674364888798665
21,13320.848439098752,12945.039560426816,2.62940119494728e-05,1,2.62940119494728e-05,0.0059409128074690122,2.515634723312826
22,10543.315914602679,10327.619172643314,1.6849498786461963e-05,1,1.6849498786461963e-05,0.077045792451907263,1.425227031378324
23,4412.7420162821645,4292.7813164299932,5.9671222119670213e-06,1,5.9671222119670213e-06,0.5,0
24,4305.4948895434027,4218.0609317673443,5.0861911376302358e-06,1,5.0861911376302358e-06,0.5,0
25,6582.880883418391,6409.3614192277855,6.9821181425801129e-06,1,6.9821181425801129e-06,0.5,0
26,8749.5324660738534,8572.9452425321942,8.504925358416046e-06,1,8.504925358416046e-06,0.38342490317973138,0.29649798395941374
27,8521.2013986446345,8302.3687490005486,7.7211668935564625e-06,1,7.7211668935564625e-06,0.44359467691817606,0.14186156507562636
28,8781.8264358761608,8605.5137690420179,7.5277366317360169e-06,1,7.5277366317360169e-06,0.47155998823420364,0.071349027314001806
29,10229.619566487645,9972.7107634032309,8.3979586448133704e-06,1,8.3979586448133704e-06,0.29584873060220296,0.53637781433953102
30,12876.264742586245,12618.909142378756,1.023124658847981e-05,1,1.023124658847981e-05,0.12913570690946452,1.1304861912307904
31,11063.482794005613,10790.948756049911,8.5877736955787795e-06,1,8.5877736955787795e-06,0.24762900261473264,0.68196986644279234
32,8495.0365649225805,8241.9603276825819,6.498708636725469e-06,1,6.498708636725469e-06,0.5,0
33,6167.1474096403481,6017.772284991278,4.6841999571655718e-06,1,4.6841999571655718e-06,0.49995130099128288,0.0001220703125
34,5128.3204264760225,4979.7028125974994,3.8926641988458471e-06,1,3.8926641988458471e-06,0.49995130099128288,0.0001220703125
35,4698.8469364151442,4586.7177692538035,3.5881347811780288e-06,1,3.5881347811780288e-06,0.5,0
36,6736.9925103406295,6546.4765159041344,5.2069444002342802e-06,1,5.2069444002342802e-06,0.49995130099128288,0.0001220703125
37,9647.1795746761036,9419.9924278703365,7.5823118482130796e-06,1,7.5823118482130796e-06,0.37559549580828544,0.3170693360638267
38,15156.382939466806,14737.036248523529,1.2192184480002683e-05,1,1.2192184480002685e-05,0.054272249168699417,1.6047696914350191
39,18063.578354669535,17643.189403396766,1.4949852389226709e-05,1,1.4949852389226707e-05,0.012892925515032133,2.2294218308738527
40,15385.745081715073,14968.32251760092,1.317242998300001e-05,1,1.317242998300001e-05,0.037426318815214833,1.7813662524518146
41,10556.778619612927,10313.692941343572,9.396311128623854e-06,1,9.396311128623854e-06,0.24060679942701285,0.70435198643888253
42,6401.6747876217114,6231.0439703839083,5.9512731721207875e-06,1,5.9512731721207875e-06,0.5,0
43,4386.5823199887882,4286.5415774945177,4.280074516821396e-06,1,4.280074516821396e-06,0.5,0
44,3605.2958896495311,3510.7324463899872,3.7098331384777293e-06,1,3.7098331384777297e-06,0.5,0
45,3382.8989065215437,3306.4196020548984,3.6835455280676563e-06,1,3.6835455280676559e-06,0.5,0
46,3955.5217507668153,3853.281422911075,4.5753359449363534e-06,1,4.5753359449363534e-06,0.5,0
47,5871.7576542002753,5740.0657921634165,7.2404329955817097e-06,1,7.2404329955817097e-06,0.5,0
48,9634.1295540179326,9388.4289782799769,1.2699075567649636e-05,1,1.2699075567649636e-05,0.1534975907284794,1.0215473629730589
49,13853.7681828718,13545.318291954667,1.9590282663211661e-05,1,1.9590282663211661e-05,0.01218428697962042,2.2512679103878082
50,16171.367839146205,15763.997767169854,2.4600041512683968e-05,1,2.4600041512683968e-05,0.0012433061942815919,3.0249658056072275
51,16084.605128066727,15728.885332112848,2.6396501975452934e-05,1,2.6396501975452937e-05,0.00084628251534010367,3.1394652234573268
52,11909.152207625359,11612.539421271091,2.112987415099241e-05,1,2.112987415099241e-05,0.014410339674228907,2.1859306513261156
53,7242.8157556918868,7083.6273314323462,1.3931219940487205e-05,1,1.3931219940487204e-05,0.21085205758247427,0.80346829446973533
54,4112.4149557062374,4011.060352012993,8.595411764451371e-06,1,8.595411764451371e-06,0.5,0
55,2584.8279197864381,2528.3417102434214,5.8804894231597878e-06,1,5.8804894231597878e-06,0.5,0
56,1959.9601645591367,1912.1233893115118,4.8625775270495736e-06,1,4.8625775270495736e-06,0.5,0
57,1786.4773610364314,1738.046868842868,4.840915191776256e-06,1,4.840915191776256e-06,0.5,0
58,1781.844531326371,1738.7473892793039,5.2831103664174534e-06,1,5.2831103664174534e-06,0.5,0
59,2020.434738638573,1966.3381778499422,6.5606309519982356e-06,1,6.5606309519982356e-06,0.5,0
60,2710.5443148949466,2645.5365677247855,9.6498354438719927e-06,1,9.6498354438719927e-06,0.5,0
61,3710.8441820307166,3612.633897354207,1.4498074188678366e-05,1,1.4498074188678366e-05,0.45690033281513887,0.10824586251503174
62,5106.7468316075774,4985.2338329866243,2.1905379680511607e-05,1,2.1905379680511607e-05,0.12898324695188829,1.1312105229903009
63,6550.7199305640825,6379.2236970390577,3.0865204585507183e-05,1,3.0865204585507183e-05,0.017336578719215505,2.1121549928048458
64,6862.1740895424036,6700.0949783964152,3.5533400247673329e-05,1,3.5533400247673329e-05,0.0065460147411036795,2.4812560393995011
65,6299.6833995221796,6136.4317431309637,3.5879103610775151e-05,1,3.5879103610775151e-05,0.0083074505720019398,2.3951205606568249
66,5254.6234566033954,5131.3723170656231,3.2955619088693855e-05,1,3.2955619088693855e-05,0.026582614413483713,1.9335764195407297
67,4007.5406803202645,3904.6784675812896,2.7682838802779781e-05,1,2.7682838802779781e-05,0.10446060798323586,1.2565373419477581
68,3083.8210198018451,3011.9585626815579,2.3446497653259305e-05,1,2.3446497653259305e-05,0.26242670014359226,0.63588190081721074
69,2329.0002011959991,2269.7582969881601,1.9474438390856159e-05,1,1.9474438390856159e-05,0.49242453049238588,0.018990027367204027
70,1704.6330051678776,1665.1535355869219,1.5658066080823008e-05,1,1.5658066080823008e-05,0.5,0
71,1520.1243630840922,1481.7852483916056,1.5349752708402096e-05,1,1.5349752708402096e-05,0.5,0
72,1451.4156844171055,1417.9954190955686,1.6100361100644949e-05,1,1.6100361100644949e-05,0.5,0
73,1480.8465904865291,1443.7972827911763,1.8060263608492097e-05,1,1.8060263608492097e-05,0.5,0
74,1623.1294296082544,1585.9599277688026,2.1729678501180168e-05,1,2.1729678501180168e-05,0.5,0
75,1507.9497353835829,1470.5084124376735,2.2157460566905165e-05,1,2.2157460566905165e-05,0.49998782524779239,3.0517578125e-05
76,1430.0041157412693,1397.4269552870469,2.3038664525082577e-05,1,2.3038664525082577e-05,0.5,0
77,1229.6008656504412,1199.2902091283211,2.1708917956737278e-05,1,2.1708917956737281e-05,0.49999139115015406,2.1579186437577746e-05
78,1060.329819867989,1036.2930418654839,2.0461441937903386e-05,1,2.0461441937903383e-05,0.49999139115015406,2.1579186437577746e-05
79,903.98545779655933,881.85354787693007,1.9078486502836859e-05,1,1.9078486502836859e-05,0.5,0
80,772.32951205186282,751.96371947165733,1.7796144002855142e-05,1,1.7796144002855142e-05,0.5,0
81,723.08185486525099,705.49376305510896,1.8207327281864231e-05,1,1.8207327281864231e-05,0.5,0
82,687.76263060186216,669.77500126587927,1.8935745222284348e-05,1,1.8935745222284348e-05,0.5,0
83,683.54725190227998,667.02343230964311,2.0601261323099612e-05,1,2.0601261323099612e-05,0.5,0
84,819.23589714332775,797.97651842131324,2.6956446816053958e-05,1,2.6956446816053961e-05,0.49999391262389548,1.52587890625e-05
85,1005.1488753587356,980.99370702837825,3.6151949315038119e-05,1,3.6151949315038119e-05,0.5,0
86,1154.957006035444,1125.208072227608,4.5209233781133118e-05,1,4.5209233781133118e-05,0.35768500121652214,0.36465359508185158
