mass_MeV,A90_full_template_events,A90_fitted_window_events,eps2_90,dimuon_factor,eps2_observed,p0_local_asymptotic,Z_local_asymptotic
39,5285.9059742530317,5168.3253854429622,1.0664582835313747e-05,1,1.0664582835313749e-05,0.5,0
40,6254.2111726431485,6098.7079386363403,1.0141064804301658e-05,1,1.0141064804301658e-05,0.5,0
41,6378.7504521753935,6202.4225252383512,8.572192675964256e-06,1,8.572192675964256e-06,0.5,0
42,8752.0636142544681,8563.1789495092144,9.9949595217400078e-06,1,9.9949595217400078e-06,0.48360165493230139,0.041116137190183817
43,9794.6789271099606,9559.3544005264976,9.7148980404909755e-06,1,9.7148980404909755e-06,0.40412264820053334,0.24269033346160232
44,11091.577657184758,10796.350561122867,9.7316239696285587e-06,1,9.7316239696285604e-06,0.33184621814108983,0.4348208958674844
45,16060.886206500652,15722.586140259089,1.2657851007280056e-05,1,1.2657851007280056e-05,0.055960883904658677,1.5896143173641142
46,11520.695107355028,11251.516014803528,8.265448195405712e-06,1,8.265448195405712e-06,0.37255401707080144,0.32509650484879837
47,10774.872737230853,10496.844786114487,7.115966083448559e-06,1,7.115966083448559e-06,0.44023865500495452,0.15036416749948475
48,9320.3456882848113,9055.84615506093,5.7186286478167744e-06,1,5.7186286478167744e-06,0.5,0
49,8271.3268464059911,8082.2070265350712,4.7544622568623823e-06,1,4.7544622568623823e-06,0.5,0
50,8065.6211007652601,7862.5403619046238,4.3743050138504677e-06,1,4.3743050138504677e-06,0.5,0
51,9474.1913915724399,9212.5010256274654,4.8797598523311627e-06,1,4.8797598523311627e-06,0.5,0
52,12272.054968670707,11995.800828051872,6.034605819214095e-06,1,6.034605819214095e-06,0.40433231536873732,0.24214910387420407
53,14145.965386725018,13796.222083185346,6.6749890854726899e-06,1,6.6749890854726899e-06,0.26468671154431656,0.62896278079889556
54,15257.680203325754,14844.824501755002,6.9387349299721974e-06,1,6.9387349299721974e-06,0.2004707907588722,0.83994079738843686
55,13573.523185389453,13270.942555521991,5.9751311259950984e-06,1,5.9751311259950984e-06,0.30307198229618731,0.51558546434899966
56,14015.569382074153,13673.259214498516,5.9931509738807766e-06,1,5.9931509738807766e-06,0.29373939049763054,0.54249321401544515
57,10562.968476532504,10281.241558868503,4.4013975423670411e-06,1,4.4013975423670411e-06,0.49863643040752065,0.00341796875
58,9627.0737513342738,9413.3729585753881,3.9229298210755009e-06,1,3.9229298210755009e-06,0.5,0
59,8724.5834345695275,8512.8871234746312,3.4853821936879786e-06,1,3.4853821936879786e-06,0.5,0
60,8468.7209992227781,8244.7936216635644,3.3258259963086112e-06,1,3.3258259963086112e-06,0.5,0
61,8676.7858522991282,8483.9874809300545,3.3588539084667205e-06,1,3.3588539084667205e-06,0.5,0
62,8359.5158532204096,8156.9225628766862,3.1959611057209769e-06,1,3.1959611057209769e-06,0.5,0
63,8040.6201184589963,7828.6977898587038,3.0428153540885297e-06,1,3.0428153540885297e-06,0.49990260198329145,0.000244140625
64,9851.7774959092058,9631.5807381697177,3.6986537312704651e-06,1,3.6986537312704651e-06,0.5,0
65,14066.998997915689,13724.803215489443,5.2486661459447727e-06,1,5.2486661459447727e-06,0.27577176548150495,0.59544877422442677
66,16688.938708390953,16248.28963530006,6.1987062776239628e-06,1,6.1987062776239628e-06,0.14431010932491151,1.0611533438404068
67,20164.081159946054,19708.689403304554,7.4699264132681971e-06,1,7.4699264132681971e-06,0.057841835726558044,1.5731518066510815
68,24124.151252427528,23532.400979285692,8.9299450831070006e-06,1,8.9299450831070006e-06,0.01468735922305702,2.1784208575685433
69,23749.291939219427,23118.199046694419,8.7980135997490594e-06,1,8.7980135997490594e-06,0.015138491993777575,2.1664478087540244
70,21447.827778544834,20956.364971757921,7.9654724999086085e-06,1,7.9654724999086085e-06,0.036128438534633593,1.7974962238701855
71,15127.209552064149,14751.487380630824,5.6414488271704587e-06,1,5.6414488271704587e-06,0.21270036535330628,0.79708661280301529
72,6374.7458793538462,6203.5458048160826,2.3898834165411996e-06,1,2.3898834165411996e-06,0.5,0
73,4237.8133946184444,4138.9201460124414,1.599589239559275e-06,1,1.599589239559275e-06,0.5,0
74,5195.1891860780306,5064.0415680175138,1.97730358544422e-06,1,1.97730358544422e-06,0.5,0
75,4708.2106475928031,4604.4687399714066,1.8095132669894739e-06,1,1.8095132669894741e-06,0.5,0
76,4807.5185143521758,4692.8869305210055,1.8681974830806058e-06,1,1.8681974830806056e-06,0.5,0
77,4843.9213875167734,4719.224173352558,1.9059043111592883e-06,1,1.9059043111592885e-06,0.49990260198329145,0.000244140625
78,6118.5011250539428,5980.0602371205841,2.4404528716312543e-06,1,2.4404528716312543e-06,0.5,0
79,8497.9382018714659,8290.2936642640616,3.4406849104470539e-06,1,3.4406849104470539e-06,0.5,0
80,9953.1072506829787,9691.0538635574685,4.094942570756306e-06,1,4.094942570756306e-06,0.5,0
81,10517.68907045083,10272.701322884199,4.4037135023324214e-06,1,4.4037135023324214e-06,0.5,0
82,10519.04941870784,10254.992130171966,4.488547978827345e-06,1,4.488547978827345e-06,0.5,0
83,10779.750287668561,10539.410998692856,4.6926764072567709e-06,1,4.6926764072567709e-06,0.40373493305137459,0.2436913590929139
84,9677.3327216919679,9444.7917653003515,4.3022799858449289e-06,1,4.3022799858449289e-06,0.49990260198329145,0.000244140625
85,15885.428918208594,15474.888260273283,7.2217862584247794e-06,1,7.2217862584247794e-06,0.0690819500521547,1.4826632618544842
86,18293.691916026073,17871.3097671053,8.5159576760462993e-06,1,8.5159576760462993e-06,0.024039216069378023,1.9766745252865812
