dataset,mass_MeV,sigma_x,ell_lower,ell_upper,k_min,k_max,upper_floor_active
2015,19,0.047231772072573008,0.047231772072573008,0.37785417658058407,1,8,False
2015,19.203438395415471,0.047280822341612794,0.047280822341612794,0.37824657873290235,1,8,False
2015,19.406876790830946,0.047328841911713937,0.047328841911713937,0.3786307352937115,1,8,False
2015,19.610315186246417,0.047375862932441226,0.047375862932441226,0.37900690345952981,1,8,False
2015,19.813753581661892,0.047421916230038885,0.047421916230038885,0.37937532984031108,1,8,False
2015,20.017191977077363,0.047467031374821556,0.047467031374821556,0.37973625099857244,1,8,False
2015,20.220630372492835,0.047511236744492535,0.047511236744492535,0.38008989395594028,1,8,False
2015,20.424068767908309,0.047554559583668166,0.047554559583668166,0.38043647666934532,1,8,False
2015,20.627507163323781,0.04759702605987215,0.04759702605987215,0.3807762084789772,1,8,False
2015,20.830945558739252,0.047638661316241837,0.047638661316241837,0.3811092905299347,1,8,False
2015,21.034383954154727,0.047679489521171181,0.047679489521171181,0.38143591616936945,1,8,False
2015,21.237822349570198,0.047719533915091095,0.047719533915091095,0.38175627132072876,1,8,False
2015,21.441260744985673,0.047758816854584829,0.047758816854584829,0.38207053483667863,1,8,False
2015,21.644699140401144,0.047797359854008903,0.047797359854008903,0.38237887883207122,1,8,False
2015,21.848137535816615,0.047835183624783006,0.047835183624783006,0.38268146899826405,1,8,False
2015,22.05157593123209,0.047872308112502537,0.047872308112502537,0.3829784649000203,1,8,False
2015,22.255014326647562,0.047908752532011878,0.047908752532011878,0.38327002025609502,1,8,False
2015,22.458452722063036,0.047944535400563204,0.047944535400563204,0.38355628320450563,1,8,False
2015,22.661891117478511,0.047979674569192721,0.047979674569192721,0.38383739655354177,1,8,False
2015,22.865329512893982,0.04801418725241291,0.04801418725241291,0.38411349801930328,1,8,False
2015,23.068767908309457,0.048048090056335813,0.048048090056335813,0.3843847204506865,1,8,False
2015,23.272206303724928,0.048081399005309944,0.048081399005309944,0.38465119204247955,1,8,False
2015,23.475644699140403,0.048114129567182751,0.048114129567182751,0.38491303653746201,1,8,False
2015,23.679083094555875,0.048146296677244571,0.048146296677244571,0.38517037341795657,1,8,False
2015,23.882521489971346,0.048177914760955343,0.048177914760955343,0.38542331808764274,1,8,False
2015,24.085959885386817,0.048208997755515348,0.048208997755515348,0.38567198204412279,1,8,False
2015,24.289398280802292,0.048239559130349718,0.048239559130349718,0.38591647304279775,1,8,False
2015,24.492836676217763,0.048269611906569754,0.048269611906569754,0.38615689525255803,1,8,False
2015,24.696275071633238,0.048299168675468351,0.048299168675468351,0.38639334940374681,1,8,False
2015,24.899713467048709,0.048328241616115264,0.048328241616115264,0.38662593292892211,1,8,False
2015,25.103151862464181,0.048356842512085052,0.048356842512085052,0.38685474009668042,1,8,False
2015,25.306590257879655,0.048384982767384788,0.048384982767384788,0.3870798621390783,1,8,False
2015,25.510028653295127,0.048412673421613039,0.048412673421613039,0.38730138737290432,1,8,False
2015,25.713467048710601,0.048439925164399877,0.048439925164399877,0.38751940131519902,1,8,False
2015,25.916905444126073,0.048466748349168309,0.048466748349168309,0.38773398679334647,1,8,False
2015,26.120343839541544,0.048493153006246903,0.048493153006246903,0.38794522404997522,1,8,False
2015,26.323782234957019,0.048519148855375782,0.048519148855375782,0.38815319084300626,1,8,False
2015,26.52722063037249,0.048544745317637084,0.048544745317637084,0.38835796254109667,1,8,False
2015,26.730659025787965,0.048569951526836519,0.048569951526836519,0.38855961221469215,1,8,False
2015,26.934097421203436,0.048594776340373347,0.048594776340373347,0.38875821072298677,1,8,False
2015,27.137535816618907,0.048619228349615629,0.048619228349615629,0.38895382679692503,1,8,False
2015,27.340974212034379,0.048643315889812744,0.048643315889812744,0.38914652711850195,1,8,False
2015,27.544412607449853,0.048667047049570922,0.048667047049570922,0.38933637639656737,1,8,False
2015,27.747851002865328,0.048690429679909109,0.048690429679909109,0.38952343743927287,1,8,False
2015,27.951289398280803,0.048713471402916042,0.048713471402916042,0.38970777122332834,1,8,False
2015,28.154727793696274,0.048736179620036069,0.048736179620036069,0.38988943696028855,1,8,False
2015,28.358166189111746,0.048758561519997023,0.048758561519997023,0.39006849215997619,1,8,False
2015,28.56160458452722,0.048780624086395274,0.048780624086395274,0.3902449926911622,1,8,False
2015,28.765042979942695,0.048802374104961466,0.048802374104961466,0.39041899283969173,1,8,False
2015,28.968481375358166,0.048823818170519395,0.048823818170519395,0.39059054536415516,1,8,False
2015,29.171919770773638,0.048844962693651794,0.048844962693651794,0.39075970154921436,1,8,False
2015,29.375358166189109,0.048865813907090772,0.048865813907090772,0.39092651125672617,1,8,False
2015,29.578796561604584,0.04888637787184269,0.04888637787184269,0.39109102297474152,1,8,False
2015,29.782234957020059,0.048906660483061692,0.048906660483061692,0.39125328386449354,1,8,False
2015,29.98567335243553,0.048926667475683416,0.048926667475683416,0.39141333980546733,1,8,False
2015,30.189111747851001,0.048946404429833557,0.048946404429833557,0.39157123543866845,1,8,False
2015,30.392550143266472,0.048965876776013051,0.048965876776013051,0.39172701420810441,1,8,False
2015,30.595988538681947,0.048985089800084758,0.048985089800084758,0.39188071840067806,1,8,False
