mass_MeV,epsilon_squared,pdf_x_pt,pdf_y_pt
200.00002031636441,2.1877609428322436e-09,589.37237548828125,480.36599731445312
189.99999527342922,3.1622776601683795e-09,584.1842041015625,464.47625732421875
179.99996482127719,4.2657919282013215e-09,578.7154541015625,451.56588745117188
170.0000092586622,5.1286125335269352e-09,572.93408203125,443.62100219726562
159.99996846345223,6.6069292442263718e-09,566.80206298828125,432.69683837890625
150.00003037224661,7.5857753208945694e-09,560.27423095703125,426.7381591796875
139.99997528530241,8.912508120092972e-09,553.2957763671875,419.78640747070312
129.99998263196366,1.02329287643256e-08,545.79998779296875,413.8277587890625
119.99998845556419,1.2022633457397591e-08,537.70391845703125,406.87603759765625
110.00002119065778,1.3803830534727584e-08,528.90301513671875,400.91738891601562
99.999969828468906,1.47910763463621e-08,519.26263427734375,397.93804931640625
90.000000422655333,1.3489628062328216e-08,508.60577392578125,401.91046142578125
80.000000242407637,9.1201060704385028e-09,496.6923828125,418.79330444335938
70.000001651997863,1.1748974551808848e-08,483.18609619140625,407.86911010742188
67.99999700194779,9.6325391821539915e-09,480.25408935546875,416.43557739257812
65.999999660553456,8.511375082316875e-09,477.23455810546875,421.77264404296875
65.999999660553456,6.0255938142495741e-09,477.23455810546875,436.66925048828125
67.99999700194779,4.7618716896387029e-09,480.25408935546875,446.82101440429688
70.000001651997863,3.4673669343462398e-09,483.18609619140625,460.50384521484375
80.000000242407637,2.5118857205756454e-09,496.6923828125,474.4073486328125
90.000000422655333,1.4791076346362099e-09,508.60577392578125,497.24884033203125
99.999969828468906,1.1481536539928374e-09,519.26263427734375,508.17300415039062
110.00002119065778,9.3325461776149103e-10,528.90301513671875,517.1109619140625
119.99998845556419,8.3176334736048896e-10,537.70391845703125,522.0765380859375
129.99998263196366,7.762469848089314e-10,545.79998779296875,525.05584716796875
139.99997528530241,6.7608236307107622e-10,553.2957763671875,531.0145263671875
150.00003037224661,6.7608236307107622e-10,560.27423095703125,531.0145263671875
159.99996846345223,6.7608236307107622e-10,566.80206298828125,531.0145263671875
170.0000092586622,7.5857753208945692e-10,572.93408203125,526.0489501953125
179.99996482127719,7.943280099072315e-10,578.7154541015625,524.062744140625
189.99999527342922,9.5499145080587272e-10,584.1842041015625,516.117919921875
200.00002031636441,1.2022633457397593e-09,589.37237548828125,506.18682861328125
200.00002031636441,2.1877609428322436e-09,589.37237548828125,480.36599731445312
