scope_key,scope_label,mass_points,min_fixed_over_current,median_fixed_over_current,max_fixed_over_current,fixed_limit_smaller_count,min_fixed_over_profiled_asimov,median_fixed_over_profiled_asimov,max_fixed_over_profiled_asimov
individual_2015_full,2015 full,72,0.10222923348771297,0.4216455292920729,2.2341166849026215,60,0.3468200895778524,0.41204597463312465,0.47530046098802087
individual_2016_full,2016 full,142,0.14051472408560725,0.5222897934475991,1.6528520502882347,114,0.3428530123739843,0.5234988119010622,0.5775570112354401
individual_2021_10pct,2021 10%,201,0.13682157312616003,0.6068135679716704,1.3730241788732156,180,0.3466300100079028,0.612879497663169,0.645568117739783
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,41,0.14555633790941078,0.5952877252034972,1.360578037203132,34,0.42659339889029174,0.5235319019222491,0.5848554280404555
