scope_key,mass_MeV,Ahat_abs_difference,A90_relative_difference,r_abs_difference,independent_cls_at_profile_limit
individual_2015_full,19,2.1100277081131935e-10,1.6303625116620424e-12,4.440892098500626e-15,0.09999999999962259
individual_2015_full,20,3.092281986027956e-11,3.9498404547089194e-12,3.552713678800501e-14,0.09999999999905025
individual_2015_full,21,1.9099388737231493e-11,8.126832540256146e-14,1.9539925233402755e-14,0.09999999999988181
individual_2015_full,22,1.1641532182693481e-10,5.3734794391857577e-14,3.197442310920451e-14,0.09999999999987638
individual_2015_full,23,3.8198777474462986e-11,4.199118830428006e-11,1.1546319456101628e-14,0.09999999999996508
individual_2015_full,24,0.0002620485483930679,1.0259770810705504e-10,4.796163466380676e-14,0.09999999997535543
individual_2015_full,25,6.75905575917568e-05,8.189959821436332e-11,9.459100169806334e-14,0.10000000002013347
individual_2015_full,26,0.00011689470829878701,2.7851054795746677e-12,5.684341886080802e-14,0.09999999999932416
individual_2015_full,27,1.7802685761125758e-06,3.909095269705176e-12,3.042011087472929e-14,0.09999999999805402
individual_2015_full,28,0.00012570759281516075,7.349676423018536e-14,4.884981308350689e-14,0.09999999999993012
individual_2015_full,29,9.225758731190581e-06,3.6648462042876417e-13,4.218847493575595e-14,0.09999999999977105
individual_2015_full,30,0.00014536620255967136,1.5432100042289676e-13,0.0,0.0999999999998489
individual_2015_full,31,9.033101378008723e-08,1.021405182655144e-14,1.1801670751765414e-13,0.10000000000000833
individual_2015_full,32,1.971045548998518e-11,3.0513369608797802e-12,2.1328772081830039e-13,0.1000000000010299
individual_2015_full,33,6.2225190049503e-06,7.531752999057062e-13,1.3233858453531866e-13,0.10000000000000184
individual_2015_full,34,0.00010325899347662926,9.020895141986784e-12,3.6415315207705135e-14,0.09999999999798319
individual_2015_full,35,3.2741809263825417e-11,7.238654120556021e-14,2.842170943040401e-14,0.09999999999992422
individual_2015_full,36,2.7057990337198135e-07,1.0058465171880471e-10,2.856603842360528e-13,0.10000000002773016
individual_2015_full,37,3.7141489883651957e-09,5.040412531798211e-14,2.1882495815361835e-13,0.0999999999999868
individual_2015_full,38,1.7644197214394808e-10,8.915090887740007e-14,2.930988785010413e-14,0.09999999999989544
individual_2015_full,39,3.637978807091713e-11,8.926193117986259e-14,1.9539925233402755e-14,0.09999999999984277
individual_2016_full,39,0.00013947798561275704,1.2312151298488061e-11,6.128431095930864e-14,0.09999999999994091
individual_2015_full,40,0.00016622579641989432,1.0658141036401503e-13,2.220446049250313e-14,0.09999999999988922
individual_2016_full,40,7.116720553312916e-06,4.785949414554125e-12,2.19824158875781e-14,0.09999999999999962
individual_2015_full,41,1.89471875273739e-05,2.9698465908722937e-13,5.3734794391857577e-14,0.09999999999979822
individual_2016_full,41,0.00017532147103338502,5.6278981475088585e-11,6.483702463810914e-14,0.09999999998645623
individual_2015_full,42,1.0460480552865192e-06,2.8121949213755215e-12,1.1612932837579137e-13,0.09999999999921602
individual_2016_full,42,1.8965029084938578e-06,1.0352541046643182e-10,1.8607337892717624e-13,0.09999999997187256
individual_2015_full,43,4.654099029721692e-05,3.4861002973229915e-14,9.592326932761353e-14,0.10000000000000611
individual_2016_full,43,2.534970917622559e-07,8.72315553124281e-11,2.7622348852673895e-13,0.10000000003627318
individual_2015_full,44,4.18367562815547e-11,9.446887716535457e-12,1.1546319456101628e-14,0.10000000000002476
individual_2016_full,44,5.353941196517553e-05,9.225953334635051e-14,6.17284001691587e-14,0.09999999999992955
individual_2015_full,45,1.4551915228366852e-11,1.9658719097037647e-11,8.881784197001252e-15,0.10000000000003222
individual_2016_full,45,0.00025475929032836575,1.3999912340523224e-13,1.0480505352461478e-13,0.09999999999981835
individual_2015_full,46,3.2741809263825417e-11,3.26458859944978e-11,8.881784197001252e-16,0.10000000000763573
individual_2016_full,46,2.866690920200199e-06,3.656852598510341e-12,3.885780586188048e-14,0.10000000000002715
individual_2015_full,47,4.065510893269675e-06,1.5733325753330973e-10,1.4521717162097048e-13,0.10000000004232949
individual_2016_full,47,9.525897439743858e-07,6.119715845187557e-11,7.105427357601002e-15,0.09999999998329667
individual_2015_full,48,0.0002317410380783258,1.709743457922741e-13,4.529709940470639e-14,0.09999999999983211
individual_2016_full,48,3.597165232349653e-07,6.340039604424419e-12,1.6187051699034782e-13,0.09999999999983407
individual_2015_full,49,8.549250196665525e-11,8.570921750106208e-14,2.1316282072803006e-14,0.09999999999989358
individual_2016_full,49,5.492165655596182e-08,2.4580337765200966e-13,3.214095656289828e-13,0.09999999999997884
individual_2015_full,50,1.0913936421275139e-11,5.828670879282072e-14,6.750155989720952e-14,0.09999999999989513
individual_2016_full,50,1.6379999578930438e-08,3.464084574744675e-11,4.817257703848554e-13,0.0999999999894677
individual_2021_10pct,50,1.4551915228366852e-10,9.614531393253856e-14,6.217248937900877e-14,0.09999999999986964
all_2015_2016_2021,50,0.0003965688665630296,8.382183835919932e-14,7.993605777301127e-14,0.09999999999986173
individual_2015_full,51,1.2732925824820995e-10,6.494804694057166e-14,0.0,0.09999999999986205
individual_2016_full,51,3.3467131288489327e-09,5.2735593669694936e-14,1.4982459717316488e-13,0.09999999999999461
individual_2021_10pct,51,3.393495262571378e-08,9.592326932761353e-14,6.439293542825908e-14,0.09999999999997995
all_2015_2016_2021,51,0.00018041910152533092,3.108624468950438e-14,8.171241461241152e-14,0.09999999999996423
individual_2015_full,52,2.7284841053187847e-11,1.3389289676979388e-13,5.1514348342607263e-14,0.09999999999981804
individual_2016_full,52,2.9110105970175937e-07,2.0776491638230254e-11,1.4988010832439613e-13,0.0999999999904633
individual_2021_10pct,52,3.269291846663691e-05,4.94557728103473e-11,3.375077994860476e-14,0.09999999998767597
all_2015_2016_2021,52,3.0043265724088997e-06,1.3233858453531866e-13,3.0242475190789264e-13,0.09999999999991276
individual_2015_full,53,2.6131567210541107e-05,3.2462921240039577e-13,3.774758283725532e-14,0.09999999999979445
individual_2016_full,53,0.0004311496921758362,4.779066031801449e-12,1.1639782887540306e-11,0.10000000000163667
individual_2021_10pct,53,3.1934423532220535e-05,1.6830981053317373e-13,3.68594044175552e-14,0.10000000000003995
all_2015_2016_2021,53,2.5302142603322864e-08,1.616484723854228e-13,2.978728375069295e-13,0.0999999999999561
individual_2015_full,54,8.019642336876132e-07,1.2090806134068544e-10,1.7186252421197423e-13,0.09999999994647715
individual_2016_full,54,1.809098648664076e-07,4.75889327944401e-11,4.1522341120980855e-14,0.09999999997881888
individual_2021_10pct,54,1.9273329598945566e-09,5.837552663479073e-13,4.589106872288085e-13,0.09999999999998599
all_2015_2016_2021,54,8.365577741642483e-08,4.6692871791265134e-11,5.03819208574896e-13,0.1000000000213838
