scope_key,scope_label,dataset_set,mass_MeV,n_fit_bins,dimuon_factor,signal_yield_per_eps2_fitted_window,eps2_current_ee_raw,eps2_fixed_ee_raw,eps2_current_display,eps2_fixed_display,fixed_over_current,p0_current,log_p0_current,Z_current,p0_fixed,log_p0_fixed,Z_fixed,signed_r_fixed,Ahat_fixed_window,sigma_A_fixed_window,eps2_hat_fixed_unbounded_ee_raw,eps2_fixed_asimov_ee_raw,eps2_profiled_asimov_ee_raw,eps2_fixed_asimov_display,eps2_profiled_asimov_display,fixed_over_profiled_asimov,fixed_cls_at_limit,inherited_2016_numerical_exception,fixed_background_uncertainty_omitted,conditional_on_frozen_gp,gp_reoptimized,prior_2021_fixed_limit_relative_delta,prior_2021_fixed_r_delta
individual_2015_full,2015 full,2015,19,16,1.0,265796818.52123833,6.028720311142007e-06,1.1952205443670581e-06,6.028720311142007e-06,1.1952205443670581e-06,0.1982544358805476,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-6.281151736539158,-5707.480326957091,906.2953505373649,-2.1473094970476625e-05,5.63319055530681e-06,1.6242399804934887e-05,5.63319055530681e-06,1.6242399804934887e-05,0.3468200895778524,0.09999999999960837,False,True,True,False,,
individual_2015_full,2015 full,2015,20,18,1.0,379009431.6061488,1.3250739100729953e-05,1.4642929267698412e-06,1.3250739100729953e-05,1.4642929267698412e-06,0.11050650953418717,0.4833791450286052,-0.7269539539094306,0.0416743648887986,0.5,-0.6931471805599453,0.0,-4.131744117464654,-4565.5758313209635,1103.4387495598749,-1.2046074452483085e-05,4.801999179414914e-06,1.3069826831673178e-05,4.801999179414914e-06,1.3069826831673178e-05,0.3674110790647843,0.09999999999905043,False,True,True,False,,
individual_2015_full,2015 full,2015,21,18,1.0,492318919.8096628,2.62940119494728e-05,1.8729931810284704e-05,2.62940119494728e-05,1.8729931810284704e-05,0.7123268920040269,0.005940912807469,-5.125892486122727,2.515634723312826,9.23613411572798e-10,-20.802727517578322,6.010701123451329,6.010701123451329,7597.686365354237,1266.276425991758,1.5432448479314193e-05,4.221730197203135e-06,1.136778194058442e-05,4.221730197203135e-06,1.136778194058442e-05,0.3713767751060586,0.09999999999989903,False,True,True,False,,
individual_2015_full,2015 full,2015,22,20,1.0,612933316.5056059,1.6849498786461963e-05,2.936626744084558e-05,1.6849498786461963e-05,2.936626744084558e-05,1.7428570317142278,0.0770457924519072,-2.5633553267290545,1.425227031378324,3.3075467292246185e-30,-67.88134604465279,11.359991684426843,11.359991684426843,16169.361917111364,1427.6319549872383,2.638029534647343e-05,3.8142603878194705e-06,1.0060638541528098e-05,3.8142603878194705e-06,1.0060638541528098e-05,0.37912706753900804,0.09999999999986905,False,True,True,False,,
individual_2015_full,2015 full,2015,23,20,1.0,719405630.3758705,5.967122211967021e-06,8.348390130942852e-07,5.967122211967021e-06,8.348390130942852e-07,0.1399064714009077,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-5.592080528319587,-8665.507762534015,1547.5102983432882,-1.2045371062784864e-05,3.5474241136084486e-06,9.271116714597163e-06,3.5474241136084486e-06,9.271116714597163e-06,0.382631804000818,0.09999999999995442,False,True,True,False,,
individual_2015_full,2015 full,2015,24,22,1.0,829316244.2441415,5.086191137630236e-06,9.02099793623158e-07,5.086191137630236e-06,9.02099793623158e-07,0.1773625428562768,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-4.745003449201367,-7939.832877835214,1671.517874236661,-9.573950749115939e-06,3.32180143550202e-06,8.868983998910428e-06,3.32180143550202e-06,8.868983998910428e-06,0.3745413720342837,0.0999999999753867,False,True,True,False,,
individual_2015_full,2015 full,2015,25,22,1.0,917968056.1605799,6.982118142580113e-06,1.1026242622272805e-06,6.982118142580113e-06,1.1026242622272805e-06,0.1579211694375349,0.5,-0.6931471805599453,0.0,0.5,-0.6931471805599453,0.0,-3.482075054066192,-6127.58149505426,1758.4457957670088,-6.67515765274338e-06,3.155637599089377e-06,8.047059515911103e-06,3.155637599089377e-06,8.047059515911103e-06,0.392147913514231,0.10000000002016722,False,True,True,False,,
individual_2015_full,2015 full,2015,26,24,1.0,1007997705.006175,8.504925358416046e-06,9.318982769855262e-07,8.504925358416046e-06,9.318982769855262e-07,0.10957159971584779,0.3834249031797314,-0.9586114969595555,0.2964979839594137,0.5,-0.6931471805599453,0.0,-4.0807791567726035,-7559.780009848728,1850.9971382275025,-7.499798831191204e-06,3.025973480979747e-06,7.620808348809716e-06,3.025973480979747e-06,7.620808348809716e-06,0.3970672588101983,0.09999999999939983,False,True,True,False,,
individual_2015_full,2015 full,2015,27,24,1.0,1075273836.6436706,7.721166893556462e-06,4.949955960545426e-06,7.721166893556462e-06,4.949955960545426e-06,0.6410891033421785,0.443594676918176,-0.8128440233115195,0.1418615650756263,0.0717997576612377,-2.6338741781253296,1.4625172701031768,1.4625172701031768,2793.2434114079424,1910.4355929771982,2.5977042463217498e-06,2.9218671278374134e-06,7.3213812418547925e-06,2.9218671278374134e-06,7.3213812418547925e-06,0.3990868705393615,0.09999999999805402,False,True,True,False,,
individual_2015_full,2015 full,2015,28,26,1.0,1143174129.2279308,7.527736631736017e-06,9.651459179539154e-06,7.527736631736017e-06,9.651459179539154e-06,1.282119666467844,0.4715599882342036,-0.7517089565090043,0.0713490273140018,8.527070697691016e-06,-11.672264667199562,4.300333304985918,4.300333304985918,8498.067667639849,1977.7608437234321,7.433747362161893e-06,2.8425966656263887e-06,7.230349251890213e-06,2.8425966656263887e-06,7.230349251890213e-06,0.39314790566766267,0.09999999999988074,False,True,True,False,,
