scope_key,scope_label,method,mass_MeV,p0,log_p0,Z_local,inherited_2016_numerical_exception
individual_2015_full,2015 full,current,51,0.0008462825153401,-7.0746573116220395,3.139465223457327,False
individual_2015_full,2015 full,fixed,51,5.477036964203069e-33,-74.28474381403747,11.906451291461677,False
individual_2016_full,2016 full,current,90,0.0003088890981128,-8.082528251272347,3.4236866105162984,True
individual_2016_full,2016 full,fixed,88,1.4250369342912712e-17,-38.78974884871315,8.452550430148747,True
individual_2021_10pct,2021 10%,current,78,0.0024748462183818,-6.001577018879012,2.8102897012100323,False
individual_2021_10pct,2021 10%,fixed,77,2.7016837185244134e-17,-38.15007140279235,8.377565547109654,False
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,current,66,0.002844895053562,-5.8622291001116285,2.765142689691207,True
all_2015_2016_2021,2015 full + 2016 full + 2021 10%,fixed,50,1.2704951563248053e-14,-31.99678459056235,7.619784775846543,True
