scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy,dimuon_factor,eps2_observed_ee_raw,expected_q025_ee_raw,expected_q16_ee_raw,expected_median_ee_raw,expected_q84_ee_raw,expected_q975_ee_raw,expected_mean_ee_raw,expected_std_ee_raw,selected_scope_key,active_scope_short_label,n_strong,n_weak,p0_local_asymptotic,Z_local_asymptotic,pvalue_method,p_strong,p_weak,p_two,empirical_p_resolution,diagnostic_definition,construction
individual_2015_full,2015 full,2015,19,0.019,300,0,299,6.028720311142007e-06,8.56859256869187e-06,1.1719767592486948e-05,1.645605629141075e-05,2.41918552795809e-05,3.222470149913192e-05,1.7716555679460997e-05,6.401200997983439e-06,0.0033333333333333,linear,True,False,1.0,6.028720311142007e-06,8.56859256869187e-06,1.1719767592486948e-05,1.645605629141075e-05,2.41918552795809e-05,3.222470149913192e-05,1.7716555679460997e-05,6.401200997983439e-06,individual_2015_full,2015,1,299,0.5,0.0,fixed-mass local asymptotic one-sided profile LRT,0.0033333333333333,0.9966666666666668,0.0066666666666666,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,20,0.02,300,0,299,1.3250739100729953e-05,7.1342261840937525e-06,9.245697138867882e-06,1.3274003348935836e-05,1.8351160938334343e-05,2.6756918660987223e-05,1.3913658782222637e-05,4.8460065218595285e-06,0.4966666666666666,linear,True,False,1.0,1.3250739100729953e-05,7.1342261840937525e-06,9.245697138867882e-06,1.3274003348935836e-05,1.8351160938334343e-05,2.6756918660987223e-05,1.3913658782222637e-05,4.8460065218595285e-06,individual_2015_full,2015,149,151,0.4833791450286051,0.0416743648887986,fixed-mass local asymptotic one-sided profile LRT,0.4966666666666666,0.5033333333333333,0.9933333333333332,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,21,0.021,300,0,299,2.62940119494728e-05,5.9509828762308415e-06,8.165213351810401e-06,1.1985673773660613e-05,1.7215851824621277e-05,2.2468104856249323e-05,1.2577481021539786e-05,4.483937764847752e-06,0.9966666666666668,linear,True,False,1.0,2.62940119494728e-05,5.9509828762308415e-06,8.165213351810401e-06,1.1985673773660613e-05,1.7215851824621277e-05,2.2468104856249323e-05,1.2577481021539786e-05,4.483937764847752e-06,individual_2015_full,2015,299,1,0.005940912807469,2.515634723312826,fixed-mass local asymptotic one-sided profile LRT,0.9966666666666668,0.0033333333333333,0.0066666666666666,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,22,0.022,300,0,299,1.6849498786461963e-05,5.643470543850739e-06,7.1570930076441095e-06,1.0006966422286602e-05,1.4478601517401426e-05,2.024272086933653e-05,1.0809161891332006e-05,3.873004261038886e-06,0.93,linear,True,False,1.0,1.6849498786461963e-05,5.643470543850739e-06,7.1570930076441095e-06,1.0006966422286602e-05,1.4478601517401426e-05,2.024272086933653e-05,1.0809161891332006e-05,3.873004261038886e-06,individual_2015_full,2015,279,21,0.0770457924519071,1.425227031378324,fixed-mass local asymptotic one-sided profile LRT,0.93,0.07,0.14,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,23,0.023,300,0,299,5.967122211967021e-06,4.908424500830597e-06,6.713540237624731e-06,9.101298253937608e-06,1.3423185383637623e-05,1.78669754528353e-05,9.8131504029446e-06,3.463848050120011e-06,0.1,linear,True,False,1.0,5.967122211967021e-06,4.908424500830597e-06,6.713540237624731e-06,9.101298253937608e-06,1.3423185383637623e-05,1.78669754528353e-05,9.8131504029446e-06,3.463848050120011e-06,individual_2015_full,2015,30,270,0.5,0.0,fixed-mass local asymptotic one-sided profile LRT,0.1,0.9,0.2,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,24,0.024,300,0,299,5.086191137630236e-06,4.899452171637511e-06,6.356638501546489e-06,8.638815447283453e-06,1.2646667198761777e-05,1.7753625637510028e-05,9.35542951345593e-06,3.2536495804338193e-06,0.0366666666666666,linear,True,False,1.0,5.086191137630236e-06,4.899452171637511e-06,6.356638501546489e-06,8.638815447283453e-06,1.2646667198761777e-05,1.7753625637510028e-05,9.35542951345593e-06,3.2536495804338193e-06,individual_2015_full,2015,11,289,0.5,0.0,fixed-mass local asymptotic one-sided profile LRT,0.0366666666666666,0.9633333333333332,0.0733333333333333,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,25,0.025,300,0,299,6.982118142580113e-06,3.866250679833507e-06,5.566327166663296e-06,7.914631357742992e-06,1.1262486158023023e-05,1.4263447964166604e-05,8.347578544052192e-06,2.8435122224855507e-06,0.3633333333333333,linear,True,False,1.0,6.982118142580113e-06,3.866250679833507e-06,5.566327166663296e-06,7.914631357742992e-06,1.1262486158023023e-05,1.4263447964166604e-05,8.347578544052192e-06,2.8435122224855507e-06,individual_2015_full,2015,109,191,0.5,0.0,fixed-mass local asymptotic one-sided profile LRT,0.3633333333333333,0.6366666666666667,0.7266666666666666,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,26,0.026,300,0,299,8.504925358416046e-06,3.978255157400601e-06,5.2883954908607926e-06,7.274481133263332e-06,1.0784172339649228e-05,1.43346986916437e-05,7.996570930090108e-06,2.8573896611496763e-06,0.6333333333333333,linear,True,False,1.0,8.504925358416046e-06,3.978255157400601e-06,5.2883954908607926e-06,7.274481133263332e-06,1.0784172339649228e-05,1.43346986916437e-05,7.996570930090108e-06,2.8573896611496763e-06,individual_2015_full,2015,190,110,0.3834249031797313,0.2964979839594136,fixed-mass local asymptotic one-sided profile LRT,0.6333333333333333,0.3666666666666666,0.7333333333333332,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,27,0.027,300,0,299,7.721166893556462e-06,3.6125693345972216e-06,5.266653204861111e-06,7.087576720628212e-06,1.011016328994396e-05,1.362480985782683e-05,7.613240610389621e-06,2.710581235098599e-06,0.6,linear,True,False,1.0,7.721166893556462e-06,3.6125693345972216e-06,5.266653204861111e-06,7.087576720628212e-06,1.011016328994396e-05,1.362480985782683e-05,7.613240610389621e-06,2.710581235098599e-06,individual_2015_full,2015,180,120,0.443594676918176,0.1418615650756263,fixed-mass local asymptotic one-sided profile LRT,0.5999999999999999,0.4,0.8,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
individual_2015_full,2015 full,2015,28,0.028,300,0,299,7.527736631736017e-06,3.7026396557328303e-06,5.1784952383639755e-06,7.260477251097555e-06,1.0075027029979996e-05,1.4783536936810103e-05,7.701688739723537e-06,2.6701251227595907e-06,0.5333333333333333,linear,True,False,1.0,7.527736631736017e-06,3.7026396557328303e-06,5.1784952383639755e-06,7.260477251097555e-06,1.0075027029979996e-05,1.4783536936810103e-05,7.701688739723537e-06,2.6701251227595907e-06,individual_2015_full,2015,160,140,0.4715599882342035,0.0713490273140018,fixed-mass local asymptotic one-sided profile LRT,0.5333333333333333,0.4666666666666666,0.9333333333333332,0.0033333333333333,"p_strong=Pr(UL_toy<=UL_obs); p_weak=Pr(UL_toy>=UL_obs); p_two=min(1,2*min(p_strong,p_weak))",maximal_available_final_dataset_scope_at_each_mass
