dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,review_selected_source,review_attempt_count,review_finite_attempt_count,review_branch_multiplicity,review_selected_state_reproducing_attempt_count,review_status,review_interpolated,review_selected_attempt,review_selected_at_kernel_bound,attempt_01_lml,attempt_02_lml,review_all_attempt_sources,review_all_finite_lml,window,draw_index
2021,0.05,0.0019941875,0.045513078125,0.054486921875,432274745.5035101,1.64,0.0467295325,0.0532704675,0.0065409349999999,0.0,1.0,8000,0.000125,True,22923.068133135435,3.443997275161699e-05,0.0001595825074624,3.599226578856512,16873.47511373446,4696.880541431412,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.39**2 * RBF(length_scale=0.327),0.0430198208653474,0.586633920891102,0.1588612167593829,0.3272249282667682,0.0391089280594068,54.656184723084365,1682.4721279539506,402,9,393,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.367013480137086,21.57260581833327,294.1718975227264,164.0893488033438,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,1,1,1,1,single_attempt_outside_55_75MeV,False,,,,,,,window_2p25eq2p5,3
2021,0.051,0.002001485875,0.04649665678125,0.0555033432187499,505722115.71658146,1.64,0.047717563165,0.0542824368349999,0.0065648736699999,0.0,1.0,8000,0.000125,True,19113.28112104338,2.406428970413057e-05,0.0043456922778592,2.6239605730346796,12797.095963850295,4896.521921548616,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.42**2 * RBF(length_scale=0.328),0.0423437473933882,0.5774147371825666,0.1563646500091317,0.3284061437242186,0.0384943158121711,54.995180373009454,1676.5013519072556,401,10,391,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.531289277269954,21.15615599504954,288.4930362961301,164.08116980801506,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,1,1,1,1,single_attempt_outside_55_75MeV,False,,,,,,,window_2p25eq2p5,3
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,9096.62547698636,9.7522277125879e-06,0.3778425605268144,0.3111519347287481,1526.984770716211,4924.450941278799,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.81**2 * RBF(length_scale=0.322),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3215776483353193,0.0379061660828008,61.064071979060536,1672.9713467833192,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.483518159891899,20.75544844739304,283.02884246445046,160.07202165468996,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,1,1,1,1,single_attempt_outside_55_75MeV,False,,,,,,,window_2p25eq2p5,3
2021,0.053,0.002016597875,0.0484626547812499,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.00661444103,0.0,1.0,8000,0.000125,True,6212.084434770637,5.749474032238243e-06,0.5,0.0,-5399.313968294593,5072.219980371054,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.82**2 * RBF(length_scale=0.32),0.0410773062694674,0.5601450854927381,0.1516880062237032,0.3201593959158289,0.0373430056995158,61.11362804000236,1668.9259974258682,402,14,388,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.573476877893082,20.369607039017364,277.76736871387317,158.7621408734396,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,1,1,1,1,single_attempt_outside_55_75MeV,False,,,,,,,window_2p25eq2p5,3
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.00664006972,0.0,1.0,8000,0.000125,True,5571.3296506861825,4.506544863281518e-06,0.5,0.0,-12394.181890897704,5465.977691123726,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.57**2 * RBF(length_scale=0.318),0.0404838157112043,0.552052032425514,0.1494963970927404,0.3183739080981895,0.0368034688283676,57.23056002343074,1663.2084330885407,401,15,386,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.650649469562808,19.99781947059892,272.6975382354398,157.2673876324994,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,1,1,1,1,single_attempt_outside_55_75MeV,False,,,,,,,window_2p25eq2p5,3
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.0066662617499999,0.0,1.0,8000,0.000125,True,5532.8931523693645,3.955500625779033e-06,0.5,0.0,-13740.524605252704,5573.946153633839,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.62**2 * RBF(length_scale=0.319),0.0399149161083646,0.5442943105686093,0.1473955960828078,0.3191373085701615,0.0362862873712406,57.99817455110079,1667.7750972717752,402,17,385,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.794983771833868,19.639331569216612,267.8090668529538,157.0250931281133,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,2,2,1,2,stable_reproduced,False,attempt_01_full,False,1667.7750972717752,1667.7750965052448,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,1667.77509727|1667.77509651,window_2p25eq2p5,3
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.05934650856,0.00669301712,0.0,1.0,8000,0.000125,True,6062.011679428129,3.869107707413298e-06,0.5,0.0,-11907.919207156969,5808.694749840088,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.65**2 * RBF(length_scale=0.322),0.0393693106142212,0.5368542356484718,0.1453808142699889,0.3220386319849981,0.0357902823765647,58.50001362460705,1663.0221102959874,401,18,383,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.997934930959547,19.293442180026243,263.0923933639942,157.8192157546422,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,2,2,1,2,stable_reproduced,False,attempt_02_55_75MeV,False,1663.0221085703345,1663.0221102959874,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,1663.02210857|1663.0221103,window_2p25eq2p5,3
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990658877.0938792,1.64,0.053639832085,0.060360167915,0.0067203358299999,0.0,1.0,8000,0.000125,True,7046.060397132952,4.051979993632474e-06,0.5,0.0,-6680.210828259833,5837.4693704162455,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.14**2 * RBF(length_scale=0.325),0.0388457919743114,0.5297153451042469,0.1434475935717297,0.3253357988591855,0.0353143563402831,66.25808545741728,1659.9784368063777,401,20,381,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.212564876570456,18.959498587400432,258.53861710091496,158.7869188760658,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,3,3,2,2,resolved_reproduced_max_lml,False,attempt_02_55_75MeV,False,1164.6511179944607,1659.9784368063777,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repairs/window_2p25eq2p5/draw_03/m057/attempt_03/results_single.csv,1164.65111799|1659.97843681|1659.97843327,window_2p25eq2p5,3
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071471075.6314114,1.64,0.05462589106,0.06137410894,0.00674821788,0.0,1.0,8000,0.000125,True,10244.723889139808,5.353178619599767e-06,0.4507893565064983,0.1236672882174135,731.5112359073111,5960.693886977652,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.06**2 * RBF(length_scale=0.32),0.0383432349203511,0.5228622943684247,0.1415917786595051,0.3203123872700786,0.0348574862912283,64.90743761892743,1658.97143002833,401,21,380,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.18919926106902,18.63689240258374,254.13944185341464,155.68919808585937,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,2,2,1,2,stable_reproduced,False,attempt_02_55_75MeV,False,1658.9714273602297,1658.97143002833,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,1658.97142736|1658.97143003,window_2p25eq2p5,3
2021,0.059,0.002066055875,0.0543513742812499,0.0636486257187499,1150974145.3693802,1.64,0.055611668365,0.0623883316349999,0.0067766632699999,0.0,1.0,8000,0.000125,True,12850.09042513049,6.144810951487698e-06,0.2437080364904322,0.6944244371287136,4192.1141159095805,6039.242939277748,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.92**2 * RBF(length_scale=0.319),0.0378605893261601,0.516280763538548,0.139809491685398,0.319010594200215,0.0344187175692365,62.72951313433008,1658.224365915269,401,23,378,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.268520640215453,18.325055863341635,249.88712540920412,154.40559863862106,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,2,2,1,2,stable_reproduced,False,attempt_01_full,False,1658.224365915269,1658.2243657330052,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,1658.22436592|1658.22436573,window_2p25eq2p5,3
2021,0.06,0.0020749,0.055331475,0.064668525,1227564252.941958,1.64,0.056597164,0.063402836,0.006805672,0.0,1.0,8000,0.000125,True,15369.98501879597,6.776382039522254e-06,0.1183701507104045,1.183173731441625,7168.9182555855905,6064.834590495169,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.74**2 * RBF(length_scale=0.317),0.0373968740379758,0.5099573732451246,0.1380971094990222,0.3168607144708466,0.0339971582163416,59.83265851025166,1663.513664551734,402,25,377,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.320211779305104,18.023458498229218,245.77443406676204,152.71131836273872,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv,2,2,1,2,stable_reproduced,False,attempt_01_full,False,1663.513664551734,1663.5136639264936,study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/runs/window_2p25eq2p5/draw_03/attempt_01/results_single.csv|study_results/v4p2_followups_20260806/pseudo65/gp_window_ensemble_20260806/central_repeat/window_2p25eq2p5/draw_03/attempt_02/results_single.csv,1663.51366455|1663.51366393,window_2p25eq2p5,3
