mass_MeV,width_scale,sigma_template_MeV,eps2_90,epsilon_90,A90_full_template_events,A90_fitted_window_events,limit_ratio_to_nominal,template_fraction_in_fixed_window,signal_yield_per_eps2_total,signal_yield_per_eps2_fitted_window,nominal_saved_eps2_90,cls_at_limit,limit_optimizer_ok,limit_convergence_reason,limit_numerical_method,limit_initial_error
50,0.8,1.5953500000000003,1.283091688274144e-05,0.003582026923787905,8540.19206214007,8511.79608122235,0.6066884456739824,0.9966750184643265,665594839.4169148,663381748.8656142,2.1149103752779968e-05,0.09999998740062167,True,bracket_width,production,
50,0.9,1.7947687500000002,1.6608217714740056e-05,0.004075318112091381,11054.344002843567,10954.307038614283,0.7852917981507425,0.9909504386507646,665594839.4169148,659571498.083877,2.1149103752779968e-05,0.09999993399250795,True,bracket_width,production,
50,1.0,1.9941875000000002,2.11491037520705e-05,0.004598815472713653,14076.734315671036,13812.05979688261,1.0,0.9811977328794381,665594839.4169148,653080147.4521306,2.1149103752779968e-05,0.10000015741407646,True,bracket_width,production,
50,1.1,2.1936062500000006,2.6073931657448874e-05,0.0051062639627666015,17354.674354507293,16787.56987002747,1.2328622509545462,0.9673226663378711,665594839.4169148,643844974.7654973,2.1149103752779968e-05,0.09999983070420038,True,bracket_width,production,
50,1.2,2.3930250000000006,3.0680071826419796e-05,0.005538959453400954,20420.497480605296,19395.13538050766,1.4506558852838487,0.9497876042896854,665594839.4169148,632173727.9573693,2.1149103752779968e-05,0.09999984968624981,True,bracket_width,tighter_optimizer_retry,sampled CLs curve is nonmonotonic beyond tolerance: 0.101035789467 > 0.100362191644 + 0.0005
51,0.8,1.6011887,7.635477454831448e-06,0.002763236771402597,6064.547463561005,6026.410407805894,0.654352148892219,0.9937114754259474,794259101.5999378,789264383.7213616,1.1668758890409897e-05,0.09999999496545017,True,cls_residual,production,
51,0.9,1.8013372875,9.502285472712214e-06,0.003082577731819948,7547.276722702543,7432.928478756662,0.8143355743290333,0.9848490723015473,794259101.5999378,782225339.3777592,1.1668758890409897e-05,0.099999964040282,True,bracket_width,production,
51,1.0,2.0014858749999997,1.1668758890389338e-05,0.0034159565117825104,9268.017953066923,9000.870335587515,1.0,0.9711753236957201,794259101.5999378,771364840.0945913,1.1668758890409897e-05,0.10000000798605922,True,cls_residual,production,
51,1.1,2.2016344625,1.4024674608733328e-05,0.0037449532184973054,11139.225454963993,10616.743807074641,1.2018994256779423,0.9530953341413413,794259101.5999378,757004643.8341942,1.1668758890409897e-05,0.10000001383090011,True,bracket_width,production,
51,1.2,2.4017830499999997,1.6372669466165753e-05,0.004046315542090824,13004.141740989544,12113.081503345416,1.4031200421538117,0.9314787353604834,794259101.5999378,739835463.506864,1.1668758890409897e-05,0.0999998977486541,True,bracket_width,production,
52,0.8,1.6071648000000003,5.807102875610493e-06,0.0024097931188403897,5416.715187810279,5397.413147376894,0.721813412182979,0.9964365783017682,932774105.0636762,929450237.5781435,8.045157900312727e-06,0.10000006135613149,True,bracket_width,production,
52,0.9,1.8080604000000002,6.857420296667216e-06,0.002618667656780298,6396.424080269252,6335.21382599676,0.8523661538525465,0.9904305509602929,932774105.0636762,923847970.799711,8.045157900312727e-06,0.09999999863671459,True,cls_residual,production,
52,1.0,2.008956,8.045157900361096e-06,0.0028363987555280546,7504.314960605286,7356.54327614115,1.0,0.9803084378467749,932774105.0636762,914406325.798896,8.045157900312727e-06,0.10000006742747891,True,bracket_width,production,
