mass_MeV,width_scale,sigma_template_MeV,n_fixed_fit_bins,template_fraction_in_fixed_window,signed_r,excess_Z_reference,deficit_magnitude_reference,p0_asymptotic_fixed_width_reference,A_hat_window,sigma_A_window,raw_signed_twice_delta_nll,signed_fallback_source,signed_fallback_nll_improvement,bounded_feasible_fallbacks,signed_feasible_fallbacks,covariance_diagonal_load_relative,nominal_saved_r,post_selection_width_scan,eps2_90,epsilon_90,A90_full_template_events,A90_fitted_window_events,signal_yield_per_eps2_total,signal_yield_per_eps2_fitted_window,nominal_saved_eps2_90,cls_at_limit,limit_optimizer_ok,limit_convergence_reason,limit_numerical_method,limit_initial_error,limit_ratio_to_nominal
50,0.8,1.5953500000000003,15,0.9966750184643265,1.1907488275450502,1.1907488275450502,0.0,0.11687610162213921,3982.498727823134,3348.479930935122,1.4178827702999115,none,0.0,0,0,1e-07,1.5685927192524247,True,1.283091688274144e-05,0.003582026923787905,8540.19206214007,8511.79608122235,665594839.4169148,663381748.8656142,2.1149103752779968e-05,0.09999998740062167,True,bracket_width,production,,0.6066884456739824
50,0.9,1.7947687500000002,15,0.9909504386507646,1.3897576091504524,1.3897576091504524,0.0,0.0823012472745012,5592.575056774379,4028.396424346539,1.9314262121915817,none,0.0,0,0,1e-07,1.5685927192524247,True,1.6608217714740056e-05,0.004075318112091381,11054.344002843567,10954.307038614283,665594839.4169148,659571498.083877,2.1149103752779968e-05,0.09999993399250795,True,bracket_width,production,,0.7852917981507425
50,1.0,1.9941875000000002,15,0.9811977328794381,1.5685927050028736,1.5685927050028736,0.0,0.05837143667311141,7505.370702101852,4789.0736809453165,2.4604830741882324,none,0.0,0,0,1e-07,1.5685927192524247,True,2.11491037520705e-05,0.004598815472713653,14076.734315671036,13812.05979688261,665594839.4169148,653080147.4521306,2.1149103752779968e-05,0.10000015741407646,True,bracket_width,production,,1.0
50,1.1,2.1936062500000006,15,0.9673226663378711,1.7020070142534198,1.7020070142534198,0.0,0.044377026693930885,9489.342230889328,5578.668821720765,2.8968278765678406,none,0.0,0,0,1e-07,1.5685927192524247,True,2.6073931657448874e-05,0.0051062639627666015,17354.674354507293,16787.56987002747,665594839.4169148,643844974.7654973,2.1149103752779968e-05,0.09999983070420038,True,bracket_width,production,,1.2328622509545462
50,1.2,2.3930250000000006,15,0.9497876042896854,1.768528382533831,1.768528382533831,0.0,0.03848630580498178,11162.554467678347,6312.487118333258,3.1276926398277283,none,0.0,0,0,1e-07,1.5685927192524247,True,3.0680071826419796e-05,0.005538959453400954,20420.497480605296,19395.13538050766,665594839.4169148,632173727.9573693,2.1149103752779968e-05,0.09999984968624981,True,bracket_width,tighter_optimizer_retry,sampled CLs curve is nonmonotonic beyond tolerance: 0.101035789467 > 0.100362191644 + 0.0005,1.4506558852838487
51,0.8,1.6011887,14,0.9937114754259474,0.04923112501763197,0.04923112501763197,0.0,0.4803675535776316,176.5930615042196,3597.7656816160224,0.002423703670501709,none,0.0,0,0,1e-07,0.23362631427278877,True,7.635477454831448e-06,0.002763236771402597,6064.547463561005,6026.410407805894,794259101.5999378,789264383.7213616,1.1668758890409897e-05,0.09999999496545017,True,cls_residual,production,,0.654352148892219
51,0.9,1.8013372875,14,0.9848490723015473,0.14213000382176136,0.14213000382176136,0.0,0.44348865956215044,610.5788961105376,4285.465756922993,0.0202009379863739,none,0.0,0,0,1e-07,0.23362631427278877,True,9.502285472712214e-06,0.003082577731819948,7547.276722702543,7432.928478756662,794259101.5999378,782225339.3777592,1.1668758890409897e-05,0.099999964040282,True,bracket_width,production,,0.8143355743290333
51,1.0,2.0014858749999997,14,0.9711753236957201,0.23362637805481268,0.23362637805481268,0.0,0.40763752382532786,1170.5087065565588,5015.649161214846,0.054581284523010254,none,0.0,0,0,1e-07,0.23362631427278877,True,1.1668758890389338e-05,0.0034159565117825104,9268.017953066923,9000.870335587515,794259101.5999378,771364840.0945913,1.1668758890409897e-05,0.10000000798605922,True,cls_residual,production,,1.0
51,1.1,2.2016344625,14,0.9530953341413413,0.3212115765388605,0.3212115765388605,0.0,0.3740250299061953,1835.461339097462,5726.043199012002,0.10317687690258026,none,0.0,0,0,1e-07,0.23362631427278877,True,1.4024674608733328e-05,0.0037449532184973054,11139.225454963993,10616.743807074641,794259101.5999378,757004643.8341942,1.1668758890409897e-05,0.10000001383090011,True,bracket_width,production,,1.2018994256779423
51,1.2,2.4017830499999997,14,0.9314787353604834,0.4004115773743248,0.4004115773743248,0.0,0.3444266992125746,2535.822892668884,6342.962023276873,0.1603294312953949,none,0.0,0,0,1e-07,0.23362631427278877,True,1.6372669466165753e-05,0.004046315542090824,13004.141740989544,12113.081503345416,794259101.5999378,739835463.506864,1.1668758890409897e-05,0.0999998977486541,True,bracket_width,production,,1.4031200421538117
