mass_MeV,nominal_r,r_min_across_widths,r_max_across_widths,best_excess_gain_same_mass,best_deficit_gain_same_mass
50,1.5685927050028736,1.1907488275450502,1.768528382533831,0.1999356775309573,0.0
51,0.23362637805481268,0.04923112501763197,0.4004115773743248,0.16678519931951213,0.0
52,-0.5493827135544872,-0.6791082632564208,-0.437912882393197,0.0,0.12972554970193362
53,-0.7965714680648373,-0.9176982237525669,-0.5946666518228826,0.0,0.12112675568772968
54,-0.5810757929711474,-0.6157510676775468,-0.4910529851546354,0.0,0.03467527470639942
55,-0.597735455818281,-0.6414782029564531,-0.59318384986006,0.0,0.043742747138172056
56,0.16440002599005946,0.14566103657172544,0.19367046569582289,0.02927043970576343,0.0
57,0.37545153136663073,0.3081659659647123,0.5484532878374813,0.17300175647085053,0.0
58,0.06702983009950828,-0.43234685369383263,0.321582231425974,0.2545524013264657,0.43234685369383263
59,-0.17719169181157718,-0.4315889767777887,-0.17719169181157718,0.0,0.2543972849662115
60,-0.8130983936786091,-0.8338884213567896,-0.6969606389680933,0.0,0.0207900276781805
61,-1.0301560755410866,-1.0464808447971583,-0.8982634666064062,0.0,0.016324769256071736
62,-0.05106567544763645,-0.35152485963864594,0.3303937136906439,0.3303937136906439,0.3004591841910095
63,0.6397892687732012,0.26057102714817776,0.9116035709014894,0.27181430212828817,0.0
64,2.020100024645652,1.6769483010404607,2.2628796748892857,0.24277965024363368,0.0
65,2.402877438198945,2.3037015842766952,2.430274696168893,0.027397257969948186,0.0
66,2.365980652715529,2.240633622156895,2.478470088699756,0.112489435984227,0.0
67,1.1534716501195628,0.8652488070074419,1.3044705695988172,0.15099891947925448,0.0
68,-0.5197623749801512,-0.5395804970960074,-0.518053807888316,0.0,0.019818122115856207
69,-2.3532848070853682,-2.3532848070853682,-2.283660960244283,0.0,0.0
70,-3.3724138453332735,-3.3724138453332735,-3.2335913164821335,0.0,0.0
71,-4.018785665184746,-4.239284147098613,-3.6565524897199144,0.0,0.22049848191386712
72,-3.18606228287063,-3.410569496940481,-2.843409329224615,0.0,0.22450721406985075
73,-1.6042553105158666,-1.6768268088895775,-1.409894734065014,0.0,0.07257149837371091
74,-0.21645665322007565,-0.35963463733689016,-0.07052326402931265,0.0,0.1431779841168145
75,0.9313897648840183,0.7793517511688919,0.9916536892648187,0.060263924380800415,0.0
76,1.8081439717494436,1.7421797508443744,1.8150895134997065,0.006945541750262851,0.0
77,2.5944286400808036,2.2054060091613645,3.004563962764367,0.41013532268356334,0.0
78,2.810289616372308,2.2703036308771685,3.215922725007087,0.4056331086347793,0.0
79,2.6171799503046715,2.181475558819665,2.836773310467291,0.21959336016261943,0.0
80,2.137399261733126,2.0159000090834036,2.1504323402675714,0.013033078534445242,0.0
81,1.7156966745104119,1.6730160607264197,1.867250369621605,0.1515536951111931,0.0
82,0.42877099522380807,0.42265812279362114,0.46193012749960677,0.0331591322757987,0.0
83,-0.7267393491717106,-0.8819063988603669,-0.6960441939913109,0.0,0.15516704968865636
84,-1.3604001312458252,-1.4089524475152206,-1.3235033741739723,0.0,0.04855231626939549
85,-1.9854987709571879,-2.1058763098951263,-1.7488316825402779,0.0,0.12037753893793846
86,-2.276210457124748,-2.4092040445359046,-1.9259254912237684,0.0,0.13299358741115652
87,-2.3655829452344292,-2.584976559409108,-2.0504142796203366,0.0,0.21939361417467884
88,-2.084566987673977,-2.2104935891240314,-1.9415127362342668,0.0,0.1259266014500544
89,-1.4698311093681915,-1.477322317338118,-1.4298191322639402,0.0,0.007491207969926528
90,-0.42012232055082016,-0.4850865337019629,-0.3170492914066479,0.0,0.06496421315114276
91,0.553523171426592,0.4878985927349608,0.5906146739884586,0.03709150256186655,0.0
92,1.2216796387109052,1.0570890705452656,1.2806789940118788,0.058999355300973555,0.0
93,1.5149465792588588,1.1764788918342388,1.7624646149458312,0.2475180356869724,0.0
94,1.4415180193978563,1.299520482978097,1.6402712849377152,0.19875326553985895,0.0
95,0.9340461050045168,0.8978008170451531,1.0288213684708334,0.0947752634663166,0.0
96,0.3579243114633473,-0.02616636303606048,0.6701943869222231,0.3122700754588758,0.02616636303606048
97,-0.22913153697010685,-0.6289860455613179,0.09562087904085029,0.09562087904085029,0.399854508591211
98,-0.10760593251603967,-0.4645504707494167,0.15694691685142298,0.15694691685142298,0.356944538233377
99,-0.040240270682651194,-0.04393988681783845,0.01496842876559505,0.01496842876559505,0.003699616135187253
100,0.4883928095214055,0.4883928095214055,0.5606891305364181,0.0722963210150126,0.0
101,0.7382727324786653,0.7266671300224553,0.7552881571359062,0.01701542465724093,0.0
102,0.5775898699170637,0.4243711868586743,0.6085896444120985,0.03099977449503477,0.0
103,0.8110694028271518,0.7145679546365888,0.8243144915327691,0.013245088705617358,0.0
104,0.717932277413042,0.7103343543044291,0.7354379631035187,0.017505685690476724,0.0
105,0.43759065778669914,0.43759065778669914,0.47749425135642226,0.03990359356972312,0.0
106,0.07134547679547446,0.0686577958917015,0.094687542301584,0.02334206550610954,0.0
107,-0.24912370645251364,-0.3054889994199989,-0.24430682819269442,0.0,0.05636529296748527
108,-0.5899847001177114,-0.6570418439775325,-0.5608514363776103,0.0,0.06705714385982109
109,-0.6446837736050726,-0.6446837736050726,-0.6086945280144659,0.0,0.0
110,-0.8690135048474266,-0.9520641426528526,-0.708933258315685,0.0,0.08305063780542599
111,-0.9986439093054007,-1.1183292983124922,-0.8092754641566655,0.0,0.11968538900709147
112,-1.2503018968318953,-1.5018174565308982,-0.9974739535475745,0.0,0.25151555969900286
113,-1.2754580843553258,-1.4581518082948284,-1.0826817013786145,0.0,0.18269372393950256
114,-1.0936580074315911,-1.095914823647211,-1.0300255065833765,0.0,0.0022568162156197946
115,-1.046852851747257,-1.0539249065040164,-0.9888483764860401,0.0,0.007072054756759316
116,-0.8473427891712625,-0.8609953083770031,-0.8196033864233859,0.0,0.01365251920574062
117,-0.5908439694547092,-0.6101065426164133,-0.5680212214394139,0.0,0.0192625731617041
118,-0.03734234412192496,-0.1285694230014054,0.09749345561829889,0.09749345561829889,0.09122707887948042
119,0.33983173568360014,0.27930050294027037,0.3770639523466022,0.03723221666300208,0.0
120,0.6754248235901441,0.6306881982385348,0.6758851869950236,0.000460363404879538,0.0
121,0.994057102854281,0.9621978805789826,1.0006580273945511,0.00660092454027017,0.0
122,1.0830027766751298,1.0179565077636192,1.1258466766426962,0.042843899967566434,0.0
123,1.1847089040116205,1.1440186117382218,1.236414419721119,0.05170551570949855,0.0
124,1.0677618835170204,0.9574559106461763,1.1589086741226269,0.09114679060560649,0.0
125,0.9775491841618222,0.733418673910434,1.1706730591480699,0.1931238749862476,0.0
126,0.9827294598113882,0.6278930463527057,1.2782793730612538,0.2955499132498657,0.0
127,0.9200254086427275,0.6238684424436135,1.1372963136092493,0.2172709049665218,0.0
128,0.8181681990092041,0.6760391008027634,0.8767205080631015,0.05855230905389741,0.0
129,0.8582200004852722,0.8078013052247683,0.9065828041135661,0.048362803628293816,0.0
130,0.6308341006480513,0.5256319874266164,0.7522514246999701,0.12141732405191874,0.0
131,0.2433177661379757,0.02871845172980396,0.47662865851774205,0.23331089237976635,0.0
132,-0.08109659237740542,-0.25767490298623824,0.10175701001925357,0.10175701001925357,0.17657831060883283
133,-0.30051211912499853,-0.3043417803203841,-0.28340620454835586,0.0,0.003829661195385581
134,-0.5869332308820626,-0.7241534626491902,-0.43502280005631017,0.0,0.1372202317671276
135,-0.9179968646999498,-1.0088353252604447,-0.8564101139086532,0.0,0.09083846056049494
136,-1.0447544284597992,-1.0667917023082525,-1.0288338678457367,0.0,0.02203727384845333
137,-1.0864929864220811,-1.1627399304654584,-0.9802206873072998,0.0,0.07624694404337728
138,-0.9772145497695769,-1.0151982364482532,-0.8268037007819752,0.0,0.037983686678676354
139,-0.905761504880155,-1.0169193969253725,-0.6982390076891647,0.0,0.11115789204521742
