polarity,mass_MeV,best_width_scale,nominal_r_same_mass,best_width_r,gain_same_mass,nominal_regional_peak_mass_MeV,nominal_regional_peak_r,gain_over_nominal_regional_peak,outside_prior_60_88_region,search_grid_endpoint
excess,78,1.2,2.810289616372308,3.215922725007087,0.4056331086347793,78,2.810289616372308,0.4056331086347793,False,False
excess,66,0.8,2.365980652715529,2.478470088699756,0.112489435984227,65,2.402877438198945,0.07559265050081132,False,False
excess,182,0.8,1.5702468326939325,1.893995409823498,0.3237485771295654,182,1.5702468326939325,0.3237485771295654,True,False
excess,50,1.2,1.5685927050028736,1.768528382533831,0.1999356775309573,50,1.5685927050028736,0.1999356775309573,True,True
excess,93,0.8,1.5149465792588588,1.7624646149458312,0.2475180356869724,93,1.5149465792588588,0.2475180356869724,True,False
excess,160,0.8,1.487912780724953,1.587389586581337,0.09947680585638397,160,1.487912780724953,0.09947680585638397,True,False
excess,250,1.2,1.342141373733242,1.4834563323746752,0.14131495864143329,250,1.342141373733242,0.14131495864143329,True,True
excess,208,1.2,1.4116574932249393,1.4608795440112246,0.049222050786285276,208,1.4116574932249393,0.049222050786285276,True,False
excess,126,1.2,0.9827294598113882,1.2782793730612538,0.2955499132498657,123,1.1847089040116205,0.09357046904963329,True,False
deficit,71,1.2,-4.018785665184746,-4.239284147098613,0.22049848191386712,71,-4.018785665184746,0.22049848191386712,False,False
deficit,87,1.2,-2.3655829452344292,-2.584976559409108,0.21939361417467884,87,-2.3655829452344292,0.21939361417467884,False,False
deficit,172,1.2,-1.7815691469620871,-1.866112151992267,0.08454300503017986,172,-1.7815691469620871,0.08454300503017986,True,False
deficit,222,0.8,-1.4392518015309042,-1.5238008554889182,0.08454905395801404,222,-1.4392518015309042,0.08454905395801404,True,False
deficit,112,1.2,-1.2503018968318953,-1.5018174565308982,0.25151555969900286,113,-1.2754580843553258,0.22635937217557234,True,False
deficit,192,0.8,-1.1668070754073714,-1.3668522723523198,0.20004519694494838,192,-1.1668070754073714,0.20004519694494838,True,False
deficit,137,1.2,-1.0864929864220811,-1.1627399304654584,0.07624694404337728,137,-1.0864929864220811,0.07624694404337728,True,False
deficit,61,0.9,-1.0301560755410866,-1.0464808447971583,0.016324769256071736,61,-1.0301560755410866,0.016324769256071736,False,False
