phase,dataset,study,study_label,mode,lslb,n_groups,n_nonzero_groups,n_toy_rows,n_source_toys_median,rms_pull_mean_nonzero,median_abs_pull_mean_nonzero,pull_width_median_nonzero,pull_width_rmse_nonzero,cov1_abs_resid_mean_all,cov2_abs_resid_mean_all,sigma_ratio_median_all,eps_width_ratio_median_all,eps_95_exp_proxy_median_nonzero,eps_95_obs_proxy_median_nonzero,success_rate_min,refit_ok_rate_min,fallback_rate_max,score_lower_is_better,rank_within_dataset
highstat,2016,profiled_lslb0p9,"profiled bkg, lslb=0.9",profiled,0.9,25,20,625,25.0,0.32094031469493384,0.2790181495450658,0.9480017592186825,0.1004539530737252,0.05385999999999999,0.018299999999999962,1.0308244798926742,1.0152952673447633,0.011879485859233683,0.01827953248746378,1.0,1.0,0.0,0.18773443658055833,1.0
highstat,2016,profiled_lslb1p0,"profiled bkg, lslb=1",profiled,1.0,25,20,625,25.0,0.3770350752468064,0.2041973673577871,0.9237400481358287,0.112765647295459,0.06367599999999998,0.022939999999999964,1.0217333965895081,1.010808288741989,0.010683873300698431,0.017052543695850846,1.0,1.0,0.0,0.1939264776989395,2.0
highstat,2016,profiled_lslb1p1,"profiled bkg, lslb=1.1",profiled,1.1,25,20,625,25.0,0.4030450160240778,0.1688914048619778,0.8893710999551868,0.12790955672538792,0.09459600000000001,0.023819999999999966,1.0165955391692125,1.008263625828688,0.009786312438111145,0.016022202193940252,1.0,1.0,0.0,0.20287935191942646,3.0
