scenario,upper_factor,mass_MeV,selected_rows,exact_upper_bound_rows,exact_upper_bound_fraction,near_upper_bound_rows,near_upper_bound_fraction,exact_lower_bound_rows,exact_lower_bound_fraction,near_lower_bound_rows,near_lower_bound_fraction,exact_boundary_ratio,near_boundary_fractional_window
2021_10pct_x10,25,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,90,20,15,0.75,15,0.75,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,110,20,17,0.85,17,0.85,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,130,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,150,20,19,0.95,20,1.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,170,20,19,0.95,19,0.95,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,190,20,17,0.85,18,0.9,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,210,20,18,0.9,18,0.9,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,230,20,15,0.75,17,0.85,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,15,250,20,11,0.55,13,0.65,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,90,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,130,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,150,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,170,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,190,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,210,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,230,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,20,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,50,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,70,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,90,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,110,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,130,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,150,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,170,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,190,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,210,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,230,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x10,25,250,20,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
