scenario,background_toy_index,mass_MeV,mass_GeV,lower_factor,upper_factor,strict_lml_tolerance,gate_lml_per_train_tolerance,comparable,reason,n_train,lower_lml,upper_lml,delta_lml_upper_minus_lower,delta_lml_per_train,strict_nested_order_violation,material_nested_order_violation,same_input_geometry
2021_1pct_x10,0,50,0.05,15,20,0.0001,0.001,True,,402.0,1638.3634620999676,1638.3634628949983,7.950307008286472e-07,1.977688310519023e-09,False,False,True
2021_1pct_x10,0,50,0.05,20,25,0.0001,0.001,True,,402.0,1638.3634628949983,1638.363465352502,2.457503796904348e-06,6.113193524637681e-09,False,False,True
2021_1pct_x10,0,70,0.07,15,20,0.0001,0.001,True,,400.0,1616.1818859615505,1616.1818873203713,1.3588207821157994e-06,3.3970519552894984e-09,False,False,True
2021_1pct_x10,0,70,0.07,20,25,0.0001,0.001,True,,400.0,1616.1818873203713,1616.1818869055037,-4.148675998294493e-07,-1.0371689995736233e-09,False,False,True
2021_1pct_x10,0,90,0.09,15,20,0.0001,0.001,True,,398.0,1603.4927128630334,1603.5899765553258,0.09726369229247211,0.00024438113641324653,False,False,True
2021_1pct_x10,0,90,0.09,20,25,0.0001,0.001,True,,398.0,1603.5899765553258,1603.589976053525,-5.018007414037129e-07,-1.2608058829239017e-09,False,False,True
2021_1pct_x10,0,110,0.11,15,20,0.0001,0.001,True,,396.0,1589.4023664566057,1590.0129064375983,0.6105399809925984,0.0015417676287691879,False,False,True
2021_1pct_x10,0,110,0.11,20,25,0.0001,0.001,True,,396.0,1590.0129064375983,1590.012907240235,8.026368050195742e-07,2.0268606187362984e-09,False,False,True
2021_1pct_x10,0,130,0.13,15,20,0.0001,0.001,True,,394.0,1586.068809634151,1586.916001570351,0.8471919362000335,0.0021502333406092223,False,False,True
2021_1pct_x10,0,130,0.13,20,25,0.0001,0.001,True,,394.0,1586.916001570351,1586.9160012200764,-3.502746039885096e-07,-8.890218375342884e-10,False,False,True
2021_1pct_x10,0,150,0.15,15,20,0.0001,0.001,True,,390.0,1571.9887819318672,1572.939991042252,0.9512091103847524,0.0024389977189352625,False,False,True
2021_1pct_x10,0,150,0.15,20,25,0.0001,0.001,True,,390.0,1572.939991042252,1572.939991867819,8.255669854406733e-07,2.1168384242068548e-09,False,False,True
2021_1pct_x10,0,170,0.17,15,20,0.0001,0.001,True,,386.0,1555.7273991617926,1557.156528607119,1.4291294453264527,0.003702407889446769,False,False,True
2021_1pct_x10,0,170,0.17,20,25,0.0001,0.001,True,,386.0,1557.156528607119,1557.1565295334915,9.263724223274039e-07,2.3999285552523417e-09,False,False,True
2021_1pct_x10,0,190,0.19,15,20,0.0001,0.001,True,,382.0,1560.3149389955493,1560.779532262167,0.4645932666178396,0.0012162127398372764,False,False,True
2021_1pct_x10,0,190,0.19,20,25,0.0001,0.001,True,,382.0,1560.779532262167,1560.7795311824034,-1.079763706002268e-06,-2.8266065602153614e-09,False,False,True
2021_1pct_x10,0,210,0.21,15,20,0.0001,0.001,True,,378.0,1557.892120398962,1558.2419459589803,0.3498255600181892,0.000925464444492564,False,False,True
2021_1pct_x10,0,210,0.21,20,25,0.0001,0.001,True,,378.0,1558.2419459589803,1558.2419472288027,1.269822405447485e-06,3.3593185329298545e-09,False,False,True
2021_1pct_x10,0,230,0.23,15,20,0.0001,0.001,True,,372.0,1540.980578300561,1540.9805769340005,-1.366560582027887e-06,-3.6735499516878682e-09,False,False,True
2021_1pct_x10,0,230,0.23,20,25,0.0001,0.001,True,,372.0,1540.9805769340005,1540.9805795335592,2.5995586838689633e-06,6.988060978142374e-09,False,False,True
2021_1pct_x10,0,250,0.25,15,20,0.0001,0.001,True,,366.0,1527.6115712689957,1527.611572363661,1.0946653219434666e-06,2.9908888577690344e-09,False,False,True
2021_1pct_x10,0,250,0.25,20,25,0.0001,0.001,True,,366.0,1527.611572363661,1527.611570777564,-1.5860969142522663e-06,-4.333598126372312e-09,False,False,True
2021_1pct_x10,1,50,0.05,15,20,0.0001,0.001,True,,402.0,1645.5869621607997,1645.5869591880737,-2.972725951622124e-06,-7.394840675676925e-09,False,False,True
2021_1pct_x10,1,50,0.05,20,25,0.0001,0.001,True,,402.0,1645.5869591880737,1645.5869631838077,3.995734005002305e-06,9.939636828363942e-09,False,False,True
2021_1pct_x10,1,70,0.07,15,20,0.0001,0.001,True,,400.0,1614.822826372207,1614.8228247823156,-1.589891326148063e-06,-3.9747283153701576e-09,False,False,True
2021_1pct_x10,1,70,0.07,20,25,0.0001,0.001,True,,400.0,1614.8228247823156,1614.8228259951595,1.2128439266234636e-06,3.0321098165586592e-09,False,False,True
2021_1pct_x10,1,90,0.09,15,20,0.0001,0.001,True,,398.0,1604.128773876409,1604.6456351112895,0.51686123488048,0.001298646318795176,False,False,True
2021_1pct_x10,1,90,0.09,20,25,0.0001,0.001,True,,398.0,1604.6456351112895,1604.6456378628054,2.751515921772807e-06,6.913356587368862e-09,False,False,True
2021_1pct_x10,1,110,0.11,15,20,0.0001,0.001,True,,396.0,1593.7135867493962,1596.2362456968708,2.5226589474746106,0.006370350877461138,False,False,True
2021_1pct_x10,1,110,0.11,20,25,0.0001,0.001,True,,396.0,1596.2362456968708,1596.2362436799767,-2.016894086409593e-06,-5.0931668848727095e-09,False,False,True
2021_1pct_x10,1,130,0.13,15,20,0.0001,0.001,True,,394.0,1589.1128023630404,1591.714879101778,2.602076738737651,0.006604255682075256,False,False,True
2021_1pct_x10,1,130,0.13,20,25,0.0001,0.001,True,,394.0,1591.714879101778,1591.7148807441367,1.6423587112512905e-06,4.168423125003276e-09,False,False,True
2021_1pct_x10,1,150,0.15,15,20,0.0001,0.001,True,,390.0,1564.9541309448953,1568.2610983742468,3.3069674293515163,0.008479403665003889,False,False,True
2021_1pct_x10,1,150,0.15,20,25,0.0001,0.001,True,,390.0,1568.2610983742468,1568.2610989521695,5.779227194580017e-07,1.4818531268153889e-09,False,False,True
2021_1pct_x10,1,170,0.17,15,20,0.0001,0.001,True,,386.0,1564.9451179531457,1567.9684369191446,3.0233189659988966,0.007832432554401287,False,False,True
2021_1pct_x10,1,170,0.17,20,25,0.0001,0.001,True,,386.0,1567.9684369191446,1567.9684331872904,-3.7318541217246093e-06,-9.66801585939018e-09,False,False,True
2021_1pct_x10,1,190,0.19,15,20,0.0001,0.001,True,,382.0,1554.078770931234,1556.6205573656484,2.541786434414462,0.006653891189566654,False,False,True
2021_1pct_x10,1,190,0.19,20,25,0.0001,0.001,True,,382.0,1556.6205573656484,1556.6205549776291,-2.388019311183598e-06,-6.251359453360204e-09,False,False,True
2021_1pct_x10,1,210,0.21,15,20,0.0001,0.001,True,,378.0,1549.2677740722463,1550.9753212123076,1.7075471400612514,0.004517320476352517,False,False,True
2021_1pct_x10,1,210,0.21,20,25,0.0001,0.001,True,,378.0,1550.9753212123076,1550.9753239222252,2.709917680476792e-06,7.169094392795746e-09,False,False,True
2021_1pct_x10,1,230,0.23,15,20,0.0001,0.001,True,,372.0,1535.4221912415687,1536.3544566052387,0.9322653636700124,0.0025060896872849798,False,False,True
2021_1pct_x10,1,230,0.23,20,25,0.0001,0.001,True,,372.0,1536.3544566052387,1536.3544570141394,4.089006324647926e-07,1.0991952485612703e-09,False,False,True
2021_1pct_x10,1,250,0.25,15,20,0.0001,0.001,True,,366.0,1530.6825687516982,1530.83711247608,0.1545437243817105,0.00042225061306478274,False,False,True
2021_1pct_x10,1,250,0.25,20,25,0.0001,0.001,True,,366.0,1530.83711247608,1530.837110346454,-2.1296259546943475e-06,-5.818650149438108e-09,False,False,True
2021_1pct_x10,2,50,0.05,15,20,0.0001,0.001,True,,402.0,1662.9635868327434,1662.9635874022813,5.695378604286816e-07,1.4167608468375165e-09,False,False,True
2021_1pct_x10,2,50,0.05,20,25,0.0001,0.001,True,,402.0,1662.9635874022813,1662.9635867668578,-6.354234756145161e-07,-1.580655411976408e-09,False,False,True
2021_1pct_x10,2,70,0.07,15,20,0.0001,0.001,True,,400.0,1629.2335156159252,1629.2335162272973,6.113721155998064e-07,1.528430288999516e-09,False,False,True
2021_1pct_x10,2,70,0.07,20,25,0.0001,0.001,True,,400.0,1629.2335162272973,1629.233515938124,-2.8917338568135165e-07,-7.229334642033791e-10,False,False,True
2021_1pct_x10,2,90,0.09,15,20,0.0001,0.001,True,,398.0,1619.5989614457694,1619.5989616726292,2.2685981093673036e-07,5.699995249666592e-10,False,False,True
2021_1pct_x10,2,90,0.09,20,25,0.0001,0.001,True,,398.0,1619.5989616726292,1619.598962323179,6.505497367470525e-07,1.6345470772539007e-09,False,False,True
2021_1pct_x10,2,110,0.11,15,20,0.0001,0.001,True,,396.0,1611.1665280184206,1611.1665275420155,-4.7640514821978286e-07,-1.2030433035853102e-09,False,False,True
2021_1pct_x10,2,110,0.11,20,25,0.0001,0.001,True,,396.0,1611.1665275420155,1611.1665276310778,8.9062268671114e-08,2.2490471886644948e-10,False,False,True
2021_1pct_x10,2,130,0.13,15,20,0.0001,0.001,True,,394.0,1605.5203290338764,1605.5248279001023,0.004498866225958409,1.1418442197863982e-05,False,False,True
2021_1pct_x10,2,130,0.13,20,25,0.0001,0.001,True,,394.0,1605.5248279001023,1605.5248273648558,-5.352464995667106e-07,-1.3584936537226156e-09,False,False,True
2021_1pct_x10,2,150,0.15,15,20,0.0001,0.001,True,,390.0,1590.0371110738176,1590.0371114609422,3.8712460082024336e-07,9.926271815903676e-10,False,False,True
2021_1pct_x10,2,150,0.15,20,25,0.0001,0.001,True,,390.0,1590.0371114609422,1590.0371107515873,-7.093549356795847e-07,-1.8188588094348327e-09,False,False,True
2021_1pct_x10,2,170,0.17,15,20,0.0001,0.001,True,,386.0,1583.238291492757,1583.4711804996623,0.23288900690522496,0.0006033393961275258,False,False,True
2021_1pct_x10,2,170,0.17,20,25,0.0001,0.001,True,,386.0,1583.4711804996623,1583.4711805068232,7.1609065344091505e-09,1.8551571332666192e-11,False,False,True
2021_1pct_x10,2,190,0.19,15,20,0.0001,0.001,True,,382.0,1568.118497134355,1568.1184967372628,-3.9709220800432377e-07,-1.039508397917078e-09,False,False,True
2021_1pct_x10,2,190,0.19,20,25,0.0001,0.001,True,,382.0,1568.1184967372628,1568.118496691247,-4.6015884436201304e-08,-1.2046043046125997e-10,False,False,True
2021_1pct_x10,2,210,0.21,15,20,0.0001,0.001,True,,378.0,1567.198285964392,1567.1982866910778,7.266858119692188e-07,1.9224492380138062e-09,False,False,True
2021_1pct_x10,2,210,0.21,20,25,0.0001,0.001,True,,378.0,1567.1982866910778,1567.198286634198,-5.687979864887893e-08,-1.50475657801267e-10,False,False,True
2021_1pct_x10,2,230,0.23,15,20,0.0001,0.001,True,,372.0,1548.7125502130602,1548.7125505275417,3.1448144000023603e-07,8.453802150543979e-10,False,False,True
2021_1pct_x10,2,230,0.23,20,25,0.0001,0.001,True,,372.0,1548.7125505275417,1548.7125508137815,2.8623981052078307e-07,7.694618562386641e-10,False,False,True
2021_1pct_x10,2,250,0.25,15,20,0.0001,0.001,True,,366.0,1545.0793064169372,1545.0793054587105,-9.582267921359744e-07,-2.618105989442553e-09,False,False,True
2021_1pct_x10,2,250,0.25,20,25,0.0001,0.001,True,,366.0,1545.0793054587105,1545.0793063095086,8.507981874572579e-07,2.324585211631852e-09,False,False,True
2021_1pct_x10,3,50,0.05,15,20,0.0001,0.001,True,,402.0,1674.0065783324128,1674.0065733538524,-4.978560355084483e-06,-1.2384478495235032e-08,False,False,True
2021_1pct_x10,3,50,0.05,20,25,0.0001,0.001,True,,402.0,1674.0065733538524,1674.006576729858,3.376005452082609e-06,8.398023512643306e-09,False,False,True
2021_1pct_x10,3,70,0.07,15,20,0.0001,0.001,True,,400.0,1630.288371365388,1630.2883715028954,1.375074134557508e-07,3.43768533639377e-10,False,False,True
2021_1pct_x10,3,70,0.07,20,25,0.0001,0.001,True,,400.0,1630.2883715028954,1630.2883705049942,-9.97901224764064e-07,-2.49475306191016e-09,False,False,True
2021_1pct_x10,3,90,0.09,15,20,0.0001,0.001,True,,398.0,1623.0559609949696,1623.2931549861614,0.23719399119181617,0.0005959648019894879,False,False,True
2021_1pct_x10,3,90,0.09,20,25,0.0001,0.001,True,,398.0,1623.2931549861614,1623.2931558610362,8.748747859499417e-07,2.1981778541455824e-09,False,False,True
2021_1pct_x10,3,110,0.11,15,20,0.0001,0.001,True,,396.0,1611.9705650641035,1612.7730127953755,0.8024477312719682,0.0020263831597776977,False,False,True
2021_1pct_x10,3,110,0.11,20,25,0.0001,0.001,True,,396.0,1612.7730127953755,1612.773014009881,1.2145055734436028e-06,3.0669332662717243e-09,False,False,True
2021_1pct_x10,3,130,0.13,15,20,0.0001,0.001,True,,394.0,1607.120672306968,1607.7780142172785,0.6573419103106062,0.0016683804830218431,False,False,True
2021_1pct_x10,3,130,0.13,20,25,0.0001,0.001,True,,394.0,1607.7780142172785,1607.7780134479276,-7.693508905504132e-07,-1.952667234899526e-09,False,False,True
