dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma
2021,0.05,0.0019941875000000003,0.045513078125,0.054486921875000004,432274745.5035101,1.64,0.046729532500000004,0.0532704675,0.006540934999999998,0.0,1.0,8000,0.0001250000000000001,True,20551.75904061536,3.087728122805075e-05,0.0011668481431960102,3.0441102126110144,14438.292790994212,4750.69862020161,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.32**2 * RBF(length_scale=0.323),0.04301982086534748,0.586633920891102,0.1588612167593829,0.3234631990469687,0.0391089280594068,53.59364299501803,1683.1420274074696,402,9,393,416,14,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.270827534715993,21.57260581833327,294.1718975227264,162.20300199804112
2021,0.051,0.002001485875,0.04649665678125,0.055503343218749994,505722115.71658146,1.64,0.047717563165,0.054282436834999996,0.006564873669999999,0.0,1.0,8000,0.0001250000000000001,True,16923.226680099113,2.1306934533087935e-05,0.016004702180032585,2.1442931621526458,10540.302452503072,4934.3550303271095,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.3**2 * RBF(length_scale=0.324),0.042343747393388226,0.5774147371825666,0.15636465000913172,0.3244475463694734,0.03849431581217111,53.3142899344181,1677.1076990915074,401,10,391,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.428453383938047,21.15615599504954,288.4930362961301,162.1033405341786
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.055294687839999995,0.006589375679999995,0.0,1.0,8000,0.0001250000000000001,True,8360.492261408557,8.963040693371118e-06,0.46993363488589535,0.07543668772742905,367.1203343108529,4958.06674823717,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.6**2 * RBF(length_scale=0.318),0.04169678269108093,0.5685924912420126,0.15397557451459154,0.318099646115786,0.03790616608280084,57.76108880696617,1674.6575002076167,402,12,390,416,14,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.391765218907679,20.75544844739304,283.02884246445046,158.3407730760584
2021,0.053,0.002016597875,0.048462654781249996,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.006614441030000001,0.0,1.0,8000,0.0001250000000000001,True,6331.016317656085,5.8595491252984256e-06,0.5,0.0,-5129.083152221627,5107.624500430688,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.67**2 * RBF(length_scale=0.317),0.04107730626946746,0.5601450854927381,0.15168800622370326,0.31737024105159944,0.037343005699515874,58.86244944025094,1670.7977450882129,402,14,388,416,14,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.498786723418837,20.369607039017364,277.76736871387317,157.37904169496332
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.0066400697200000025,0.0,1.0,8000,0.0001250000000000001,True,5926.289176829053,4.793665017626536e-06,0.5,0.0,-10313.12676823582,5518.081308662412,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.52**2 * RBF(length_scale=0.315),0.040483815711204366,0.552052032425514,0.14949639709274043,0.3153393757750861,0.0368034688283676,56.501683052022614,1664.6919099389427,401,15,386,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.568197124180504,19.99781947059892,272.6975382354398,155.7684175253332
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.006666261749999999,0.0,1.0,8000,0.0001250000000000001,True,6070.7105058049,4.339989684122422e-06,0.5,0.0,-10164.26583698356,5620.390240050032,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.53**2 * RBF(length_scale=0.316),0.03991491610836469,0.5442943105686093,0.14739559608280783,0.31587767507482856,0.03628628737124062,56.631750940356106,1669.3310063250053,402,17,385,416,14,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.705152771434626,19.639331569216612,267.8090668529538,155.42125603535408
2021,0.056,0.002040554,0.0514087535,0.0605912465,908458237.6027632,1.64,0.05265349144,0.059346508560000004,0.0066930171200000055,0.0,1.0,8000,0.0001250000000000001,True,7169.955725498552,4.576604693452042e-06,0.5,0.0,-6330.211813093181,5872.768833987344,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.53**2 * RBF(length_scale=0.317),0.03936931061422127,0.5368542356484718,0.14538081426998897,0.31665048023733516,0.035790282376564786,56.69609701722749,1663.2403273874822,401,18,383,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.847387033880336,19.293442180026243,263.0923933639942,155.17868198407646
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990453372.7453623,1.64,0.053639832085000005,0.060360167915,0.006720335829999993,0.0,1.0,8000,0.0001250000000000001,True,8949.000288075438,5.147371969549377e-06,0.5,0.0,-1278.1789457093078,5883.646750745595,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.89**2 * RBF(length_scale=0.32),0.03884579197431144,0.5297153451042469,0.14344759357172976,0.320106587148525,0.035314356340283126,62.20856327861343,1661.2765579321042,401,20,381,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.064488789319348,18.959498587400432,258.53861710091496,156.23469308782475
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071466014.7577338,1.64,0.05462589106,0.061374108940000005,0.006748217880000004,0.0,1.0,8000,0.0001250000000000001,True,12243.192402066725,6.3974691829465665e-06,0.2732287380601607,0.6030769852811974,3562.295702061568,5986.240961583496,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.97**2 * RBF(length_scale=0.318),0.038343234920351146,0.5228622943684247,0.14159177865950517,0.31790130320298,0.03485748629122831,63.44191786825693,1658.901888729915,401,21,380,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.120029498024303,18.63689240258374,254.13944185341464,154.5172804209716
2021,0.059,0.002066055875,0.054351374281249996,0.06364862571874999,1150518641.351014,1.64,0.055611668365,0.062388331634999995,0.006776663269999997,0.0,1.0,8000,0.0001250000000000001,True,11986.81198792933,5.7342674409560765e-06,0.30672696305275926,0.5051493725012044,2963.4922965619758,6055.923121006833,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.08**2 * RBF(length_scale=0.318),0.03786058932616019,0.516280763538548,0.13980949168539802,0.31847972779835265,0.034418717569236534,65.25890596002363,1658.2982092362693,401,23,378,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.253096869681455,18.325055863341635,249.88712540920412,154.14865185984024
