scenario,background_toy_index,upper_factor,selected_rows,exact_upper_bound_rows,exact_upper_bound_fraction,near_upper_bound_rows,near_upper_bound_fraction,exact_lower_bound_rows,exact_lower_bound_fraction,near_lower_bound_rows,near_lower_bound_fraction,exact_boundary_ratio,near_boundary_fractional_window
2021_1pct_x100,1,15,11,6,0.5454545454545454,6,0.5454545454545454,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,1,20,11,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
2021_1pct_x100,1,25,11,0,0.0,0,0.0,0,0.0,0,0.0,0.999,0.02
