model,scenario,background_toy_index,mass_GeV,mass_MeV,upper_factor,attempt,optimizer_seed,optimizer_seed_namespace,seed_includes_upper_factor,optimizer_restarts,background_only,fit_ok,error,gp_lml,ell_opt,ell_lo,ell_hi,ell_init,sigma_x,ell_over_sigma_x,ell_lo_over_sigma_x,ell_hi_over_sigma_x,ell_over_ell_hi,ell_over_ell_lo,ell_mass_delta_GeV,kernel_constant_opt,kernel_constant_lo,kernel_constant_hi,kernel_constant_init,n_blind,blind_lo,blind_hi,sigma_mass_GeV,support_lo_GeV,support_hi_GeV,ell_at_lower_exact,ell_at_upper_exact,ell_near_lower,ell_near_upper,constant_at_lower_exact,constant_at_upper_exact,optimizer_warning_count,optimizer_warnings,n_train,n_train_low,n_train_high,train_domain_lo,train_domain_hi,bin_width_median,training_counts_sha256,covariance_valid,covariance_min_eigenvalue,covariance_min_eigenvalue_relative,addendum_id,stage,source_family,post_closure_initiated,evaluated_attempt_count,maximum_lml_candidate_attempt,matches_maximum_lml_branch,selected_maximum_lml_reproduced_branch,maximum_lml_branch_replicates
knot_spline,2021_1pct,4,0.065,65,25,0,1181736501,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1194.58417899131,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,162.54898669846202,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,2,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.",400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.0038201070898688876,-4.3489662095604014e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,1,True,False,3
knot_spline,2021_1pct,4,0.065,65,35,0,1181736501,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.1764396983795,0.8735042922125886,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,27.194965838231653,1.1,35.0,0.7769990239494757,24.722696216574228,0.0906938473664369,272.6145858784814,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.009694035744258771,-1.1595825779178308e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,4,0.065,65,50,0,1181736501,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.176440461325,0.8735043525763926,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,27.19496771754879,1.1,50.0,0.5438993543509758,24.722697925044354,0.09069385676471009,272.6150406379823,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.008377702458561998,-1.0021250787460417e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,4,0.065,65,75,0,1181736501,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.1764403557486,0.873504082222538,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,27.194959300573732,1.1,75.0,0.3625994573409831,24.722690273248844,0.09069381467228144,272.61643680731663,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.008624492811818945,-1.0316452540876063e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,4,0.065,65,25,1,1870126191,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1194.5841795861934,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,162.54895806390357,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.004190283248870942,-4.770390125354064e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,1,True,True,3
knot_spline,2021_1pct,4,0.065,65,35,1,1870126191,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.1764394866966,0.8735022983458748,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,27.194903762821546,1.1,35.0,0.7769972503663298,24.722639784383222,0.09069353693396658,272.6010600605576,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.010186515279964777,-1.2184930984940282e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,4,0.065,65,50,1,1870126191,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.176438718391,0.8735050696531775,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,27.19499004242898,1.1,50.0,0.5438998008485796,24.722718220389982,0.09069396840920034,272.68588478472896,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.010916450622839807,-1.3057853816900291e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,4,0.065,65,75,1,1870126191,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.176439389877,0.8735039804061954,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,27.194956130707272,1.1,75.0,0.36259941507609694,24.722687391552064,0.09069379882010749,272.61180663447567,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.00932924635395523,-1.115947657811822e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,4,0.065,65,25,2,3732828674,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1194.5841790127454,0.803001828912564,0.03533208047215282,0.803001828912564,0.16843908465206228,0.03212007315650256,25.0,1.1,25.0,1.0,22.727272727272727,0.08009505782117883,162.63120891134832,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.803001828912564. Increasing the bound and calling fit again may find a better value.,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.004114584344799544,-4.684103899422713e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,1,True,False,3
knot_spline,2021_1pct,4,0.065,65,35,2,3732828674,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.176439563954,0.873500724596823,0.03533208047215282,1.1242025604775896,0.19929981267877409,0.03212007315650256,27.194854767009982,1.1,35.0,0.7769958504859995,24.722595242736347,0.09069329191160326,272.6227235557639,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,1,"ConvergenceWarning: lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.010109022116760612,-1.2092153299077072e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,4,0.065,65,50,2,3732828674,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.1764387654034,0.8735042712746831,0.03533208047215282,1.606003657825128,0.2382088379486563,0.03212007315650256,27.194965186368083,1.1,50.0,0.5438993037273616,24.72269562397098,0.09069384410653387,272.61513523751063,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.008804651919381281,-1.0531962423517114e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,4,0.065,65,75,2,3732828674,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1195.1764381120095,0.8735093879740126,0.03533208047215282,2.409005486737692,0.29174505259776695,0.03212007315650256,27.195124485486254,1.1,75.0,0.3626016598064834,24.72284044135114,0.09069464074715969,272.62907779882863,1e-08,1e+18,1.0,16,0.060226182031250006,0.06977381796875,0.002121696875,0.04,0.3,False,False,False,False,False,False,0,,400,32,368,0.04,0.3,0.0006250000000000006,0171796fc895bc561b9bfba566e18084aeab5125901ae1f2b1aafec54e1f06d0,True,-0.012432511485126982,-1.487158379792468e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,False,3
knot_spline,2021_1pct,4,0.12,120,25,0,3787935196,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1168.995664097171,0.6010193543400821,0.026444851590963617,0.6010193543400821,0.12607088335067795,0.024040774173603285,25.0,1.1,25.0,1.0,22.727272727272727,0.098877255850339,52.903545267235735,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.6010193543400821. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,d42128d44d7524d42eccb319780c7b88ff95e71f22f837408f8e82cf8611ed1f,True,-0.0007505970876037461,-2.9661888384471895e-07,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3
knot_spline,2021_1pct,4,0.12,120,35,0,3787935196,v4p8p3_residual_length_ceiling_remediation_optimizer_v1,False,12,True,True,,1174.2013995643097,0.841427096076115,0.026444851590963617,0.841427096076115,0.14916908084569117,0.024040774173603285,35.0,1.1,35.0,1.0,31.818181818181817,0.15836100178646023,204.31861552783755,1e-08,1e+18,1.0,22,0.11343033749999999,0.12656966249999999,0.00291985,0.04,0.3,False,True,False,True,False,False,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.841427096076115. Increasing the bound and calling fit again may find a better value.,394,117,277,0.04,0.3,0.0006250000000000006,d42128d44d7524d42eccb319780c7b88ff95e71f22f837408f8e82cf8611ed1f,True,-0.0028840164594860873,-1.4562643268705181e-06,v4p8p3_residual_length_ceiling_remediation_v1,confirm,one_pct,True,3,0,True,True,3
