dataset,sample_label,mass_MeV,sigma_mass_MeV,blind_lo_MeV,blind_hi_MeV,integral_density_counts_per_GeV,K_events_per_eps2,standalone_Ahat_events,standalone_sigmaA_events,standalone_eps2_hat,standalone_sigma_eps2,standalone_p0_asymptotic,standalone_Z_asymptotic,shared_eps2_hat,shared_sigma_eps2,shared_signal_yield_full,shared_signal_yield_window,joint_q0_block_contribution,const_fixed,ls_fixed,lml_fixed_refit,n_train,standalone_fit_success,shared_fit_success,shared_p0_asymptotic,shared_Z_asymptotic,shared_q0_asymptotic
2015,2015 100%,65,3.3670121480552999,57.424222666875579,72.575777333124421,52929794.734104469,175580846.94262734,4097.4657446471892,1711.3533091641848,2.3336632759187418e-05,9.7468108792263964e-06,0.0083074500521886155,2.3951205835984806,6.4270625855626069e-06,1.6100905512431245e-06,1128.4690921263548,1099.2256465763937,2.7255800701677799,48.988717872052568,0.35286428108951112,1006.3818298900312,424,True,True,,,
2016,2016 100%,65,2.6643708062500004,59.005165685937499,70.994834314062501,1373486827.9119611,2680109309.0640068,4071.6412381202458,6854.3576491474587,1.5192071548537748e-06,2.557491825414111e-06,0.27577837136741939,0.59542900407243016,6.4270625855626069e-06,1.6100905512431245e-06,17225.230265503327,16806.206908136945,-3.3220012187957764,100.87281396914724,0.40371566388527919,2261.862126255427,672,True,True,,,
2021,2021 10%,65,2.121696875,60.226182031250005,69.773817968749995,1556935082.4369991,3116477094.8189502,28038.92335432742,6609.5299891294862,8.9969932398801487e-06,2.1208338094695551e-06,1.0570174746584504e-05,4.2524933513430154,6.4270625855626069e-06,1.6100905512431245e-06,20029.793334873724,19660.386117308568,16.542184472084045,66.347717364884332,0.31947504048628561,1648.8060874598366,400,True,True,,,
combined,2015 100% + 2016 100% + 2021 10%,65,,,,,,,,,,,,6.4270625855626069e-06,1.6100905512431245e-06,38383.492692503409,37565.818672021909,,,,,,,True,3.2591749269442403e-05,3.9932146934458284,15.94576358795166
