mode,support_lower_MeV,upper_factor,anchor_GeV,block,seed,finite_success,warning_free,lml,constant,length,warnings,error
length,29,12.0,0.039,production_blind_window,2711,True,True,1630.3225813813333,78.1686113050691,0.44128581785734333,,
length,29,12.0,0.039,production_blind_window,6043,True,True,1630.3225811876073,78.16858212839317,0.4412858407983377,,
length,29,12.0,0.039,production_blind_window,9151,True,True,1630.3225813274003,78.17042813011986,0.4412885461400634,,
length,29,12.0,0.044,production_blind_window,2711,True,True,1602.138544407837,93.51490894895184,0.44855957917605804,,
length,29,12.0,0.044,production_blind_window,6043,True,True,1602.1385445333217,93.51902257971113,0.4485634817615191,,
length,29,12.0,0.044,production_blind_window,9151,True,False,1602.138544455584,93.51852189812898,0.44856151520942406,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,29,12.0,0.054,production_blind_window,2711,True,True,1577.316060082401,76.19362022399864,0.43512076999657606,,
length,29,12.0,0.054,production_blind_window,6043,True,True,1577.3160599744585,76.18980247866232,0.43511866118241765,,
length,29,12.0,0.054,production_blind_window,9151,True,False,1577.3160601710435,76.1951528741793,0.4351211372549295,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,29,12.0,0.065,production_blind_window,2711,True,True,1554.067983628906,73.24086289134648,0.43162350984776704,,
length,29,12.0,0.065,production_blind_window,6043,True,True,1554.0679835754786,73.23519053039477,0.4316206014137614,,
length,29,12.0,0.065,production_blind_window,9151,True,True,1554.0679835612445,73.23518921217692,0.43162062955653574,,
length,29,12.0,0.09,production_blind_window,2711,True,False,1495.3798529269102,83.65839321464252,0.44170347185120096,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,29,12.0,0.09,production_blind_window,6043,True,True,1495.3798526409946,83.65892210300588,0.4417039796982762,,
length,29,12.0,0.09,production_blind_window,9151,True,False,1495.3798528280668,83.66421386261362,0.4417078632905393,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,29,12.0,0.12,production_blind_window,2711,True,True,1477.6806441834597,96.81624382071519,0.4532329646046568,,
length,29,12.0,0.12,production_blind_window,6043,True,True,1477.6806442112047,96.82132198282194,0.4532289641173455,,
length,29,12.0,0.12,production_blind_window,9151,True,True,1477.6806441393032,96.81406773476418,0.4532312841450483,,
length,29,12.0,0.15,production_blind_window,2711,True,False,1499.0043159790134,95.79510858948969,0.4557286564783881,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,29,12.0,0.15,production_blind_window,6043,True,True,1499.0043156649367,95.79461343741703,0.45572857040885584,,
length,29,12.0,0.15,production_blind_window,9151,True,True,1499.004315809258,95.79543819699276,0.45572887482029695,,
length,29,12.0,0.18,production_blind_window,2711,True,True,1570.7602976759024,93.70341042170227,0.4513153201839861,,
length,29,12.0,0.18,production_blind_window,6043,True,True,1570.7602975386965,93.70371031346647,0.45131489187129537,,
length,29,12.0,0.18,production_blind_window,9151,True,False,1570.7602975215284,93.70419758739271,0.45131520025991934,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html | lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,30,12.0,0.039,production_blind_window,2711,True,True,1627.9795630017516,76.92225241697223,0.44034533594446573,,
length,30,12.0,0.039,production_blind_window,6043,True,True,1627.9795629752434,76.91476631350507,0.44034379863171735,,
length,30,12.0,0.039,production_blind_window,9151,True,True,1627.979563098631,76.914430762029,0.44034374912697977,,
length,30,12.0,0.044,production_blind_window,2711,True,True,1599.8427216787425,99.61141619547035,0.4508387189889607,,
length,30,12.0,0.044,production_blind_window,6043,True,True,1599.8427213678654,99.61041046658772,0.45083874681595965,,
length,30,12.0,0.044,production_blind_window,9151,True,True,1599.8427216802118,99.61125280148762,0.4508385104195244,,
length,30,12.0,0.054,production_blind_window,2711,True,True,1575.000096723316,79.42553590947192,0.436603352042344,,
length,30,12.0,0.054,production_blind_window,6043,True,True,1575.0000965866816,79.42532443424567,0.43660374411559644,,
length,30,12.0,0.054,production_blind_window,9151,True,True,1575.0000966628227,79.43344192693692,0.4366003100370909,,
length,30,12.0,0.065,production_blind_window,2711,True,True,1551.761709018511,76.6549165543652,0.4333037333723916,,
length,30,12.0,0.065,production_blind_window,6043,True,True,1551.7617089587532,76.6511649034224,0.4332984299255343,,
length,30,12.0,0.065,production_blind_window,9151,True,True,1551.7617090963743,76.6556883756474,0.4333042911116096,,
length,30,12.0,0.09,production_blind_window,2711,True,True,1493.0684174265011,88.22581107004568,0.44372923645613666,,
length,30,12.0,0.09,production_blind_window,6043,True,True,1493.0684174776602,88.23015133276783,0.44373048590634023,,
length,30,12.0,0.09,production_blind_window,9151,True,False,1493.0684174664302,88.22680019543657,0.443728174433143,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,30,12.0,0.12,production_blind_window,2711,True,False,1475.3819606174175,103.39769809049393,0.4559202981684292,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,30,12.0,0.12,production_blind_window,6043,True,True,1475.3819604860732,103.36388999471406,0.45591138966857525,,
length,30,12.0,0.12,production_blind_window,9151,True,True,1475.3819605030062,103.37133957979914,0.45591362861935614,,
length,30,12.0,0.15,production_blind_window,2711,True,True,1496.7264478781053,103.54612150923724,0.4591382219214703,,
length,30,12.0,0.15,production_blind_window,6043,True,True,1496.7264479472651,103.55134634588285,0.4591421565197041,,
length,30,12.0,0.15,production_blind_window,9151,True,True,1496.7264479998603,103.54923967068403,0.459141518616068,,
length,30,12.0,0.18,production_blind_window,2711,True,False,1568.4578007182058,99.65864927483392,0.45384260811837224,"lbfgs failed to converge (status=2):
ABNORMAL_TERMINATION_IN_LNSRCH.

Increase the number of iterations (max_iter) or scale the data as shown in:
    https://scikit-learn.org/stable/modules/preprocessing.html",
length,30,12.0,0.18,production_blind_window,6043,True,True,1568.4578007213186,99.6642362252405,0.4538432416872305,,
length,30,12.0,0.18,production_blind_window,9151,True,True,1568.4578005530243,99.65969038906687,0.45384306395921964,,
