mode,support_lower_MeV,support_upper_MeV,upper_factor,anchor_GeV,block,selected_seed,selected_lml,selected_constant,selected_length,length_lower,length_upper,sigma_x,warning_free_repeat_count,reproduced_warning_free_count,reproduction_pass,constant_at_bound,length_at_lower,length_at_upper,technical_without_length_upper_pass,technical_pass,covariance_ok,minimum_eigenvalue,maximum_diagonal,median_diagonal,jitter_relative_median_diagonal,nlpd_per_bin,mahalanobis_per_bin,poisson_deviance_per_bin,max_abs_marginal_standardized_residual,n_train,n_score,train_center_min_GeV,train_center_max_GeV,score_center_min_GeV,score_center_max_GeV,train_centers_sha256,score_centers_sha256,train_counts_sha256,score_counts_sha256,n_search_train_centers,n_search_score_centers
length,29,210,12.0,0.039,production_blind_window,2711,1630.3225813813333,78.1686113050691,0.44128581785734333,0.03949706576213592,0.5266275434951456,0.04388562862459547,3,3,True,False,False,False,True,True,True,3038.259894950543,22543.159606621106,14742.578677074347,0.0,,,,,692,32,0.029124999999999998,0.20987499999999998,0.035124999999999997,0.042874999999999996,dff802a9ff419f80bf41982b6c662b537b13d23e99fff4044a5e429d6c90ba92,6fa7c909ec1e7a02e7d9b91d814f2d3e8ed2971809db010af77cb4beeae40019,e80dd7cf3d3749cfd2f2c69904983e80cd359ae78c7c67c0cdaa5b642637d9cc,not_accessed,548,16
length,29,210,12.0,0.044,production_blind_window,6043,1602.1385445333217,93.51902257971113,0.4485634817615191,0.03837985035561083,0.5117313380748111,0.042644278172900923,2,2,True,False,False,False,True,True,True,12988.256280023637,32134.120167433408,27439.447779454047,0.0,,,,,690,34,0.029124999999999998,0.20987499999999998,0.039874999999999994,0.048124999999999994,cb76ca99bc5af807afea4929461785e398d5629b10acb206a76b428b81c5205e,bb942fd4fc416f545dd5135a78e9044377c032165d8b35a9fabe55146918be6e,80e2068757e3b6a629e22d0eb4cc80a8cf3cc657601a7eb05c82433a1cd71415,not_accessed,530,34
length,29,210,12.0,0.054,production_blind_window,2711,1577.316060082401,76.19362022399864,0.43512076999657606,0.03692794192605453,0.4923725590140604,0.041031046584505036,2,2,True,False,False,False,True,True,True,30724.74290859269,39863.159217154265,39127.888883876025,0.0,,,,,684,40,0.029124999999999998,0.20987499999999998,0.049124999999999995,0.058875,2f4b29f49fb71651059eb8cbe935b971da00f6379219a93726c97d21f77dc789,d8e90be6777f1f97ce2b2b8a3c22f01c72064571c3a0d80a0469d700c08a058c,9f0e7ce83f34b31a8cc179c9862b42243b0dcd0a90b51ff17f002c8d7e585711,not_accessed,524,40
length,29,210,12.0,0.065,production_blind_window,2711,1554.067983628906,73.24086289134648,0.43162350984776704,0.036155241837688604,0.4820698911691814,0.040172490930765116,3,3,True,False,False,False,True,True,True,32326.221242086853,39331.62005284199,38604.94043356595,0.0,,,,,676,48,0.029124999999999998,0.20987499999999998,0.059125,0.070875,6999eede18cba2a3b6eab05e9a6de85f009ee60d759e26325346bc9ba222371b,c0229c3196fbcd2766c0a08ac5dccdd5e258a9f7f7e73fa60a291e6627769723,ec8568d085b508fa4a70cab226e65642a69f51a2856b94153a060f95275029b3,not_accessed,516,48
length,29,210,12.0,0.09,production_blind_window,6043,1495.3798526409946,83.65892210300588,0.4417039796982762,0.03624317391533434,0.48324231887112457,0.04027019323926038,1,1,False,False,False,False,False,False,True,12840.223951512582,25538.547355733943,19389.549739358587,0.0,,,,,658,66,0.029124999999999998,0.20987499999999998,0.08187499999999999,0.09812499999999999,b2188ae7ac91a5c6dbbf3bee30337cee701c945fd768e619b3a02a1042ae73d5,f8ccbe6fd00f489bab5bf33a7f4203a9da0ad92855e1fe308aa7d3556b0582be,90c6d10e33526f3f74c63ee9bbd8b3d8817c542dec46f74a152146044b30ef04,not_accessed,498,66
length,29,210,12.0,0.12,production_blind_window,6043,1477.6806442112047,96.82132198282194,0.4532289641173455,0.037739682312202705,0.5031957641627027,0.04193298034689189,3,3,True,False,False,False,True,True,True,2240.991909357079,7914.0052793708965,4386.779635560761,0.0,,,,,632,92,0.029124999999999998,0.20987499999999998,0.10862499999999999,0.13137499999999996,551341479ddd3c8a7b91e7dc9d7b3fc6f156a6136471238f32eba34cf9d5015d,281e20dc00f8c78de03918bb83435d9e1d085bc50eb8152e7a53c090950709c4,e5bca252e0b91cc25051ce53ddb8251c16f3966c302c6d95e197db1613ff3240,not_accessed,472,92
length,29,210,12.0,0.15,production_blind_window,9151,1499.004315809258,95.79543819699276,0.45572887482029695,0.038807059038073105,0.5174274538409747,0.04311895448674789,2,2,True,False,False,False,True,True,True,405.7153499845418,1849.612452645407,859.098737654833,0.0,,,,,606,118,0.029124999999999998,0.20987499999999998,0.13537499999999997,0.16462499999999997,b4929454b5747f4336311a0b91ec9421da1d2015c3f5b3985f80b06162e140ed,acd52522dfdbcd39681cc3e095e4fe7c6aac64e6f4059d3823ccb9dff25f30e7,acd70fefc555d0492287cf61dc9082832b4b6902db3d96a6b6ca0c62981f7700,not_accessed,446,118
length,29,210,12.0,0.18,production_blind_window,2711,1570.7602976759024,93.70341042170227,0.4513153201839861,0.037712931490504406,0.5028390865400587,0.04190325721167156,2,2,True,False,False,False,True,True,True,110.91181963296036,443.388631835922,220.5648099675988,0.0,,,,,586,138,0.029124999999999998,0.20987499999999998,0.162875,0.197125,16aab033fcd5c3b43c9bf966acd3d377b92a3a23be088fb73c3331c85eb446af,1c654b31e293eb4715c3b9967fa27a1c01fcd8f4cbb9e67954ed85f7eac32331,fa6506c8f57b56ef44d26664ac5000108b24ab1e916207cf71a01383986e2711,not_accessed,495,69
length,30,210,12.0,0.039,production_blind_window,9151,1627.979563098631,76.914430762029,0.44034374912697977,0.03949706576213592,0.5266275434951456,0.04388562862459547,3,3,True,False,False,False,True,True,True,3037.640189803742,22556.477084628215,14964.406058201097,0.0,,,,,688,32,0.030125,0.20987499999999998,0.035124999999999997,0.042874999999999996,dd6e2554360e136150fa2cef795e23618f4fbae6069e2582ec2359acd7a0a6f3,6fa7c909ec1e7a02e7d9b91d814f2d3e8ed2971809db010af77cb4beeae40019,6279e33cb9364e19106ea7aff8a14118be1b931dc4d95a75dd1e883005f5c924,not_accessed,548,16
length,30,210,12.0,0.044,production_blind_window,9151,1599.8427216802118,99.61125280148762,0.4508385104195244,0.03837985035561083,0.5117313380748111,0.042644278172900923,3,3,True,False,False,False,True,True,True,12985.413809190319,32161.420940636926,27645.396457011237,0.0,,,,,686,34,0.030125,0.20987499999999998,0.039874999999999994,0.048124999999999994,5e5f4176298fe6c291f7e1685951d0b6a815f0792adc72fa2b4077142daf43d3,bb942fd4fc416f545dd5135a78e9044377c032165d8b35a9fabe55146918be6e,aca3b041fd6f1b9e3078d7162b51519d38a599ea661ffbb51e1c3521b1b19fb9,not_accessed,530,34
