mass_GeV,mass_MeV_scaled_21_dimuon,dataset_set_scaled_21_dimuon,sigma_mass_res_GeV_scaled_21_dimuon,sigma_mass_res_min_GeV_scaled_21_dimuon,N_eff_dimuon_scaled_21_dimuon,BR_ee_minimal_scaled_21_dimuon,eps2_obs_scaled_21_dimuon,eps2_med_scaled_21_dimuon,eps2_lo1_scaled_21_dimuon,eps2_hi1_scaled_21_dimuon,eps2_lo2_scaled_21_dimuon,eps2_hi2_scaled_21_dimuon,mass_MeV_v2_dimuon,dataset_set_v2_dimuon,sigma_mass_res_GeV_v2_dimuon,sigma_mass_res_min_GeV_v2_dimuon,N_eff_dimuon_v2_dimuon,BR_ee_minimal_v2_dimuon,eps2_obs_v2_dimuon,eps2_med_v2_dimuon,eps2_lo1_v2_dimuon,eps2_hi1_v2_dimuon,eps2_lo2_v2_dimuon,eps2_hi2_v2_dimuon,mass_MeV,eps2_obs_scaled_21_over_v2,eps2_obs_scaled_21_minus_v2,eps2_obs_scaled_21_minus_v2_frac,eps2_obs_scaled_over_unscaled,eps2_obs_scaled_minus_unscaled,eps2_obs_scaled_minus_unscaled_frac,eps2_med_scaled_21_over_v2,eps2_med_scaled_21_minus_v2,eps2_med_scaled_21_minus_v2_frac,eps2_med_scaled_over_unscaled,eps2_med_scaled_minus_unscaled,eps2_med_scaled_minus_unscaled_frac,eps2_lo1_scaled_21_over_v2,eps2_lo1_scaled_21_minus_v2,eps2_lo1_scaled_21_minus_v2_frac,eps2_lo1_scaled_over_unscaled,eps2_lo1_scaled_minus_unscaled,eps2_lo1_scaled_minus_unscaled_frac,eps2_hi1_scaled_21_over_v2,eps2_hi1_scaled_21_minus_v2,eps2_hi1_scaled_21_minus_v2_frac,eps2_hi1_scaled_over_unscaled,eps2_hi1_scaled_minus_unscaled,eps2_hi1_scaled_minus_unscaled_frac,eps2_lo2_scaled_21_over_v2,eps2_lo2_scaled_21_minus_v2,eps2_lo2_scaled_21_minus_v2_frac,eps2_lo2_scaled_over_unscaled,eps2_lo2_scaled_minus_unscaled,eps2_lo2_scaled_minus_unscaled_frac,eps2_hi2_scaled_21_over_v2,eps2_hi2_scaled_21_minus_v2,eps2_hi2_scaled_21_minus_v2_frac,eps2_hi2_scaled_over_unscaled,eps2_hi2_scaled_minus_unscaled,eps2_hi2_scaled_minus_unscaled_frac,dataset_set_match
0.02,20.0,2015,0.0009721533740987,0.0009721533740987,1.0,1.0,2.289206894899871e-05,1.5817539764075285e-05,1.204075503933562e-05,2.2675385452659888e-05,1.0227058040480646e-05,3.080720635403469e-05,20.0,2015,0.0009721533740987,0.0009721533740987,1.0,1.0,2.289202993004245e-05,1.578493507008626e-05,1.2000358086813472e-05,2.2600403397944623e-05,1.0223286379976023e-05,3.065215844272424e-05,20.0,1.0000017044777758,3.9018956258564125e-11,1.704477775810176e-06,1.0000017044777758,3.9018956258564125e-11,1.704477775810176e-06,1.0020655576880269,3.260469398902308e-08,0.0020655576880268534,1.0020655576880269,3.260469398902308e-08,0.0020655576880268534,1.00336631225751,4.039695252214883e-08,0.0033663122575100513,1.00336631225751,4.039695252214883e-08,0.0033663122575100513,1.0033177308119237,7.498205471526473e-08,0.003317730811923658,1.0033177308119237,7.498205471526473e-08,0.003317730811923658,1.0003689283821697,3.771660504622393e-09,0.0003689283821697309,1.0003689283821697,3.771660504622393e-09,0.0003689283821697309,1.0050583032056344,1.5504791131044525e-07,0.005058303205634385,1.0050583032056344,1.5504791131044525e-07,0.005058303205634385,True
0.021,21.0,2015,0.0010253724579645,0.0010253724579645,1.0,1.0,1.603528007755124e-05,1.364353771343483e-05,1.0342113255711208e-05,1.9725534896161152e-05,8.84829259085256e-06,2.6984086350233592e-05,21.0,2015,0.0010253724579645,0.0010253724579645,1.0,1.0,1.603522168522709e-05,1.3657214888390226e-05,1.0298558900225844e-05,1.960868008134585e-05,8.800594459149946e-06,2.713521170710402e-05,21.0,1.0000036415040152,5.8392324151944e-11,3.641504015217123e-06,1.0000036415040152,5.8392324151944e-11,3.641504015217123e-06,0.998998538496526,-1.3677174955395533e-08,-0.0010014615034740215,0.998998538496526,-1.3677174955395533e-08,-0.0010014615034740215,1.004229169916619,4.3554355485363866e-08,0.0042291699166190355,1.004229169916619,4.3554355485363866e-08,0.0042291699166190355,1.0059593411861756,1.168548148153034e-07,0.005959341186175582,1.0059593411861756,1.168548148153034e-07,0.005959341186175582,1.0054198761145074,4.769813170261434e-08,0.005419876114507449,1.0054198761145074,4.769813170261434e-08,0.005419876114507449,0.9944306549548363,-1.511253568704282e-07,-0.005569345045163709,0.9944306549548363,-1.511253568704282e-07,-0.005569345045163709,True
0.022,22.0,2015,0.0010785915418301,0.0010785915418301,1.0,1.0,8.79739253517774e-06,1.2181411905344828e-05,9.286622795612423e-06,1.7740856026061535e-05,7.873443657535432e-06,2.428099673942583e-05,22.0,2015,0.0010785915418301,0.0010785915418301,1.0,1.0,8.797439268731236e-06,1.2184068943092572e-05,9.27438260586908e-06,1.7669219917429502e-05,7.85612425006422e-06,2.416062782639361e-05,22.0,0.999994687823119,-4.673355349623168e-11,-5.3121768810449055e-06,0.999994687823119,-4.673355349623168e-11,-5.3121768810449055e-06,0.9997819252533654,-2.6570377477436364e-09,-0.00021807474663460003,0.9997819252533654,-2.6570377477436364e-09,-0.00021807474663460003,1.0013197848593822,1.2240189743343045e-08,0.0013197848593822226,1.0013197848593822,1.2240189743343045e-08,0.0013197848593822226,1.004054288133081,7.163610863203268e-08,0.004054288133080952,1.004054288133081,7.163610863203268e-08,0.004054288133080952,1.0022045740265717,1.7319407471212494e-08,0.002204574026571704,1.0022045740265717,1.7319407471212494e-08,0.002204574026571704,1.0049820275324437,1.2036891303221853e-07,0.0049820275324437,1.0049820275324437,1.2036891303221853e-07,0.0049820275324437,True
0.023,23.0,2015,0.0011318106256958,0.0011318106256958,1.0,1.0,7.45465036549376e-06,1.1011998301297338e-05,8.388694889619882e-06,1.586864273755523e-05,7.145228653181871e-06,2.1697493316246555e-05,23.0,2015,0.0011318106256958,0.0011318106256958,1.0,1.0,7.454615095405876e-06,1.1087013155130167e-05,8.355372847269066e-06,1.602405152767404e-05,7.126363706344402e-06,2.1811131690551464e-05,23.0,1.0000047313090525,3.527008788415493e-11,4.731309052541377e-06,1.0000047313090525,3.527008788415493e-11,4.731309052541377e-06,0.9932339889217036,-7.501485383282959e-08,-0.006766011078296441,0.9932339889217036,-7.501485383282959e-08,-0.006766011078296441,1.0039880975941975,3.332204235081593e-08,0.003988097594197493,1.0039880975941975,3.332204235081593e-08,0.003988097594197493,0.9903015295569655,-1.5540879011880838e-07,-0.009698470443034513,0.9903015295569655,-1.5540879011880838e-07,-0.009698470443034513,1.0026472051686997,1.886494683746872e-08,0.002647205168699651,1.0026472051686997,1.886494683746872e-08,0.002647205168699651,0.9947898909640651,-1.1363837430490871e-07,-0.0052101090359348845,0.9947898909640651,-1.1363837430490871e-07,-0.0052101090359348845,True
0.024,24.0,2015,0.0011850297095615,0.0011850297095615,1.0,1.0,1.160735825666375e-05,1.0552450317249823e-05,8.01275914609464e-06,1.5238701307500209e-05,6.7921933204629055e-06,2.0946437556438387e-05,24.0,2015,0.0011850297095615,0.0011850297095615,1.0,1.0,1.1607344927944306e-05,1.0585229788972792e-05,7.98458202235318e-06,1.5198774822765069e-05,6.7910853067015965e-06,2.094384729711057e-05,24.0,1.0000011483004534,1.3328719443593735e-11,1.1483004533907604e-06,1.0000011483004534,1.3328719443593735e-11,1.1483004533907604e-06,0.9969032819904281,-3.2779471722968554e-08,-0.003096718009571897,0.9969032819904281,-3.2779471722968554e-08,-0.003096718009571897,1.003528941610541,2.8177123741460585e-08,0.00352894161054107,1.003528941610541,2.8177123741460585e-08,0.00352894161054107,1.0026269541591823,3.992648473514007e-08,0.0026269541591823486,1.0026269541591823,3.992648473514007e-08,0.0026269541591823486,1.0001631570965859,1.1080137613090108e-09,0.0001631570965858753,1.0001631570965859,1.1080137613090108e-09,0.0001631570965858753,1.0001236763852923,2.590259327818809e-09,0.00012367638529231506,1.0001236763852923,2.590259327818809e-09,0.00012367638529231506,True
0.025,25.0,2015,0.0012382487934273,0.0012382487934273,1.0,1.0,2.0112925907442e-05,9.89789305263277e-06,7.4505683384234305e-06,1.4117155791210004e-05,6.3232473083616364e-06,1.957028995100536e-05,25.0,2015,0.0012382487934273,0.0012382487934273,1.0,1.0,2.011288849199665e-05,9.800208831309009e-06,7.448032502510041e-06,1.40436065627083e-05,6.2983625849930304e-06,1.9348122896276697e-05,25.0,1.000001860272102,3.741544534862761e-11,1.860272101916749e-06,1.000001860272102,3.741544534862761e-11,1.860272101916749e-06,1.0099675652840874,9.768422132376159e-08,0.009967565284087376,1.0099675652840874,9.768422132376159e-08,0.009967565284087376,1.0003404705756231,2.535835913389562e-09,0.00034047057562314187,1.0003404705756231,2.535835913389562e-09,0.00034047057562314187,1.005237203717812,7.354922850170405e-08,0.005237203717811889,1.005237203717812,7.354922850170405e-08,0.005237203717811889,1.0039509829789568,2.4884723368606003e-08,0.003950982978956796,1.0039509829789568,2.4884723368606003e-08,0.003950982978956796,1.0114826154412848,2.2216705472866125e-07,0.011482615441284816,1.0114826154412848,2.2216705472866125e-07,0.011482615441284816,True
0.026,26.0,2015,0.0012914678772929,0.0012914678772929,1.0,1.0,1.6115423314187462e-05,9.54826174576638e-06,7.222586462498605e-06,1.37461734827628e-05,6.150943630412948e-06,1.8902572161740807e-05,26.0,2015,0.0012914678772929,0.0012914678772929,1.0,1.0,1.6115423261067007e-05,9.570584559249694e-06,7.235146480729015e-06,1.369686022730383e-05,6.127301402920005e-06,1.897316425170425e-05,26.0,1.0000000032962495,5.312045494774119e-14,3.2962494955768307e-09,1.0000000032962495,5.312045494774119e-14,3.2962494955768307e-09,0.9976675600800434,-2.2322813483313867e-08,-0.002332439919956575,0.9976675600800434,-2.2322813483313867e-08,-0.002332439919956575,0.9982640270982952,-1.2560018230410022e-08,-0.0017359729017047965,0.9982640270982952,-1.2560018230410022e-08,-0.0017359729017047965,1.0036003328237713,4.931325545896905e-08,0.0036003328237712573,1.0036003328237713,4.931325545896905e-08,0.0036003328237712573,1.003858505716999,2.3642227492942732e-08,0.0038585057169990833,1.003858505716999,2.3642227492942732e-08,0.0038585057169990833,0.9962793717997195,-7.059208996344429e-08,-0.003720628200280518,0.9962793717997195,-7.059208996344429e-08,-0.003720628200280518,True
0.027,27.0,2015,0.0013446869611586,0.0013446869611586,1.0,1.0,6.901144767785321e-06,9.168757280598509e-06,6.863061669151452e-06,1.3177663239087324e-05,5.867247675067273e-06,1.790578832638928e-05,27.0,2015,0.0013446869611586,0.0013446869611586,1.0,1.0,6.901144795995801e-06,9.10468474400935e-06,6.8568311780588006e-06,1.3149477589524556e-05,5.848610476873351e-06,1.792824975975086e-05,27.0,0.9999999959122029,-2.821047974214952e-14,-4.087797100815749e-09,0.9999999959122029,-2.821047974214952e-14,-4.087797100815749e-09,1.0070373152273413,6.407253658915827e-08,0.007037315227341301,1.0070373152273413,6.407253658915827e-08,0.007037315227341301,1.0009086545856034,6.230491092651645e-09,0.0009086545856034078,1.0009086545856034,6.230491092651645e-09,0.0009086545856034078,1.0021434805581344,2.818564956276862e-08,0.002143480558134403,1.0021434805581344,2.818564956276862e-08,0.002143480558134403,1.0031866027439538,1.8637198193922013e-08,0.0031866027439537703,1.0031866027439538,1.8637198193922013e-08,0.0031866027439537703,0.9987471485692928,-2.2461433361580115e-08,-0.0012528514307071914,0.9987471485692928,-2.2461433361580115e-08,-0.0012528514307071914,True
0.028,28.0,2015,0.0013979060450244,0.0013979060450244,1.0,1.0,5.62616966875917e-06,9.025298339960029e-06,6.851929161052407e-06,1.306062370719648e-05,5.787164451688064e-06,1.781323287112785e-05,28.0,2015,0.0013979060450244,0.0013979060450244,1.0,1.0,5.626166783033456e-06,9.00737858145173e-06,6.846807596295985e-06,1.303905988981478e-05,5.806071443175416e-06,1.786340981868799e-05,28.0,1.0000005129115126,2.88572571430733e-12,5.129115125956929e-07,1.0000005129115126,2.88572571430733e-12,5.129115125956929e-07,1.001989453240613,1.7919758508297867e-08,0.0019894532406130594,1.001989453240613,1.7919758508297867e-08,0.0019894532406130594,1.0007480222986247,5.121564756422489e-09,0.0007480222986246954,1.0007480222986247,5.121564756422489e-09,0.0007480222986246954,1.0016537862057482,2.1563817381700434e-08,0.0016537862057481867,1.0016537862057482,2.1563817381700434e-08,0.0016537862057481867,0.9967435827009025,-1.890699148735268e-08,-0.003256417299097536,0.9967435827009025,-1.890699148735268e-08,-0.003256417299097536,0.9971910767278236,-5.01769475601381e-08,-0.0028089232721764112,0.9971910767278236,-5.01769475601381e-08,-0.0028089232721764112,True
0.029,29.0,2015,0.0014511251288901,0.0014511251288901,1.0,1.0,6.110407480801292e-06,8.834413905268458e-06,6.681517656076457e-06,1.2690300407471968e-05,5.629891861103225e-06,1.7250744632118297e-05,29.0,2015,0.0014511251288901,0.0014511251288901,1.0,1.0,6.1104130694528245e-06,8.75948884116805e-06,6.657869826989828e-06,1.2669469888490348e-05,5.6229742791589895e-06,1.7305093336281437e-05,29.0,0.9999990853889142,-5.588651532178958e-12,-9.146110857560785e-07,0.9999990853889142,-5.588651532178958e-12,-9.146110857560785e-07,1.0085535886236048,7.492506410040748e-08,0.00855358862360478,1.0085535886236048,7.492506410040748e-08,0.00855358862360478,1.0035518611359395,2.364782908662928e-08,0.003551861135939527,1.0035518611359395,2.364782908662928e-08,0.003551861135939527,1.0016441507943867,2.0830518981620376e-08,0.001644150794386734,1.0016441507943867,2.0830518981620376e-08,0.001644150794386734,1.0012302353880356,6.917581944235085e-09,0.001230235388035572,1.0012302353880356,6.917581944235085e-09,0.001230235388035572,0.996859381044239,-5.4348704163139516e-08,-0.00314061895576101,0.996859381044239,-5.4348704163139516e-08,-0.00314061895576101,True
