mass_MeV,dataset,shared_eps2_hat,shared_sigma_eps2,shared_fitted_window_yield,shared_fitted_window_sigma,shared_full_template_yield,shared_full_template_sigma,independent_signed_eps2_hat,independent_signed_sigma_eps2,independent_signed_fitted_window_yield,independent_signed_fitted_window_sigma,independent_signed_full_template_yield,independent_signed_full_template_sigma,signal_yield_per_eps2_fitted_window,signal_yield_per_eps2_full_template,post_selection_diagnostic
66,2015,4.550207667308181e-06,1.6485001408701155e-06,708.4925213538247,256.6805971623139,725.5099009581922,262.8458438337116,1.974685738688549e-05,1.0201239153211826e-05,3074.6950033437533,1588.389404844034,3148.546526772075,1626.5411490715321,155705535.4734954,159445448.20904636,True
66,2016,4.550207667308181e-06,1.6485001408701155e-06,11927.181054870985,4321.112592377535,12250.642871122584,4438.299958019752,2.6924211596889686e-06,2.5403619884218127e-06,7057.478909874347,6658.895504596512,7248.875765161708,6839.48288934714,2621238837.199465,2692326101.7600627,True
66,2021,4.550207667308181e-06,1.6485001408701155e-06,14584.355409205971,5283.783445602355,14866.704429243295,5386.076007467212,5.246751499088164e-06,2.217223390388081e-06,16816.922259672185,7106.658928855933,17142.493146203455,7244.2418475384675,3205206547.8219824,3267258445.379519,True
