mass_MeV,dataset,bin_center_GeV,bin_center_MeV,observed_events,gp_mean_events,joint_profiled_background_events,independent_profiled_background_events,shared_signal_events,shared_total_events,independent_signed_signal_events,independent_signed_total_events,in_fitted_window,bin_width_MeV
66,2015,0.023625,23.625,168785.0,169408.35257032403,169408.35257032403,169408.35257032403,0.0,169408.35257032403,0.0,169408.35257032403,False,0.24999999999999675
66,2015,0.023875,23.875,173199.0,173025.6240819405,173025.6240819405,173025.6240819405,0.0,173025.6240819405,0.0,173025.6240819405,False,0.25000000000000366
66,2015,0.024125,24.125,176540.0,176440.49604829145,176440.49604829145,176440.49604829145,0.0,176440.49604829145,0.0,176440.49604829145,False,0.24999999999999675
66,2015,0.024375,24.375,179439.0,179655.75205471195,179655.75205471195,179655.75205471195,0.0,179655.75205471195,0.0,179655.75205471195,False,0.2500000000000002
66,2015,0.024625,24.625,182255.0,182674.52758996506,182674.52758996506,182674.52758996506,0.0,182674.52758996506,0.0,182674.52758996506,False,0.2500000000000002
66,2015,0.024875,24.875,184715.0,185500.21054143787,185500.21054143787,185500.21054143787,0.0,185500.21054143787,0.0,185500.21054143787,False,0.2500000000000002
66,2015,0.025125,25.125,188497.0,188136.3633938762,188136.3633938762,188136.3633938762,0.0,188136.3633938762,0.0,188136.3633938762,False,0.2500000000000002
66,2015,0.025375,25.375,190675.0,190586.66464829736,190586.66464829736,190586.66464829736,0.0,190586.66464829736,0.0,190586.66464829736,False,0.2500000000000002
66,2015,0.025625000000000002,25.625000000000004,193404.0,192854.86777506018,192854.86777506018,192854.86777506018,0.0,192854.86777506018,0.0,192854.86777506018,False,0.2500000000000002
66,2015,0.025875000000000002,25.875000000000004,195651.0,194944.77355231118,194944.77355231118,194944.77355231118,0.0,194944.77355231118,0.0,194944.77355231118,False,0.2500000000000002
66,2015,0.026125000000000002,26.125000000000004,196888.0,196860.21428860805,196860.21428860805,196860.21428860805,0.0,196860.21428860805,0.0,196860.21428860805,False,0.24999999999999675
66,2015,0.026375000000000003,26.375000000000004,198311.0,198605.04660244854,198605.04660244854,198605.04660244854,0.0,198605.04660244854,0.0,198605.04660244854,False,0.25000000000000366
66,2015,0.026625000000000003,26.625000000000004,200907.0,200183.1503711244,200183.1503711244,200183.1503711244,0.0,200183.1503711244,0.0,200183.1503711244,False,0.24999999999999675
66,2015,0.026875000000000003,26.875000000000004,200595.0,201598.4321764828,201598.4321764828,201598.4321764828,0.0,201598.4321764828,0.0,201598.4321764828,False,0.25000000000000366
66,2015,0.027125,27.125,203380.0,202854.8303835926,202854.8303835926,202854.8303835926,0.0,202854.8303835926,0.0,202854.8303835926,False,0.24999999999999675
66,2015,0.027375000000000003,27.375000000000004,203492.0,203956.32123014855,203956.32123014855,203956.32123014855,0.0,203956.32123014855,0.0,203956.32123014855,False,0.25000000000000366
66,2015,0.027625,27.625,204661.0,204906.92433203378,204906.92433203378,204906.92433203378,0.0,204906.92433203378,0.0,204906.92433203378,False,0.24999999999999675
66,2015,0.027875,27.875,205269.0,205710.70632421697,205710.70632421697,205710.70632421697,0.0,205710.70632421697,0.0,205710.70632421697,False,0.2500000000000002
66,2015,0.028125,28.125,206193.0,206371.7825642266,206371.7825642266,206371.7825642266,0.0,206371.7825642266,0.0,206371.7825642266,False,0.2500000000000002
66,2015,0.028375,28.375,207176.0,206894.31588001555,206894.31588001555,206894.31588001555,0.0,206894.31588001555,0.0,206894.31588001555,False,0.2500000000000002
66,2015,0.028625,28.625,207662.0,207282.51328582608,207282.51328582608,207282.51328582608,0.0,207282.51328582608,0.0,207282.51328582608,False,0.2500000000000002
66,2015,0.028875,28.875,207384.0,207540.61891238907,207540.61891238907,207540.61891238907,0.0,207540.61891238907,0.0,207540.61891238907,False,0.2500000000000002
66,2015,0.029125,29.125,207841.0,207672.9053317071,207672.9053317071,207672.9053317071,0.0,207672.9053317071,0.0,207672.9053317071,False,0.2500000000000002
66,2015,0.029375000000000002,29.375000000000004,207917.0,207683.6623057159,207683.6623057159,207683.6623057159,0.0,207683.6623057159,0.0,207683.6623057159,False,0.2500000000000002
66,2015,0.029625000000000002,29.625000000000004,208120.0,207577.1837416215,207577.1837416215,207577.1837416215,0.0,207577.1837416215,0.0,207577.1837416215,False,0.24999999999999675
66,2015,0.029875000000000002,29.875000000000004,206969.0,207357.75333041817,207357.75333041817,207357.75333041817,0.0,207357.75333041817,0.0,207357.75333041817,False,0.25000000000000366
66,2015,0.030125000000000002,30.125000000000004,206717.0,207029.62951556727,207029.62951556727,207029.62951556727,0.0,207029.62951556727,0.0,207029.62951556727,False,0.2500000000000002
66,2015,0.030375,30.375,206695.0,206597.02989289127,206597.02989289127,206597.02989289127,0.0,206597.02989289127,0.0,206597.02989289127,False,0.24999999999999675
66,2015,0.030625000000000003,30.625000000000004,206575.0,206064.11619473092,206064.11619473092,206064.11619473092,0.0,206064.11619473092,0.0,206064.11619473092,False,0.25000000000000366
66,2015,0.030875000000000003,30.875000000000004,205645.0,205434.9790036924,205434.9790036924,205434.9790036924,0.0,205434.9790036924,0.0,205434.9790036924,False,0.24999999999999675
66,2015,0.031125,31.125,204324.0,204713.62446659443,204713.62446659443,204713.62446659443,0.0,204713.62446659443,0.0,204713.62446659443,False,0.2500000000000002
66,2015,0.031375,31.375,204048.0,203903.96151694446,203903.96151694446,203903.96151694446,0.0,203903.96151694446,0.0,203903.96151694446,False,0.2500000000000002
66,2015,0.031625,31.625,202283.0,203009.79116907102,203009.79116907102,203009.79116907102,0.0,203009.79116907102,0.0,203009.79116907102,False,0.2500000000000002
66,2015,0.03187500000000001,31.875000000000007,202547.0,202034.7971539859,202034.7971539859,202034.7971539859,0.0,202034.7971539859,0.0,202034.7971539859,False,0.25000000000000716
66,2015,0.032125,32.125,201245.0,200982.5387008304,200982.5387008304,200982.5387008304,0.0,200982.5387008304,0.0,200982.5387008304,False,0.24999999999999328
66,2015,0.032375,32.375,199784.0,199856.44541709337,199856.44541709337,199856.44541709337,0.0,199856.44541709337,0.0,199856.44541709337,False,0.2500000000000002
66,2015,0.032625,32.625,199286.0,198659.8138491834,198659.8138491834,198659.8138491834,0.0,198659.8138491834,0.0,198659.8138491834,False,0.2500000000000002
66,2015,0.032875,32.875,197652.0,197395.80625341597,197395.80625341597,197395.80625341597,0.0,197395.80625341597,0.0,197395.80625341597,False,0.2500000000000002
66,2015,0.033125,33.125,196057.0,196067.45101829965,196067.45101829965,196067.45101829965,0.0,196067.45101829965,0.0,196067.45101829965,False,0.2500000000000002
66,2015,0.033375,33.375,194286.0,194677.64493883465,194677.64493883465,194677.64493883465,0.0,194677.64493883465,0.0,194677.64493883465,False,0.2500000000000002
66,2015,0.033625,33.625,192272.0,193229.15726986414,193229.15726986414,193229.15726986414,0.0,193229.15726986414,0.0,193229.15726986414,False,0.2500000000000002
66,2015,0.033875,33.875,191349.0,191724.63480036723,191724.63480036723,191724.63480036723,0.0,191724.63480036723,0.0,191724.63480036723,False,0.2500000000000002
66,2015,0.034125,34.125,190254.0,190166.6084480782,190166.6084480782,190166.6084480782,0.0,190166.6084480782,0.0,190166.6084480782,False,0.2500000000000002
66,2015,0.034374999999999996,34.37499999999999,188479.0,188557.5007763756,188557.5007763756,188557.5007763756,0.0,188557.5007763756,0.0,188557.5007763756,False,0.24999999999999328
66,2015,0.034625,34.625,187088.0,186899.63424914097,186899.63424914097,186899.63424914097,0.0,186899.63424914097,0.0,186899.63424914097,False,0.25000000000000716
66,2015,0.034875,34.875,185430.0,185195.24006416884,185195.24006416884,185195.24006416884,0.0,185195.24006416884,0.0,185195.24006416884,False,0.2500000000000002
66,2015,0.035125,35.125,183443.0,183446.46740420588,183446.46740420588,183446.46740420588,0.0,183446.46740420588,0.0,183446.46740420588,False,0.2500000000000002
66,2015,0.035375000000000004,35.37500000000001,181165.0,181655.3928784024,181655.3928784024,181655.3928784024,0.0,181655.3928784024,0.0,181655.3928784024,False,0.24999999999999328
66,2015,0.035625,35.625,179489.0,179824.0298428254,179824.0298428254,179824.0298428254,0.0,179824.0298428254,0.0,179824.0298428254,False,0.25000000000000716
66,2015,0.035875000000000004,35.87500000000001,178044.0,177954.3375086007,177954.3375086007,177954.3375086007,0.0,177954.3375086007,0.0,177954.3375086007,False,0.2500000000000002
66,2015,0.036125000000000004,36.12500000000001,175709.0,176048.22977197487,176048.22977197487,176048.22977197487,0.0,176048.22977197487,0.0,176048.22977197487,False,0.2500000000000002
66,2015,0.036375000000000005,36.37500000000001,174803.0,174107.5836203774,174107.5836203774,174107.5836203774,0.0,174107.5836203774,0.0,174107.5836203774,False,0.2500000000000002
66,2015,0.036625000000000005,36.62500000000001,172476.0,172134.24663656263,172134.24663656263,172134.24663656263,0.0,172134.24663656263,0.0,172134.24663656263,False,0.2500000000000002
66,2015,0.036875,36.875,170068.0,170130.0442421513,170130.0442421513,170130.0442421513,0.0,170130.0442421513,0.0,170130.0442421513,False,0.24999999999999328
66,2015,0.037125,37.125,168158.0,168096.7855460296,168096.7855460296,168096.7855460296,0.0,168096.7855460296,0.0,168096.7855460296,False,0.25000000000000716
66,2015,0.037375000000000005,37.37500000000001,165591.0,166036.2689886864,166036.2689886864,166036.2689886864,0.0,166036.2689886864,0.0,166036.2689886864,False,0.24999999999999328
66,2015,0.037625,37.625,163643.0,163950.2866597629,163950.2866597629,163950.2866597629,8.05477796637302e-14,163950.2866597629,3.4955888481259247e-13,163950.2866597629,False,0.25000000000000716
66,2015,0.037875000000000006,37.87500000000001,161455.0,161840.62791677433,161840.62791677433,161840.62791677433,0.0,161840.62791677433,0.0,161840.62791677433,False,0.24999999999999328
66,2015,0.038125,38.125,160168.0,159709.08203198065,159709.08203198065,159709.08203198065,8.05477796637302e-14,159709.08203198065,3.4955888481259247e-13,159709.08203198065,False,0.2500000000000002
66,2015,0.038375,38.375,157355.0,157557.43991603536,157557.43991603536,157557.43991603536,1.610955593274604e-13,157557.43991603536,6.991177696251849e-13,157557.43991603536,False,0.2500000000000002
66,2015,0.038625,38.625,155293.0,155387.49521574393,155387.49521574393,155387.49521574393,2.416433389911906e-13,155387.49521574393,1.0486766544377774e-12,155387.49521574393,False,0.25000000000000716
66,2015,0.03887500000000001,38.87500000000001,153193.0,153201.044183418,153201.044183418,153201.044183418,4.832866779823812e-13,153201.044183418,2.0973533088755547e-12,153201.044183418,False,0.2500000000000002
66,2015,0.039125,39.125,150930.0,150999.8852500134,150999.8852500134,150999.8852500134,8.45751686469167e-13,150999.8852500134,3.670368290532221e-12,150999.8852500134,False,0.24999999999999328
66,2015,0.039375,39.375,150009.0,148785.81757716864,148785.81757716864,148785.81757716864,1.4901339237790086e-12,148785.81757716864,6.4668393690329606e-12,148785.81757716864,False,0.2500000000000002
66,2015,0.039625,39.625,146848.0,146560.63899160054,146560.63899160054,146560.63899160054,2.6178028390712312e-12,146560.63899160054,1.1360663756409256e-11,146560.63899160054,False,0.2500000000000002
66,2015,0.03987500000000001,39.87500000000001,144438.0,144326.1436745962,144326.1436745962,144326.1436745962,4.591223440832621e-12,144326.1436745962,1.992485643431777e-11,144326.14367459624,False,0.25000000000000716
66,2015,0.040125,40.125,142324.0,142084.11904244067,142084.11904244067,142084.11904244067,8.014504076541155e-12,142084.11904244067,3.4781109038852953e-11,142084.1190424407,False,0.24999999999999328
66,2015,0.040375,40.375,140056.0,139836.34231225055,139836.34231225055,139836.34231225055,1.3854218102161594e-11,139836.34231225055,6.01241281877659e-11,139836.3423122506,False,0.2500000000000002
66,2015,0.040625,40.625,137487.0,137584.5769006659,137584.5769006659,137584.5769006659,2.3882416670296004e-11,137584.57690066594,1.0364420934693367e-10,137584.57690066603,False,0.2500000000000002
66,2015,0.040875,40.875,135234.0,135330.5685221906,135330.5685221906,135330.5685221906,4.0958545959006804e-11,135330.56852219062,1.7775069292720326e-10,135330.56852219076,False,0.2500000000000002
66,2015,0.041125,41.125,132966.0,133076.04100795544,133076.04100795544,133076.04100795544,6.991547274811781e-11,133076.0410079555,3.0341711201733027e-10,133076.04100795573,False,0.2500000000000002
66,2015,0.041375,41.375,131301.0,130822.69220889393,130822.69220889393,130822.69220889393,1.1856633166501084e-10,130822.69220889405,5.145506784441361e-10,130822.69220889444,False,0.2500000000000002
66,2015,0.041625,41.625,128300.0,128572.18991414252,128572.18991414252,128572.18991414252,2.0016123246436953e-10,128572.18991414273,8.686538287592923e-10,128572.1899141434,False,0.2500000000000002
66,2015,0.041875,41.875,126045.0,126326.16769033381,126326.16769033381,126326.16769033381,3.3596478897741863e-10,126326.16769033414,1.4580101085533232e-09,126326.16769033526,False,0.2500000000000002
66,2015,0.042125,42.125,124059.0,124086.22082927971,124086.22082927971,124086.22082927971,5.60975011468049e-10,124086.22082928028,2.4345028532773002e-09,124086.22082928215,False,0.2500000000000002
66,2015,0.042375,42.375,121598.0,121853.9028007118,121853.9028007118,121853.9028007118,9.317364412601991e-10,121853.90280071273,4.043522400069663e-09,121853.90280071585,False,0.2500000000000002
66,2015,0.042625,42.625,120044.0,119630.72145487934,119630.72145487934,119630.72145487934,1.5392680693738841e-09,119630.72145488088,6.680070288768642e-09,119630.72145488602,False,0.2500000000000002
66,2015,0.042875,42.875,117619.0,117418.13578457478,117418.13578457478,117418.13578457478,2.529321103110624e-09,117418.13578457732,1.0976673321442622e-08,117418.13578458576,False,0.2500000000000002
66,2015,0.043125000000000004,43.12500000000001,115149.0,115217.55295235044,115217.55295235044,115217.55295235044,4.134155065130784e-09,115217.55295235457,1.7941284542448713e-08,115217.55295236838,False,0.2500000000000002
66,2015,0.043375000000000004,43.37500000000001,112933.0,113030.3256000817,113030.3256000817,113030.3256000817,6.721108104590807e-09,113030.32560008843,2.9168067245974747e-08,113030.32560011087,False,0.2500000000000002
66,2015,0.043625000000000004,43.62500000000001,110469.0,110857.74940304639,110857.74940304639,110857.74940304639,1.0868754922815265e-08,110857.74940305726,4.716790290162957e-08,110857.74940309355,False,0.2500000000000002
66,2015,0.043875000000000004,43.87500000000001,108083.0,108701.06117351213,108701.06117351213,108701.06117351213,1.7482412289334655e-08,108701.06117352961,7.586965859526432e-08,108701.06117358801,False,0.2500000000000002
66,2015,0.044125000000000004,44.12500000000001,106759.0,106561.43718553946,106561.43718553946,106561.43718553946,2.7970498405459132e-08,106561.43718556743,1.213855462072696e-07,106561.43718566085,False,0.2500000000000002
66,2015,0.044375000000000005,44.37500000000001,104442.0,104439.99187149938,104439.99187149938,104439.99187149938,4.4512434819440076e-08,104439.9918715439,1.9317375526346207e-07,104439.99187169256,False,0.2500000000000002
66,2015,0.044625000000000005,44.62500000000001,102899.0,102337.77700626156,102337.77700626156,102337.77700626156,7.046005628642429e-08,102337.77700633202,3.057804796375482e-07,102337.77700656734,False,0.2500000000000002
66,2015,0.044875,44.875,99677.0,100255.78097419144,100255.78097419144,100255.78097419144,1.1093926240865223e-07,100255.78097430238,4.814509476412317e-07,100255.78097467289,False,0.24999999999999328
66,2015,0.045125000000000005,45.12500000000001,98144.0,98194.92876349878,98194.92876349878,98194.92876349878,1.7374325223803898e-07,98194.92876367253,7.54005855277343e-07,98194.92876425279,False,0.25000000000000716
66,2015,0.045375000000000006,45.37500000000001,96545.0,96156.0818462667,96156.0818462667,96156.0818462667,2.706522190981847e-07,96156.08184653734,1.1745685390086085e-06,96156.08184744127,False,0.24999999999999328
66,2015,0.045625,45.625,93397.0,94140.03875462167,94140.03875462167,94140.03875462167,4.193685109907959e-07,94140.03875504104,1.8199631279652734e-06,94140.03875644163,False,0.2500000000000002
66,2015,0.045875,45.875,92391.0,92147.5357407311,92147.5357407311,92147.5357407311,6.463395080817804e-07,92147.53574137743,2.8049651846222433e-06,92147.53574353606,False,0.2500000000000002
66,2015,0.046125,46.125,90565.0,90179.2476683461,90179.2476683461,90179.2476683461,9.90846268270868e-07,90179.24766933694,4.3000454885716144e-06,90179.24767264615,False,0.2500000000000002
66,2015,0.046375000000000006,46.37500000000001,88038.0,88235.78925218516,88235.78925218516,88235.78925218516,1.510888911808301e-06,88235.78925369604,6.556911255559276e-06,88235.78925874208,False,0.2500000000000002
66,2015,0.04662500000000001,46.62500000000001,86197.0,86317.71650549716,86317.71650549716,86317.71650549716,2.2916033004352347e-06,86317.71650778876,9.945032594035629e-06,86317.71651544218,False,0.2500000000000002
66,2015,0.046875,46.875,84383.0,84425.52828662166,84425.52828662166,84425.52828662166,3.457220207873753e-06,84425.52829007887,1.5003542561460371e-05,84425.5283016252,False,0.2500000000000002
66,2015,0.047125,47.125,82173.0,82559.66813531514,82559.66813531514,82559.66813531514,5.187944348698739e-06,82559.66814050308,2.2514488277291627e-05,82559.66815782963,False,0.2500000000000002
66,2015,0.047375,47.375,80437.0,80720.5260851618,80720.5260851618,80720.5260851618,7.743623987774301e-06,80720.52609290542,3.360555159775921e-05,80720.52611876735,False,0.25000000000000716
66,2015,0.047625,47.625,78959.0,78908.44079051448,78908.44079051448,78908.44079051448,1.1496717938253443e-05,78908.44080201119,4.989311832403513e-05,78908.4408404076,False,0.2500000000000002
66,2015,0.047875,47.875,77230.0,77123.70156786464,77123.70156786464,77123.70156786464,1.6977907836054924e-05,77123.70158484255,7.368022500928976e-05,77123.70164154487,False,0.24999999999999328
66,2015,0.048125,48.125,74983.0,75366.55067273919,75366.55067273919,75366.55067273919,2.4938776595978037e-05,75366.55069767797,0.00010822856907880594,75366.55078096777,False,0.2500000000000002
66,2015,0.04837500000000001,48.37500000000001,73915.0,73637.1853963022,73637.1853963022,73637.1853963022,3.643735067726605e-05,73637.18543273956,0.0001581297426377827,73637.18555443194,False,0.2500000000000002
66,2015,0.04862500000000001,48.62500000000001,72192.0,71935.76050034822,71935.76050034822,71935.76050034822,5.2954042088062014e-05,71935.76055330226,0.0002298083941717533,71935.76073015662,False,0.2500000000000002
66,2015,0.04887500000000001,48.87500000000001,70292.0,70262.39036321698,70262.39036321698,70262.39036321698,7.654769484744187e-05,70262.39043976468,0.0003321994343922955,70262.39069541641,False,0.2500000000000002
66,2015,0.049125,49.125,68489.0,68617.15128363395,68617.15128363395,68617.15128363395,0.00011006412717407897,68617.15139369808,0.000477653061492976,68617.15176128701,False,0.2500000000000002
66,2015,0.049375,49.375,67123.0,67000.08375176729,67000.08375176729,67000.08375176729,0.00015741283763618785,67000.08390918013,0.0006831356023593621,67000.08443490289,False,0.25000000000000716
66,2015,0.049625,49.625,65370.0,65411.19466245059,65411.19466245059,65411.19466245059,0.00022393149456735733,65411.19488638208,0.0009718113130141306,65411.1956342619,False,0.2500000000000002
66,2015,0.049875,49.875,63587.0,63850.459449557886,63850.459449557886,63850.459449557886,0.0003168625309558201,63850.45976642042,0.0013751106910981313,63850.460824668575,False,0.2500000000000002
66,2015,0.050125,50.125,62418.0,62317.82420848618,62317.82420848618,62317.82420848618,0.00044597167096531226,62317.82465445785,0.0019354147390712013,62317.826143900915,False,0.24999999999998634
66,2015,0.05037500000000001,50.37500000000001,61172.0,60813.20777013297,60813.20777013297,60813.20777013297,0.0006243445648742678,60813.20839447754,0.00270951217708768,60813.210479645146,False,0.25000000000000716
66,2015,0.05062500000000001,50.62500000000001,59713.0,59336.50359427532,59336.50359427532,59336.50359427532,0.0008694048851815106,59336.504463680205,0.003773017746527847,59336.50736729307,False,0.2500000000000002
66,2015,0.050875000000000004,50.875,57639.0,57887.581753867424,57887.581753867424,57887.581753867424,0.0012042051906392983,57887.58295807261,0.005225974263756814,57887.58697984169,False,0.24999999999999328
66,2015,0.051125000000000004,51.12500000000001,56401.0,56466.29065762348,56466.29065762348,56466.29065762348,0.0016590504464141997,56466.29231667393,0.007199898325161659,56466.29785752181,False,0.2500000000000002
66,2015,0.051375,51.375,55231.0,55072.458807953466,55072.458807953466,55072.458807953466,0.0022735230773460275,55072.46108147654,0.00986656857371612,55072.46867452204,False,0.25000000000000716
66,2015,0.051625,51.625,53821.0,53705.89642326531,53705.89642326531,53705.89642326531,0.0030989874711523663,53705.89952225278,0.013448894668315805,53705.90987215998,False,0.2500000000000002
66,2015,0.051875,51.875,52385.0,52366.39695765367,52366.39695765367,52366.39695765367,0.004201660449318142,52366.40115931412,0.018234242423024582,52366.41519189609,False,0.2500000000000002
66,2015,0.052125,52.125,51300.0,51053.73858957467,51053.73858957467,51053.73858957467,0.005666341742222725,51053.74425591641,0.024590623213296532,51053.763180197886,False,0.2500000000000002
66,2015,0.052375000000000005,52.37500000000001,50125.0,49767.68548462998,49767.68548462998,49767.68548462998,0.007600904109249371,49767.69308553409,0.03298618006714671,49767.71847081005,False,0.24999999999999328
66,2015,0.052625000000000005,52.62500000000001,48743.0,48507.98919329079,48507.98919329079,48507.98919329079,0.010141645429037666,48507.99933493622,0.04401241450899303,48508.0332057053,False,0.2500000000000002
66,2015,0.052875000000000005,52.87500000000001,46922.0,47274.389706549504,47274.389706549504,47274.389706549504,0.013459603645489704,47274.40316615315,0.058411591976575146,47274.44811814148,False,0.2500000000000002
66,2015,0.053125000000000006,53.12500000000001,45979.0,46066.61662573594,46066.61662573594,46066.61662573594,0.01776792854104018,46066.63439366448,0.07710873362574583,46066.69373446956,False,0.2500000000000002
66,2015,0.053375000000000006,53.37500000000001,44989.0,44884.39014956721,44884.39014956721,44884.39014956721,0.023330390408207724,44884.41347995762,0.10124854201298066,44884.491398109225,False,0.25000000000000716
