dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,mass_MeV,observed_source,expected_band_source,dimuon_threshold_GeV,dimuon_threshold_MeV,N_eff_dimuon,BR_ee_minimal,eps2_obs_ee_channel,eps2_obs_dimuon,eps2_lo2_ee_channel,eps2_lo2_dimuon,eps2_lo1_ee_channel,eps2_lo1_dimuon,eps2_med_ee_channel,eps2_med_dimuon,eps2_hi1_ee_channel,eps2_hi1_dimuon,eps2_hi2_ee_channel,eps2_hi2_dimuon,eps2_mean_ee_channel,eps2_mean_dimuon,ul_eps2_obs_ee_channel,ul_eps2_obs_dimuon,toy_eps2_uls_q02_ee_channel,toy_eps2_uls_q02_dimuon,toy_eps2_uls_q16_ee_channel,toy_eps2_uls_q16_dimuon,toy_eps2_uls_q50_ee_channel,toy_eps2_uls_q50_dimuon,toy_eps2_uls_q84_ee_channel,toy_eps2_uls_q84_dimuon,toy_eps2_uls_q97_ee_channel,toy_eps2_uls_q97_dimuon,toy_eps2_uls_mean_ee_channel,toy_eps2_uls_mean_dimuon
2015,0.02,0.0009721533740987,0.0009721533740987,0.1,2.289202993004245e-05,0.154979142641042,1.015309567252045,1.0223286379976023e-05,1.2000358086813472e-05,1.578493507008626e-05,2.2600403397944623e-05,3.065215844272424e-05,1.714750500708078e-05,2.289202993004245e-05,1.0223286379976023e-05,1.2000358086813472e-05,1.578493507008626e-05,2.2600403397944623e-05,3.065215844272424e-05,1.714750500708078e-05,0.8484,0.1516,0.3032,"[{'key': '2015', 'sigma': 0.0009721533740987999, 'dens': 378776000.00000006}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,20.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,2.289202993004245e-05,2.289202993004245e-05,1.0223286379976023e-05,1.0223286379976023e-05,1.2000358086813472e-05,1.2000358086813472e-05,1.578493507008626e-05,1.578493507008626e-05,2.2600403397944623e-05,2.2600403397944623e-05,3.065215844272424e-05,3.065215844272424e-05,1.714750500708078e-05,1.714750500708078e-05,2.289202993004245e-05,2.289202993004245e-05,1.0223286379976023e-05,1.0223286379976023e-05,1.2000358086813472e-05,1.2000358086813472e-05,1.578493507008626e-05,1.578493507008626e-05,2.2600403397944623e-05,2.2600403397944623e-05,3.065215844272424e-05,3.065215844272424e-05,1.714750500708078e-05,1.714750500708078e-05
2015,0.021,0.0010253724579645,0.0010253724579645,0.1,1.603522168522709e-05,0.3281699157994183,0.4449722177828616,8.800594459149946e-06,1.0298558900225844e-05,1.3657214888390226e-05,1.960868008134585e-05,2.713521170710402e-05,1.4865587772400174e-05,1.603522168522709e-05,8.800594459149946e-06,1.0298558900225844e-05,1.3657214888390226e-05,1.960868008134585e-05,2.713521170710402e-05,1.4865587772400174e-05,0.6699,0.3301,0.6602,"[{'key': '2015', 'sigma': 0.0010253724579645, 'dens': 472304571.42857146}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,21.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.603522168522709e-05,1.603522168522709e-05,8.800594459149946e-06,8.800594459149946e-06,1.0298558900225844e-05,1.0298558900225844e-05,1.3657214888390226e-05,1.3657214888390226e-05,1.960868008134585e-05,1.960868008134585e-05,2.713521170710402e-05,2.713521170710402e-05,1.4865587772400174e-05,1.4865587772400174e-05,1.603522168522709e-05,1.603522168522709e-05,8.800594459149946e-06,8.800594459149946e-06,1.0298558900225844e-05,1.0298558900225844e-05,1.3657214888390226e-05,1.3657214888390226e-05,1.960868008134585e-05,1.960868008134585e-05,2.713521170710402e-05,2.713521170710402e-05,1.4865587772400174e-05,1.4865587772400174e-05
2015,0.022,0.0010785915418301,0.0010785915418301,0.1,8.797439268731236e-06,0.5,0.0,7.85612425006422e-06,9.27438260586908e-06,1.2184068943092572e-05,1.7669219917429502e-05,2.416062782639361e-05,1.3301059082041207e-05,8.797439268731236e-06,7.85612425006422e-06,9.27438260586908e-06,1.2184068943092572e-05,1.7669219917429502e-05,2.416062782639361e-05,1.3301059082041207e-05,0.1032,0.8968,0.2064,"[{'key': '2015', 'sigma': 0.0010785915418301997, 'dens': 555681750.0}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,22.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,8.797439268731236e-06,8.797439268731236e-06,7.85612425006422e-06,7.85612425006422e-06,9.27438260586908e-06,9.27438260586908e-06,1.2184068943092572e-05,1.2184068943092572e-05,1.7669219917429502e-05,1.7669219917429502e-05,2.416062782639361e-05,2.416062782639361e-05,1.3301059082041207e-05,1.3301059082041207e-05,8.797439268731236e-06,8.797439268731236e-06,7.85612425006422e-06,7.85612425006422e-06,9.27438260586908e-06,9.27438260586908e-06,1.2184068943092572e-05,1.2184068943092572e-05,1.7669219917429502e-05,1.7669219917429502e-05,2.416062782639361e-05,2.416062782639361e-05,1.3301059082041207e-05,1.3301059082041207e-05
2015,0.023,0.0011318106256958,0.0011318106256958,0.1,7.454615095405876e-06,0.4999513009912829,0.0001220703125,7.126363706344402e-06,8.355372847269066e-06,1.1087013155130167e-05,1.602405152767404e-05,2.1811131690551464e-05,1.2053177345950806e-05,7.454615095405876e-06,7.126363706344402e-06,8.355372847269066e-06,1.1087013155130167e-05,1.602405152767404e-05,2.1811131690551464e-05,1.2053177345950806e-05,0.0499,0.9501,0.0998,"[{'key': '2015', 'sigma': 0.0011318106256958998, 'dens': 628787250.0000005}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,23.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,7.454615095405876e-06,7.454615095405876e-06,7.126363706344402e-06,7.126363706344402e-06,8.355372847269066e-06,8.355372847269066e-06,1.1087013155130167e-05,1.1087013155130167e-05,1.602405152767404e-05,1.602405152767404e-05,2.1811131690551464e-05,2.1811131690551464e-05,1.2053177345950806e-05,1.2053177345950806e-05,7.454615095405876e-06,7.454615095405876e-06,7.126363706344402e-06,7.126363706344402e-06,8.355372847269066e-06,8.355372847269066e-06,1.1087013155130167e-05,1.1087013155130167e-05,1.602405152767404e-05,1.602405152767404e-05,2.1811131690551464e-05,2.1811131690551464e-05,1.2053177345950806e-05,1.2053177345950806e-05
2015,0.024,0.0011850297095615,0.0011850297095615,0.1,1.1607344927944306e-05,0.3923596294973571,0.2731742681764924,6.7910853067015965e-06,7.98458202235318e-06,1.0585229788972792e-05,1.5198774822765069e-05,2.094384729711057e-05,1.1515687405144756e-05,1.1607344927944306e-05,6.7910853067015965e-06,7.98458202235318e-06,1.0585229788972792e-05,1.5198774822765069e-05,2.094384729711057e-05,1.1515687405144756e-05,0.594,0.406,0.812,"[{'key': '2015', 'sigma': 0.0011850297095615998, 'dens': 690630250.0}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,24.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.1607344927944306e-05,1.1607344927944306e-05,6.7910853067015965e-06,6.7910853067015965e-06,7.98458202235318e-06,7.98458202235318e-06,1.0585229788972792e-05,1.0585229788972792e-05,1.5198774822765069e-05,1.5198774822765069e-05,2.094384729711057e-05,2.094384729711057e-05,1.1515687405144756e-05,1.1515687405144756e-05,1.1607344927944306e-05,1.1607344927944306e-05,6.7910853067015965e-06,6.7910853067015965e-06,7.98458202235318e-06,7.98458202235318e-06,1.0585229788972792e-05,1.0585229788972792e-05,1.5198774822765069e-05,1.5198774822765069e-05,2.094384729711057e-05,2.094384729711057e-05,1.1515687405144756e-05,1.1515687405144756e-05
2015,0.025,0.0012382487934273,0.0012382487934273,0.1,2.011288849199665e-05,0.0189249034110064,2.076477534275936,6.2983625849930304e-06,7.448032502510041e-06,9.800208831309009e-06,1.40436065627083e-05,1.9348122896276697e-05,1.066853720628855e-05,2.011288849199665e-05,6.2983625849930304e-06,7.448032502510041e-06,9.800208831309009e-06,1.40436065627083e-05,1.9348122896276697e-05,1.066853720628855e-05,0.9803,0.0197,0.0394,"[{'key': '2015', 'sigma': 0.0012382487934273, 'dens': 737331777.7777777}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,25.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,2.011288849199665e-05,2.011288849199665e-05,6.2983625849930304e-06,6.2983625849930304e-06,7.448032502510041e-06,7.448032502510041e-06,9.800208831309009e-06,9.800208831309009e-06,1.40436065627083e-05,1.40436065627083e-05,1.9348122896276697e-05,1.9348122896276697e-05,1.066853720628855e-05,1.066853720628855e-05,2.011288849199665e-05,2.011288849199665e-05,6.2983625849930304e-06,6.2983625849930304e-06,7.448032502510041e-06,7.448032502510041e-06,9.800208831309009e-06,9.800208831309009e-06,1.40436065627083e-05,1.40436065627083e-05,1.9348122896276697e-05,1.9348122896276697e-05,1.066853720628855e-05,1.066853720628855e-05
2015,0.026,0.0012914678772929,0.0012914678772929,0.1,1.6115423261067007e-05,0.070987773076778,1.4684738802579032,6.127301402920005e-06,7.235146480729015e-06,9.570584559249694e-06,1.369686022730383e-05,1.897316425170425e-05,1.0391324120573282e-05,1.6115423261067007e-05,6.127301402920005e-06,7.235146480729015e-06,9.570584559249694e-06,1.369686022730383e-05,1.897316425170425e-05,1.0391324120573282e-05,0.9259,0.0741,0.1482,"[{'key': '2015', 'sigma': 0.0012914678772929999, 'dens': 774237999.9999999}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,26.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,1.6115423261067007e-05,1.6115423261067007e-05,6.127301402920005e-06,6.127301402920005e-06,7.235146480729015e-06,7.235146480729015e-06,9.570584559249694e-06,9.570584559249694e-06,1.369686022730383e-05,1.369686022730383e-05,1.897316425170425e-05,1.897316425170425e-05,1.0391324120573282e-05,1.0391324120573282e-05,1.6115423261067007e-05,1.6115423261067007e-05,6.127301402920005e-06,6.127301402920005e-06,7.235146480729015e-06,7.235146480729015e-06,9.570584559249694e-06,9.570584559249694e-06,1.369686022730383e-05,1.369686022730383e-05,1.897316425170425e-05,1.897316425170425e-05,1.0391324120573282e-05,1.0391324120573282e-05
2015,0.027,0.0013446869611586,0.0013446869611586,0.1,6.901144795995801e-06,0.5,0.0,5.848610476873351e-06,6.8568311780588006e-06,9.10468474400935e-06,1.3149477589524556e-05,1.792824975975086e-05,9.92207705389398e-06,6.901144795995801e-06,5.848610476873351e-06,6.8568311780588006e-06,9.10468474400935e-06,1.3149477589524556e-05,1.792824975975086e-05,9.92207705389398e-06,0.1658,0.8342,0.3316,"[{'key': '2015', 'sigma': 0.0013446869611586998, 'dens': 800600222.2222228}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,27.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,6.901144795995801e-06,6.901144795995801e-06,5.848610476873351e-06,5.848610476873351e-06,6.8568311780588006e-06,6.8568311780588006e-06,9.10468474400935e-06,9.10468474400935e-06,1.3149477589524556e-05,1.3149477589524556e-05,1.792824975975086e-05,1.792824975975086e-05,9.92207705389398e-06,9.92207705389398e-06,6.901144795995801e-06,6.901144795995801e-06,5.848610476873351e-06,5.848610476873351e-06,6.8568311780588006e-06,6.8568311780588006e-06,9.10468474400935e-06,9.10468474400935e-06,1.3149477589524556e-05,1.3149477589524556e-05,1.792824975975086e-05,1.792824975975086e-05,9.92207705389398e-06,9.92207705389398e-06
2015,0.028,0.0013979060450244,0.0013979060450244,0.1,5.626166783033456e-06,0.5,0.0,5.806071443175416e-06,6.846807596295985e-06,9.00737858145173e-06,1.303905988981478e-05,1.786340981868799e-05,9.850755281649611e-06,5.626166783033456e-06,5.806071443175416e-06,6.846807596295985e-06,9.00737858145173e-06,1.303905988981478e-05,1.786340981868799e-05,9.850755281649611e-06,0.0157,0.9843,0.0314,"[{'key': '2015', 'sigma': 0.0013979060450244, 'dens': 815046400.0000004}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,28.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,5.626166783033456e-06,5.626166783033456e-06,5.806071443175416e-06,5.806071443175416e-06,6.846807596295985e-06,6.846807596295985e-06,9.00737858145173e-06,9.00737858145173e-06,1.303905988981478e-05,1.303905988981478e-05,1.786340981868799e-05,1.786340981868799e-05,9.850755281649611e-06,9.850755281649611e-06,5.626166783033456e-06,5.626166783033456e-06,5.806071443175416e-06,5.806071443175416e-06,6.846807596295985e-06,6.846807596295985e-06,9.00737858145173e-06,9.00737858145173e-06,1.303905988981478e-05,1.303905988981478e-05,1.786340981868799e-05,1.786340981868799e-05,9.850755281649611e-06,9.850755281649611e-06
2015,0.029,0.0014511251288901,0.0014511251288901,0.1,6.1104130694528245e-06,0.5,0.0,5.6229742791589895e-06,6.657869826989828e-06,8.75948884116805e-06,1.2669469888490348e-05,1.7305093336281437e-05,9.547153169615795e-06,6.1104130694528245e-06,5.6229742791589895e-06,6.657869826989828e-06,8.75948884116805e-06,1.2669469888490348e-05,1.7305093336281437e-05,9.547153169615795e-06,0.0775,0.9225,0.155,"[{'key': '2015', 'sigma': 0.0014511251288901, 'dens': 822313999.9999999}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,True,29.0,combined_ul_bands_combined_all.csv,combined_ul_bands_combined_all.csv,0.211316749,211.316749,1.0,1.0,6.1104130694528245e-06,6.1104130694528245e-06,5.6229742791589895e-06,5.6229742791589895e-06,6.657869826989828e-06,6.657869826989828e-06,8.75948884116805e-06,8.75948884116805e-06,1.2669469888490348e-05,1.2669469888490348e-05,1.7305093336281437e-05,1.7305093336281437e-05,9.547153169615795e-06,9.547153169615795e-06,6.1104130694528245e-06,6.1104130694528245e-06,5.6229742791589895e-06,5.6229742791589895e-06,6.657869826989828e-06,6.657869826989828e-06,8.75948884116805e-06,8.75948884116805e-06,1.2669469888490348e-05,1.2669469888490348e-05,1.7305093336281437e-05,1.7305093336281437e-05,9.547153169615795e-06,9.547153169615795e-06
