mass_GeV,mass_MeV,N_eff_dimuon,BR_ee_minimal,epsilon_limit_factor
0.21,210.0,1.0,1.0,1.0
0.211,211.0,1.0,1.0,1.0
0.211316749,211.316749,1.0,1.0,1.0
0.212,212.0,1.1200730784532984,0.8927988889625786,1.0583350501865174
0.215,215.0,1.273331093942493,0.7853416953039258,1.1284197330525965
0.22,220.0,1.4064984490575076,0.7109854978298045,1.1859588732572086
0.23,230.0,1.5614277592656256,0.6404394913987711,1.2495710301001803
0.24,240.0,1.6578347133148656,0.6031964417010456,1.2875693042764205
0.25,250.0,1.7252323083862526,0.5796320849888209,1.313480988970245
