dataset,mass_GeV,strength,n_toys,inj_nsigma,inj_nsigma_xerr,sigmaA_ref,integral_density,A_per_eps2_unit,f_win,f_train_frac,kernel_ls_policy,signal_model,inj_background_mode,extract_background_mode,refit_kernel_lock_mode,refit_lock_const_opt,refit_lock_ls_opt,refit_tail_alpha_scale,refit_tail_alpha_threshold,refit_tail_alpha_n_bins,refit_tail_alpha_max,refit_tail_alpha_mean,kernel_ls_res_lower_factor,kernel_ls_res_upper_factor,ls_lo,ls_hi,ls_init,initial_ls_opt,initial_const_opt,refit_ls_opt,refit_const_opt,ls_opt,const_opt,n_train,n_train_low,n_train_high,n_blind,A_hat_mean,A_hat_std,sigma_A_mean,Ahat_over_Ainj,sigmaA_over_sigmaAref,pull_mean,pull_std,pull_std_err,pull_q16,pull_q84,pull_q02,pull_q97,cov_1sigma,cov_2sigma,Zhat_mean,delta_z_minus_pull,ainj_over_sigmaAref,Zhat_q16,Zhat_q84,qmu_tilde_mean,qmu_tilde_q16,qmu_tilde_q84,n_source_toys,source_model,source_label,source_root,container,function_tag,success_rate,refit_ok_rate,refit_fallback_rate
2016,0.06,0.0,10,0.0,0.0,12554.715535307736,144933658.8235293,280706332.2347287,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.044514362343758704,0.3237408170455182,0.1200463078792043,0.09045629702442803,13.196298766109615,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,11069.713229139821,10884.85492165785,12572.100217269355,,1.0013847133304397,0.888517589055275,0.8784510466888689,0.20705289735137322,0.19028867513160908,1.8557025666596043,-0.3060198193602254,2.0262117187528816,0.6,0.9,0.888517589055275,0.0,0.0,0.19028867513160908,1.8557025666596043,0.0,0.0,0.0,10,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12243.787389998592,1,1.0,0.0,12243.787389998592,144898117.6470587,280637496.3730568,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0858651509499665,13.255947488810714,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,31140.09133005809,,12368.100796449588,2.5433381304460623,1.0101531823847694,1.5278258360801775,,,1.5278258360801775,1.5278258360801775,1.5278258360801775,1.5278258360801775,0.0,1.0,2.517774704665831,-0.010051131414346326,1.0,2.517774704665831,2.517774704665831,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12366.916370963863,1,1.0,0.0,12366.916370963863,144847882.35294104,280540201.0637756,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0826659166329044,13.096009004005488,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,39025.76773385212,,12470.332232058376,3.1556587400785094,1.0083622997028847,2.13778196657459,,,2.13778196657459,2.13778196657459,2.13778196657459,2.13778196657459,0.0,0.0,3.1294890150180428,-0.008292951556547301,1.0,3.1294890150180428,3.1294890150180428,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12395.362741467856,1,1.0,0.0,12395.362741467856,144921764.70588222,280683295.8043578,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0952049356339937,13.051114528942009,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,34314.74732450977,,12503.429530514062,2.7683536206417005,1.0087183240458688,1.753069790136269,,,1.753069790136269,1.753069790136269,1.753069790136269,1.753069790136269,0.0,1.0,2.7444268183194187,-0.008642971816850364,1.0,2.7444268183194187,2.7444268183194187,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12401.450026551396,1,1.0,0.0,12401.450026551396,144871058.82352927,280585089.06360793,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.08947377808995,13.2928563201639,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,34815.981037654805,,12538.945367937422,2.807412114157142,1.0110870374909102,1.787593003508752,,,1.787593003508752,1.787593003508752,1.787593003508752,1.787593003508752,0.0,1.0,2.776627540517135,-0.010965462991616937,1.0,2.776627540517135,2.776627540517135,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12474.862392306246,1,1.0,0.0,12474.862392306246,144971411.76470575,280779451.82430327,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0920292186768992,13.147709967350432,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,14095.183261452532,,12570.32409743567,1.1298868731526532,1.0076523253024658,0.1289004847119916,,,0.1289004847119916,0.1289004847119916,0.1289004847119916,0.1289004847119916,1.0,1.0,1.121306272789572,-0.00759421192241963,1.0,1.121306272789572,1.121306272789572,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12638.442093981888,1,1.0,0.0,12638.442093981888,145185529.41176456,281194153.1425512,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0930191299083688,13.205194106686598,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,6414.0401365669195,,12745.3584913404,0.5075024349418135,1.0084596184057704,-0.4883661735873513,,,-0.4883661735873513,-0.4883661735873513,-0.4883661735873513,-0.4883661735873513,1.0,1.0,0.5032451728152504,-0.008388653597398321,1.0,0.5032451728152504,0.5032451728152504,0.2322273477911949,0.2322273477911949,0.2322273477911949,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12668.723331388126,1,1.0,0.0,12668.723331388126,144873647.0588234,280590101.9366857,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0945886732397518,13.159905153907406,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,16991.942883697837,,12755.25402347266,1.3412513983629644,1.0068302614100149,0.3389363743249622,,,0.3389363743249622,0.3389363743249622,0.3389363743249622,0.3389363743249622,1.0,1.0,1.3321524488989929,-0.006783925425969339,1.0,1.3321524488989929,1.3321524488989929,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12750.65214406444,1,1.0,0.0,12750.65214406444,144964352.94117635,280765780.35227317,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0919610608908983,13.298488774375254,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,23122.968083770913,,12847.311887606096,1.8134733676767187,1.007580768610855,0.807353011310695,,,0.807353011310695,0.807353011310695,0.807353011310695,0.807353011310695,1.0,1.0,1.7998292783782903,-0.007523732932404714,1.0,1.7998292783782903,1.7998292783782903,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
2016,0.06,12799.14935470154,1,1.0,0.0,12799.14935470154,144793058.82352927,280434019.2976748,0.973558300293543,0.026441699706457,resolution_scaled_local,default,fixed_hist,profiled,none,,,0.0,0.0,0,1.0,1.0,1.1,8.0,0.0445143623437587,0.3237408170455182,0.1200463078792043,0.0861122459132548,13.294559218414266,0.1200463078792043,1.0,0.1200463078792043,1.0,1156,218,938,44,17462.24639755772,,12876.180758334687,1.3643286685410287,1.0060184783768347,0.3621490821210925,,,0.3621490821210925,0.3621490821210925,0.3621490821210925,0.3621490821210925,1.0,1.0,1.356166609128603,-0.005982472992489385,1.0,1.356166609128603,1.356166609128603,0.0,0.0,0.0,1,functional_form,fShiftSigPowTail,/Users/emryspeets/Desktop/gp_mods/funcform_studies/func_form_inputs/funcform_2016_dataset_mod_toys_2.root,fShiftSigPowTail,fShiftSigPowTail,1.0,1.0,0.0
