method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high
profiled,0.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.1,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.2,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.30000000000000004,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.4,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
profiled,0.5,0.999985,0.9999561642666881,0.9999969066287031,1.0,0.9963179161031344,1.0
profiled,0.6000000000000001,0.99992,0.9998700882543713,0.9999542724184273,1.0,0.9963179161031344,1.0
profiled,0.7000000000000001,0.99971,0.9996251236646577,0.9997797837071418,0.999,0.9944410757201734,0.9999746825125088
profiled,0.8,0.99888,0.9987234257548963,0.9990218116711229,0.997,0.9912579767615217,0.9993809000683505
profiled,0.9,0.996405,0.9961328676796214,0.9966625841813086,0.994,0.9869865767290255,0.9977950175148487
profiled,1.0,0.991085,0.9906633478259637,0.9914923246798268,0.989,0.9804033717779835,0.9944964058076864
profiled,1.1,0.98151,0.9809100684405476,0.9820959171480156,0.977,0.9656876623871457,0.9853654176748232
profiled,1.2000000000000002,0.96491,0.9640942998696928,0.9657121890390447,0.963,0.9493588769400751,0.9738172911562627
profiled,1.3,0.939795,0.9387436343928816,0.940833596223897,0.928,0.9101842508246492,0.9432413124454383
profiled,1.4000000000000001,0.904575,0.903279013750232,0.9058592465527268,0.891,0.8700216346570648,0.9096418523230806
profiled,1.5,0.859665,0.8581350562133307,0.8611845113854062,0.848,0.8242275312668874,0.8697017496750181
profiled,1.6,0.805515,0.8037734230806435,0.8072477175430325,0.795,0.76862689506608,0.8196232310113183
profiled,1.7000000000000002,0.742145,0.740221809048687,0.7440611704635545,0.72,0.691051213980937,0.7476471169965966
profiled,1.8,0.673525,0.6714648870816473,0.6755800825064844,0.653,0.6225798930217137,0.6825160263170543
profiled,1.9000000000000001,0.60077,0.5986197108226268,0.6029173681001947,0.591,0.5597967691447998,0.6216658781236123
profiled,2.0,0.523305,0.5211132507407763,0.5254960737242221,0.505,0.4735359613150015,0.5364345240798916
profiled,2.1,0.449185,0.44700328928670874,0.45136818368151466,0.424,0.39313271904004554,0.4553160108703857
profiled,2.2,0.378445,0.37631870991624566,0.3805748137206162,0.344,0.31455311392152163,0.37436873455214764
profiled,2.3000000000000003,0.31324,0.31120751410289593,0.31527790008174994,0.279,0.2513862309732197,0.30792138735197866
profiled,2.4000000000000004,0.25601,0.2540983543862037,0.2579287196221721,0.228,0.20232872987103118,0.2552831775215669
profiled,2.5,0.20608,0.20430905221415607,0.20785947057953413,0.176,0.1528782896164314,0.20104651271780774
profiled,2.6,0.162985,0.16136866582828321,0.16461110832447637,0.149,0.12748860044831295,0.17260045358082526
profiled,2.7,0.127325,0.1258670227457568,0.1287937880075368,0.119,0.09957649182504018,0.14069751802265837
profiled,2.8000000000000003,0.09873,0.09742599226800705,0.10004565107633787,0.09,0.0729904664566229,0.10946657313833913
profiled,2.9000000000000004,0.075005,0.07385428760363806,0.07616804827809731,0.07,0.054971524919169915,0.08761623348928461
profiled,3.0,0.056235,0.05522929272690087,0.057253593250452726,0.05,0.03733539760466178,0.06539048791549364
profiled,3.1,0.041835,0.04096169424767112,0.04272161642072664,0.039,0.02787714879533641,0.05293093578544508
profiled,3.2,0.03045,0.02970128203637053,0.031212367852723508,0.025,0.01624253569688223,0.03668482305192304
profiled,3.3000000000000003,0.022055,0.021415792729965365,0.022708111520531534,0.014,0.00767450156502078,0.023378156010314503
profiled,3.4000000000000004,0.01584,0.015297328726203948,0.016396769001521996,0.009,0.004123395660342473,0.017015783069894586
profiled,3.5,0.011025,0.010571966964961297,0.011492287666493387,0.003,0.0006190999316495711,0.008742023238478303
profiled,3.6,0.00766,0.007282548709614368,0.008051824302667019,0.002,0.00024230111687723182,0.007205838911457497
profiled,3.7,0.00522,0.004908874345484213,0.005545595783635775,0.002,0.00024230111687723182,0.007205838911457497
profiled,3.8000000000000003,0.00353,0.003274790658120624,0.0037997610273686096,0.001,2.531748749129404e-05,0.005558924279826672
profiled,3.9000000000000004,0.00223,0.0020280161727833515,0.0024466203419301743,0.001,2.531748749129404e-05,0.005558924279826672
profiled,4.0,0.00153,0.0013634671722741328,0.0017112370651669703,0.0,0.0,0.003682083896865671
profiled,4.1000000000000005,0.001015,0.0008802255842171636,0.0011645562205137895,0.0,0.0,0.003682083896865671
profiled,4.2,0.00063,0.0005248331207153062,0.0007500502162986003,0.0,0.0,0.003682083896865671
profiled,4.3,0.00037,0.000290540400446601,0.0004644791683046756,0.0,0.0,0.003682083896865671
profiled,4.4,0.00025,0.00018556033432331887,0.00032958071606584046,0.0,0.0,0.003682083896865671
profiled,4.5,0.000175,0.00012189684411249849,0.00024337431511552374,0.0,0.0,0.003682083896865671
profiled,4.6000000000000005,0.0001,6.108363384727002e-05,0.00015443768543685384,0.0,0.0,0.003682083896865671
profiled,4.7,5e-05,2.3977195520032403e-05,9.194985144442981e-05,0.0,0.0,0.003682083896865671
profiled,4.800000000000001,2e-05,5.4493528907159655e-06,5.1207144334463475e-05,0.0,0.0,0.003682083896865671
profiled,4.9,5e-06,1.265890319090572e-07,2.785789856219694e-05,0.0,0.0,0.003682083896865671
profiled,5.0,5e-06,1.265890319090572e-07,2.785789856219694e-05,0.0,0.0,0.003682083896865671
profiled,5.1000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.2,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.300000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.4,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.5,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.6000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.7,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.800000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,5.9,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
profiled,6.0,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,0.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.1,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.2,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.30000000000000004,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.4,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.5,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.6000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.7000000000000001,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0
fixed,0.8,0.999975,0.9999416593122019,0.999991882519821,1.0,0.9963179161031344,1.0
fixed,0.9,0.99977,0.9996932240105676,0.9998316063262412,1.0,0.9963179161031344,1.0
fixed,1.0,0.998975,0.9988247602222952,0.999110459909972,1.0,0.9963179161031344,1.0
fixed,1.1,0.9965,0.9962313408502104,0.9967541058120116,0.995,0.9883705294401879,0.9983745804824372
