method,mass_MeV,asimov_r,response_sd,toy_r_mean,toy_r_sd,z_mean,z_sd,z_skew,z_excess_kurtosis,normality_KS,normality_p,normality_holm_p
fixed,28,1.743572242056749,3.4495440984463226,1.7105203743619692,3.3314233176645294,-0.009581517659004956,0.9657575675478406,-0.0758108710797124,-0.23905832223178702,0.015735042395777388,0.9621750464783033,1.0
fixed,29,-1.8690067296834971,3.239431576588242,-1.825761466655797,3.281677399796243,0.013349645456393909,1.0130411222491367,-0.044616041999107084,0.1294426350402662,0.01972418362731973,0.8238565765437001,1.0
fixed,30,-4.252940230898412,3.376420268179789,-4.33945298826135,3.320377186303854,-0.025622627069934005,0.9834016273376573,0.03420132370741228,-0.15875156412372826,0.023360127320011026,0.6374291867408908,1.0
fixed,31,-4.659663471943016,3.1974186498223265,-4.731534494144063,3.198526273766828,-0.022477826669660823,1.0003464119234318,-0.09381302789988188,0.22025209780340926,0.02615158897776415,0.49274806700392904,1.0
fixed,32,-2.9798788277646007,3.0285222549343476,-2.999986262714587,3.0156271321391794,-0.00663935518955647,0.9957421073019496,0.0907777223193899,0.23032608696461,0.035128457450436246,0.16546644466162885,1.0
fixed,33,-0.6177329322731127,3.246713368849605,-0.55560778574648,3.173285706066836,0.019134780151117945,0.9773840020843028,0.06782006594199297,-0.031112142830993506,0.018555716785237597,0.8747630363650312,1.0
fixed,34,1.299009916948311,3.0739089047168906,1.3384202523295483,3.1531434123758753,0.012820918447115488,1.0257764657688457,-0.05606487997723604,-0.038371168065589156,0.02663255190737923,0.46925756595351664,1.0
fixed,35,2.550586081657734,3.1679926076760037,2.6892017834817614,3.0486003088295357,0.04375505848345844,0.9623129490399752,-0.01743185358661324,0.02671796406608129,0.039604754413853915,0.08451635148182512,1.0
fixed,36,3.4778550426055226,3.093387575752695,3.4965602870085633,2.9306831126423343,0.006046847976522635,0.9474024967366816,-0.045660421267544854,-0.0836135696351552,0.01700135139249692,0.9298812457971647,1.0
fixed,37,3.097702470669332,3.238318635205699,2.9466136093320894,3.2433736390302785,-0.04665657656249915,1.0015609964287093,0.19153111408390047,0.07792147120587467,0.05349698409691028,0.006290138486093618,0.4465998325126469
fixed,38,0.8215299304134259,3.178311520799816,0.7349803993102398,3.201121486001869,-0.027231292633456528,1.0071767556618592,0.07352842127382453,0.05344013388083768,0.03469152332185366,0.17591112991411229,1.0
fixed,39,-0.6054424135758327,3.3257800517409577,-0.7880558676513575,3.3085605179735333,-0.054908457936035646,0.9948224075255937,0.005017871814968807,-0.09717936050896103,0.03747971504882025,0.11744806421967247,1.0
fixed,40,-1.753476480248288,3.1772327152659083,-1.877042280493622,3.1407856414859188,-0.038891013444381124,0.9885286735199253,-0.18233131590610563,0.11196134167748051,0.02387662505747723,0.6099494061478671,1.0
fixed,41,-2.770987144395188,3.3282228445555764,-2.7451582590557484,3.2629834424440864,0.007760563683916747,0.9803981268206812,-0.020308740638992594,-0.17765062786977204,0.01686436252333945,0.933941795025825,1.0
fixed,42,-2.7287114065070353,3.1926333666009348,-2.6638662294358375,3.063228393714711,0.020310874950303436,0.9594676375183049,-0.09785599113091537,-0.12815377433117847,0.028365068266004934,0.38968361761073655,1.0
fixed,43,-2.2301221057642238,3.341474963569455,-2.101792525268703,3.3426074800635432,0.03840507018446604,1.0003389271224339,0.021185112500973616,0.17012440220362413,0.04197589589002482,0.057301931452807486,1.0
fixed,44,-0.9383466391852499,3.2291963777737838,-0.8409100224811594,3.309016686050261,0.030173642388160796,1.0247183196493939,0.02267294014811887,0.003709686460517503,0.025383046456923797,0.5313570908257286,1.0
fixed,45,0.8096473138102857,3.435984810282893,0.8555720045061087,3.4852148611509284,0.013365801431480126,1.0143277847796952,0.017164629398869514,-0.09994942055316702,0.02313988039118342,0.6491768912917397,1.0
