method,mass_MeV,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,p_global_gp_low,p_global_gp_high,p_global_direct,p_global_direct_low,p_global_direct_high,p_global_raw_ordering,parent_envelope_p
profiled,19,-3.2106186896115254,2.434945801467021,0.9766574822652863,-5.780495817207143,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,20,0.0379656684705785,2.8420797246653087,0.9507856960373088,-2.9492598257228058,0.4848575274371633,0.9984073197437096,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.9916734528537294
profiled,21,2.5157388880992775,0.20417730885967306,0.9558118731006457,2.41842735405757,0.005939157409582324,0.007793878870490966,0.24652,0.24463234458569677,0.24841500472698294,0.217,0.19181534485461005,0.24386247525331842,0.845685,0.0084517110738164
profiled,22,1.425381870113801,-1.80278238565564,0.9690223146850048,3.3313621439345327,0.07702342293369148,0.0004321104649041315,0.01998,0.019371199225997275,0.020602768921614577,0.014,0.00767450156502078,0.023378156010314503,0.99916,0.1499421808041482
profiled,23,-1.2388229223996416,-1.7577564146466857,0.9485359142613653,0.5470889235133948,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,24,-1.6021946542633738,-0.1865734731215008,0.9562347257160657,-1.480411810062431,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,25,-0.3835725896719329,0.9777830084629738,0.970907960189615,-1.4021469119163867,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,26,0.2952389032830797,1.601691425236315,0.9696130020479402,-1.3473958364768719,0.3839056926344714,0.9110736095891865,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.909910907785889
profiled,27,0.1418305444011273,1.1424075152769877,0.9588260932637386,-1.0435437436522053,0.44360692850195427,0.8516517338976501,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.8458681528160962
profiled,28,0.0980875859786121,0.15550100106152265,0.9615085940854797,-0.05971180646338185,0.4609313724716886,0.5238074158412636,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.5290583060001516
profiled,29,0.5157312280073695,-0.6566619317039409,0.9687514047008587,1.2102105390735762,0.30302107041935444,0.1130990575298485,0.962785,0.9619461879491867,0.963610364248065,0.958,0.9436497084242552,0.96956529373686,1.0,0.4138490210916076
profiled,30,1.130478017962521,-1.1228528248997707,0.9690933589050094,2.3251948041500956,0.12913742796095246,0.010030773030862273,0.29816,0.2961556099290302,0.3001702415582247,0.262,0.234979869755299,0.2904289758446695,0.99995,0.2291747072817669
profiled,31,0.6815264271780445,-1.1301280954129336,0.9621349598649039,1.8829525982980158,0.24776922533836954,0.029853396063835903,0.613475,0.61133674057452,0.6156099700322393,0.604,0.5729181554511267,0.634467659356253,1.0,0.3386682785234722
profiled,32,-0.0202055444115131,-0.6775103491568718,0.960477124345755,0.684352378712916,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,33,-0.9640901255957576,0.03405670844619521,0.9647945601327514,-1.0345693013698296,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,34,-1.470860325624459,0.4973832173817114,0.9705889866245629,-2.0278857169512823,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,35,-1.7135461529836604,0.7774650009803517,0.9715491425587424,-2.56395795626303,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,36,-0.6415887743974512,0.9043164775934841,0.9670995346735752,-1.5984965317067639,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
profiled,37,0.3166513617554132,0.6582346787387107,0.9634239202294831,-0.3545514179281888,0.37575407929542776,0.6385371613307318,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.6306297834940506
profiled,38,1.604740157854616,0.05868364975532434,0.9642783094749676,1.603330172324515,0.05427550019332956,0.05443088923408668,0.803505,0.8017566883334328,0.8052445106417288,0.794,0.7675848559485069,0.8186712810896976,0.996575,0.0551629585035066
profiled,39,2.2239547905804233,-0.30209098876534207,0.9667169241070984,2.6130149543817396,0.013075743062783708,0.004487368757999312,0.15799,0.1563939873235082,0.159595931951489,0.143,0.12187864287589158,0.16624715659672182,0.93321,0.0089624653580492
profiled,40,1.7812702782769714,-0.5587326652594088,0.9693021517932342,2.414110955193191,0.03743415375530699,0.007886829050094272,0.24868,0.24678677755605913,0.25058050909303237,0.219,0.19372492198322405,0.24594090480562125,0.990245,0.0397886977732454
