dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,tail_count_strong_le_observed,tail_count_weak_ge_observed,tail_count_equal_observed,tail_count_two_sided_min,empirical_tail_resolution,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bands_seed_sequence_index,n_toys_requested,n_toys_finite,gp_lml_by_dataset,gp_ls_opt_by_dataset,gp_const_opt_by_dataset,gp_state_sha256_by_dataset,observed_gp_fit_mode,observed_gp_optimizer_restarts,limit_solver,profile_cache_limit_calls,profile_cache_asimov_fixed_nodes,profile_cache_asimov_fixed_hits,profile_cache_asimov_fixed_misses,observed_state_sources_by_dataset,observed_state_status_by_dataset,fixed_reviewed_state_metadata_validated,mass_MeV,dimuon_threshold_GeV,dimuon_threshold_MeV,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,eps2_obs_ee_channel,eps2_obs_minimal_visible,ul_eps2_obs_ee_channel,ul_eps2_obs_minimal_visible,eps2_lo2_ee_channel,eps2_lo2_minimal_visible,eps2_lo1_ee_channel,eps2_lo1_minimal_visible,eps2_med_ee_channel,eps2_med_minimal_visible,eps2_hi1_ee_channel,eps2_hi1_minimal_visible,eps2_hi2_ee_channel,eps2_hi2_minimal_visible,eps2_mean_ee_channel,eps2_mean_minimal_visible,toy_eps2_uls_q02_ee_channel,toy_eps2_uls_q02_minimal_visible,toy_eps2_uls_q16_ee_channel,toy_eps2_uls_q16_minimal_visible,toy_eps2_uls_q50_ee_channel,toy_eps2_uls_q50_minimal_visible,toy_eps2_uls_q84_ee_channel,toy_eps2_uls_q84_minimal_visible,toy_eps2_uls_q97_ee_channel,toy_eps2_uls_q97_minimal_visible,toy_eps2_uls_mean_ee_channel,toy_eps2_uls_mean_minimal_visible,observed_over_median_ee_channel,observed_over_median_minimal_visible,p_strong_empirical_label,p_weak_empirical_label,p_two_empirical_label,coverage_calibrated,scan_toy_calibrated,tail_pvalue_family,local_p0_family,source_bands_table,source_bands_sha256,source_observed_states,source_observed_states_sha256
2015,0.019,0.00091893429023309997,0.00091893429023309997,0.10000000000000001,9.0910923610199042e-06,0.5,0,1.0202603001234782e-05,1.2227089643951809e-05,1.6270867761563125e-05,2.3355051959179803e-05,3.3551701790239295e-05,1.7733620329118284e-05,9.0910923610199042e-06,1.0202603001234782e-05,1.2227089643951809e-05,1.6270867761563125e-05,2.3355051959179803e-05,3.3551701790239295e-05,1.7733620329118284e-05,0.0033333333333333002,0.99666666666666681,0.0066666666666666003,1,299,0,1,0.0033333333333333002,"[{""const_opt"": 49.77651343832814, ""dens"": 282453695.05657667, ""key"": ""2015"", ""lml"": 1136.0402568150648, ""lml_delta"": -2.847757514246041e-07, ""ls_opt"": 0.3626237023895018, ""reviewed_lml"": 1136.0402570998406, ""sigma"": 0.0009189342902331, ""state_sha256"": ""e909a220efc26c8fe70dd4d638bab27f5914adeec07510ade7665d69253917c9""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,0,300,300,"{""2015"": 1136.0402568150648}","{""2015"": 0.3626237023895018}","{""2015"": 49.77651343832814}","{""2015"": ""e909a220efc26c8fe70dd4d638bab27f5914adeec07510ade7665d69253917c9""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3805,3063,3805,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,19,0.211316749,211.31674899999999,1,1,False,9.0910923610199042e-06,9.0910923610199042e-06,9.0910923610199042e-06,9.0910923610199042e-06,1.0202603001234782e-05,1.0202603001234782e-05,1.2227089643951809e-05,1.2227089643951809e-05,1.6270867761563125e-05,1.6270867761563125e-05,2.3355051959179803e-05,2.3355051959179803e-05,3.3551701790239295e-05,3.3551701790239295e-05,1.7733620329118284e-05,1.7733620329118284e-05,1.0202603001234782e-05,1.0202603001234782e-05,1.2227089643951809e-05,1.2227089643951809e-05,1.6270867761563125e-05,1.6270867761563125e-05,2.3355051959179803e-05,2.3355051959179803e-05,3.3551701790239295e-05,3.3551701790239295e-05,1.7733620329118284e-05,1.7733620329118284e-05,0.55873432777174337,0.55873432777174337,1/300 = 0.00333333333333,299/300 = 0.996666666667,"2*1/300, bounded at 1 = 0.00666666666667",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.02,0.00097215337409869995,0.00097215337409869995,0.10000000000000001,1.3250739100729953e-05,0.48337921629011099,0.041674186107511897,8.5968775633344245e-06,1.0223956705801334e-05,1.3470312694204449e-05,1.9472824978569791e-05,2.7228486450780255e-05,1.4635458616539462e-05,1.3250739100729953e-05,8.5968775633344245e-06,1.0223956705801334e-05,1.3470312694204449e-05,1.9472824978569791e-05,2.7228486450780255e-05,1.4635458616539462e-05,0.48666666666666669,0.51333333333333331,0.97333333333333338,146,154,0,146,0.0033333333333333002,"[{""const_opt"": 50.58743405495433, ""dens"": 379153831.1551498, ""key"": ""2015"", ""lml"": 1125.642635398955, ""lml_delta"": -1.4189708963385783e-08, ""ls_opt"": 0.3630675337696885, ""reviewed_lml"": 1125.6426354131447, ""sigma"": 0.0009721533740987999, ""state_sha256"": ""e1092c305c354145dc00de9883b29055e0eccc96cfab187dd8faad042f80ae5e""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,1,300,300,"{""2015"": 1125.642635398955}","{""2015"": 0.3630675337696885}","{""2015"": 50.58743405495433}","{""2015"": ""e1092c305c354145dc00de9883b29055e0eccc96cfab187dd8faad042f80ae5e""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3769,3091,3769,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,20,0.211316749,211.31674899999999,1,1,False,1.3250739100729953e-05,1.3250739100729953e-05,1.3250739100729953e-05,1.3250739100729953e-05,8.5968775633344245e-06,8.5968775633344245e-06,1.0223956705801334e-05,1.0223956705801334e-05,1.3470312694204449e-05,1.3470312694204449e-05,1.9472824978569791e-05,1.9472824978569791e-05,2.7228486450780255e-05,2.7228486450780255e-05,1.4635458616539462e-05,1.4635458616539462e-05,8.5968775633344245e-06,8.5968775633344245e-06,1.0223956705801334e-05,1.0223956705801334e-05,1.3470312694204449e-05,1.3470312694204449e-05,1.9472824978569791e-05,1.9472824978569791e-05,2.7228486450780255e-05,2.7228486450780255e-05,1.4635458616539462e-05,1.4635458616539462e-05,0.98369944347550542,0.98369944347550542,146/300 = 0.486666666667,154/300 = 0.513333333333,"2*146/300, bounded at 1 = 0.973333333333",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.021000000000000001,0.0010253724579645,0.0010253724579645,0.10000000000000001,2.62940119494728e-05,0.0059409127076337004,2.5156347292362464,7.3935243650549307e-06,8.8919617361453202e-06,1.1327825491373461e-05,1.6425339207182738e-05,2.0582743349535094e-05,1.2275971068022221e-05,2.62940119494728e-05,7.3935243650549307e-06,8.8919617361453202e-06,1.1327825491373461e-05,1.6425339207182738e-05,2.0582743349535094e-05,1.2275971068022221e-05,1,0,0,300,0,0,0,0.0033333333333333002,"[{""const_opt"": 47.96389341334741, ""dens"": 472707141.1161992, ""key"": ""2015"", ""lml"": 1120.2755873813135, ""lml_delta"": -2.2737367544323206e-13, ""ls_opt"": 0.3589892049000028, ""reviewed_lml"": 1120.2755873813137, ""sigma"": 0.0010253724579645, ""state_sha256"": ""10b61e71bf72b2ea9aa39a77a33752d65d305e476bafa628d60acf1cebcc5ba9""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,2,300,300,"{""2015"": 1120.2755873813135}","{""2015"": 0.3589892049000028}","{""2015"": 47.96389341334741}","{""2015"": ""10b61e71bf72b2ea9aa39a77a33752d65d305e476bafa628d60acf1cebcc5ba9""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3707,3163,3707,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,21,0.211316749,211.31674899999999,1,1,False,2.62940119494728e-05,2.62940119494728e-05,2.62940119494728e-05,2.62940119494728e-05,7.3935243650549307e-06,7.3935243650549307e-06,8.8919617361453202e-06,8.8919617361453202e-06,1.1327825491373461e-05,1.1327825491373461e-05,1.6425339207182738e-05,1.6425339207182738e-05,2.0582743349535094e-05,2.0582743349535094e-05,1.2275971068022221e-05,1.2275971068022221e-05,7.3935243650549307e-06,7.3935243650549307e-06,8.8919617361453202e-06,8.8919617361453202e-06,1.1327825491373461e-05,1.1327825491373461e-05,1.6425339207182738e-05,1.6425339207182738e-05,2.0582743349535094e-05,2.0582743349535094e-05,1.2275971068022221e-05,1.2275971068022221e-05,2.3211879428665827,2.3211879428665827,300/300 = 1,"0/300; below one-count resolution 1/300, not exact zero",2*0/300; no pseudoexperiment in the smaller empirical tail; not an exact zero probability,False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.021999999999999999,0.0010785915418300999,0.0010785915418300999,0.10000000000000001,1.6849498786461963e-05,0.077045792074247194,1.4252270339921462,6.6955600639288906e-06,7.8472674030318305e-06,1.0117099948237964e-05,1.4297278613276253e-05,1.9058437713895016e-05,1.1004405451343696e-05,1.6849498786461963e-05,6.6955600639288906e-06,7.8472674030318305e-06,1.0117099948237964e-05,1.4297278613276253e-05,1.9058437713895016e-05,1.1004405451343696e-05,0.92666666666666664,0.073333333333333306,0.14666666666666661,278,22,0,22,0.0033333333333333002,"[{""const_opt"": 47.16045874135998, ""dens"": 557319166.6376408, ""key"": ""2015"", ""lml"": 1110.6608250129177, ""lml_delta"": -9.052928362507373e-08, ""ls_opt"": 0.3638062275358118, ""reviewed_lml"": 1110.660825103447, ""sigma"": 0.0010785915418301997, ""state_sha256"": ""3cf40bdb1595310c0228000bd55b8c6425bb46ef11536672b0e3f8620e3c09ff""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,3,300,300,"{""2015"": 1110.6608250129177}","{""2015"": 0.3638062275358118}","{""2015"": 47.16045874135998}","{""2015"": ""3cf40bdb1595310c0228000bd55b8c6425bb46ef11536672b0e3f8620e3c09ff""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3776,3067,3776,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,22,0.211316749,211.31674899999999,1,1,False,1.6849498786461963e-05,1.6849498786461963e-05,1.6849498786461963e-05,1.6849498786461963e-05,6.6955600639288906e-06,6.6955600639288906e-06,7.8472674030318305e-06,7.8472674030318305e-06,1.0117099948237964e-05,1.0117099948237964e-05,1.4297278613276253e-05,1.4297278613276253e-05,1.9058437713895016e-05,1.9058437713895016e-05,1.1004405451343696e-05,1.1004405451343696e-05,6.6955600639288906e-06,6.6955600639288906e-06,7.8472674030318305e-06,7.8472674030318305e-06,1.0117099948237964e-05,1.0117099948237964e-05,1.4297278613276253e-05,1.4297278613276253e-05,1.9058437713895016e-05,1.9058437713895016e-05,1.1004405451343696e-05,1.1004405451343696e-05,1.6654474970761302,1.6654474970761302,278/300 = 0.926666666667,22/300 = 0.0733333333333,"2*22/300, bounded at 1 = 0.146666666667",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.023,0.0011318106256958001,0.0011318106256958001,0.10000000000000001,6.6946280075886937e-06,0.5,0,5.7416185517997019e-06,7.073076068538719e-06,9.4620126199603985e-06,1.3116925307620614e-05,1.9598735534054217e-05,1.0191249405151216e-05,6.6946280075886937e-06,5.7416185517997019e-06,7.073076068538719e-06,9.4620126199603985e-06,1.3116925307620614e-05,1.9598735534054217e-05,1.0191249405151216e-05,0.10000000000000001,0.90000000000000002,0.20000000000000001,30,270,0,30,0.0033333333333333002,"[{""const_opt"": 46.55558049397837, ""dens"": 630016895.0561807, ""key"": ""2015"", ""lml"": 1107.0416201565347, ""lml_delta"": -1.960606823558919e-07, ""ls_opt"": 0.3502063344760394, ""reviewed_lml"": 1107.0416203525954, ""sigma"": 0.0011318106256958998, ""state_sha256"": ""1f9790410d346ff75881ec048c7061459dd27584dec811a380f4aef92bcb905f""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,4,300,300,"{""2015"": 1107.0416201565347}","{""2015"": 0.3502063344760394}","{""2015"": 46.55558049397837}","{""2015"": ""1f9790410d346ff75881ec048c7061459dd27584dec811a380f4aef92bcb905f""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3789,3055,3789,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,23,0.211316749,211.31674899999999,1,1,False,6.6946280075886937e-06,6.6946280075886937e-06,6.6946280075886937e-06,6.6946280075886937e-06,5.7416185517997019e-06,5.7416185517997019e-06,7.073076068538719e-06,7.073076068538719e-06,9.4620126199603985e-06,9.4620126199603985e-06,1.3116925307620614e-05,1.3116925307620614e-05,1.9598735534054217e-05,1.9598735534054217e-05,1.0191249405151216e-05,1.0191249405151216e-05,5.7416185517997019e-06,5.7416185517997019e-06,7.073076068538719e-06,7.073076068538719e-06,9.4620126199603985e-06,9.4620126199603985e-06,1.3116925307620614e-05,1.3116925307620614e-05,1.9598735534054217e-05,1.9598735534054217e-05,1.0191249405151216e-05,1.0191249405151216e-05,0.70752685252883474,0.70752685252883474,30/300 = 0.1,270/300 = 0.9,"2*30/300, bounded at 1 = 0.2",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.024,0.0011850297095615,0.0011850297095615,0.10000000000000001,6.0227291849163151e-06,0.49993112920156918,0.00017263349150060001,5.9148197997974358e-06,6.9335160171174883e-06,8.9914614154567453e-06,1.2474330007076503e-05,1.6644507143641692e-05,9.6676225849656753e-06,6.0227291849163151e-06,5.9148197997974358e-06,6.9335160171174883e-06,8.9914614154567453e-06,1.2474330007076503e-05,1.6644507143641692e-05,9.6676225849656753e-06,0.029999999999999999,0.96999999999999997,0.059999999999999998,9,291,0,9,0.0033333333333333002,"[{""const_opt"": 46.60283339865349, ""dens"": 691123382.2635775, ""key"": ""2015"", ""lml"": 1097.6890328535821, ""lml_delta"": 2.2737367544323206e-13, ""ls_opt"": 0.3484289370030476, ""reviewed_lml"": 1097.689032853582, ""sigma"": 0.0011850297095615998, ""state_sha256"": ""d1042ab0a6b2181ce628bb596c4a9a11734396eb10cd73d26e2067ca3719d160""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,5,300,300,"{""2015"": 1097.6890328535821}","{""2015"": 0.3484289370030476}","{""2015"": 46.60283339865349}","{""2015"": ""d1042ab0a6b2181ce628bb596c4a9a11734396eb10cd73d26e2067ca3719d160""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3757,3088,3757,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,24,0.211316749,211.31674899999999,1,1,False,6.0227291849163151e-06,6.0227291849163151e-06,6.0227291849163151e-06,6.0227291849163151e-06,5.9148197997974358e-06,5.9148197997974358e-06,6.9335160171174883e-06,6.9335160171174883e-06,8.9914614154567453e-06,8.9914614154567453e-06,1.2474330007076503e-05,1.2474330007076503e-05,1.6644507143641692e-05,1.6644507143641692e-05,9.6676225849656753e-06,9.6676225849656753e-06,5.9148197997974358e-06,5.9148197997974358e-06,6.9335160171174883e-06,6.9335160171174883e-06,8.9914614154567453e-06,8.9914614154567453e-06,1.2474330007076503e-05,1.2474330007076503e-05,1.6644507143641692e-05,1.6644507143641692e-05,9.6676225849656753e-06,9.6676225849656753e-06,0.6698276182960603,0.6698276182960603,9/300 = 0.03,291/300 = 0.97,"2*9/300, bounded at 1 = 0.06",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.025000000000000001,0.0012382487934272999,0.0012382487934272999,0.10000000000000001,7.0867398434493366e-06,0.5,0,5.1897877367553842e-06,6.0890310068911596e-06,8.2021939186918482e-06,1.144494960959929e-05,1.6547478922637878e-05,8.917140290773762e-06,7.0867398434493366e-06,5.1897877367553842e-06,6.0890310068911596e-06,8.2021939186918482e-06,1.144494960959929e-05,1.6547478922637878e-05,8.917140290773762e-06,0.32666666666666661,0.67333333333333334,0.65333333333333332,98,202,0,98,0.0033333333333333002,"[{""const_opt"": 50.580618615587305, ""dens"": 738967301.358607, ""key"": ""2015"", ""lml"": 1098.3909831440674, ""lml_delta"": -1.0215831025561783e-07, ""ls_opt"": 0.356715634971048, ""reviewed_lml"": 1098.3909832462257, ""sigma"": 0.0012382487934273, ""state_sha256"": ""508b43006dc6809282276b8fb42c5b7ed9bd5074000698589894cdac20aba907""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,6,300,300,"{""2015"": 1098.3909831440674}","{""2015"": 0.356715634971048}","{""2015"": 50.580618615587305}","{""2015"": ""508b43006dc6809282276b8fb42c5b7ed9bd5074000698589894cdac20aba907""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3699,3134,3699,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,25,0.211316749,211.31674899999999,1,1,False,7.0867398434493366e-06,7.0867398434493366e-06,7.0867398434493366e-06,7.0867398434493366e-06,5.1897877367553842e-06,5.1897877367553842e-06,6.0890310068911596e-06,6.0890310068911596e-06,8.2021939186918482e-06,8.2021939186918482e-06,1.144494960959929e-05,1.144494960959929e-05,1.6547478922637878e-05,1.6547478922637878e-05,8.917140290773762e-06,8.917140290773762e-06,5.1897877367553842e-06,5.1897877367553842e-06,6.0890310068911596e-06,6.0890310068911596e-06,8.2021939186918482e-06,8.2021939186918482e-06,1.144494960959929e-05,1.144494960959929e-05,1.6547478922637878e-05,1.6547478922637878e-05,8.917140290773762e-06,8.917140290773762e-06,0.86400540071351872,0.86400540071351872,98/300 = 0.326666666667,202/300 = 0.673333333333,"2*98/300, bounded at 1 = 0.653333333333",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.025999999999999999,0.0012914678772928999,0.0012914678772928999,0.10000000000000001,8.504925358416046e-06,0.38342491277349061,0.29649795883080809,4.9236706958957764e-06,5.7695757881110685e-06,7.5432912546922157e-06,1.090817074610943e-05,1.4477732582858139e-05,8.27516908934717e-06,8.504925358416046e-06,4.9236706958957764e-06,5.7695757881110685e-06,7.5432912546922157e-06,1.090817074610943e-05,1.4477732582858139e-05,8.27516908934717e-06,0.6333333333333333,0.36666666666666659,0.73333333333333328,190,110,0,110,0.0033333333333333002,"[{""const_opt"": 52.900920880039315, ""dens"": 775313630.7800946, ""key"": ""2015"", ""lml"": 1088.5043977893056, ""lml_delta"": -6.077607395127416e-08, ""ls_opt"": 0.3602766417521963, ""reviewed_lml"": 1088.5043978500817, ""sigma"": 0.0012914678772929999, ""state_sha256"": ""5aaecaedb9e5a87742e9d072eae446b6e837aacb18f091d5eb0884f60394e72b""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,7,300,300,"{""2015"": 1088.5043977893056}","{""2015"": 0.3602766417521963}","{""2015"": 52.900920880039315}","{""2015"": ""5aaecaedb9e5a87742e9d072eae446b6e837aacb18f091d5eb0884f60394e72b""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3773,3057,3773,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,26,0.211316749,211.31674899999999,1,1,False,8.504925358416046e-06,8.504925358416046e-06,8.504925358416046e-06,8.504925358416046e-06,4.9236706958957764e-06,4.9236706958957764e-06,5.7695757881110685e-06,5.7695757881110685e-06,7.5432912546922157e-06,7.5432912546922157e-06,1.090817074610943e-05,1.090817074610943e-05,1.4477732582858139e-05,1.4477732582858139e-05,8.27516908934717e-06,8.27516908934717e-06,4.9236706958957764e-06,4.9236706958957764e-06,5.7695757881110685e-06,5.7695757881110685e-06,7.5432912546922157e-06,7.5432912546922157e-06,1.090817074610943e-05,1.090817074610943e-05,1.4477732582858139e-05,1.4477732582858139e-05,8.27516908934717e-06,8.27516908934717e-06,1.1274820328759887,1.1274820328759887,190/300 = 0.633333333333,110/300 = 0.366666666667,"2*110/300, bounded at 1 = 0.733333333333",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
2015,0.027,0.0013446869611586001,0.0013446869611586001,0.10000000000000001,7.7211668935564625e-06,0.44359469766088599,0.14186151255553769,4.6347427675028298e-06,5.4814454867365059e-06,7.4951030135937594e-06,1.0123318103008599e-05,1.3891391973902844e-05,7.8439854625188007e-06,7.7211668935564625e-06,4.6347427675028298e-06,5.4814454867365059e-06,7.4951030135937594e-06,1.0123318103008599e-05,1.3891391973902844e-05,7.8439854625188007e-06,0.54333333333333333,0.45666666666666661,0.91333333333333322,163,137,0,137,0.0033333333333333002,"[{""const_opt"": 50.955811007673915, ""dens"": 800922607.8622017, ""key"": ""2015"", ""lml"": 1087.073070961299, ""lml_delta"": -1.855235041148262e-07, ""ls_opt"": 0.354523458444351, ""reviewed_lml"": 1087.0730711468225, ""sigma"": 0.0013446869611586998, ""state_sha256"": ""504196692d0311568f7937c10e261523e600133d46b878ba55b1ce7dd24ed850""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,8,300,300,"{""2015"": 1087.073070961299}","{""2015"": 0.354523458444351}","{""2015"": 50.955811007673915}","{""2015"": ""504196692d0311568f7937c10e261523e600133d46b878ba55b1ce7dd24ed850""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3796,3014,3796,"{""2015"": ""unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv""}","{""2015"": ""resolved_reproduced_max_lml""}",True,27,0.211316749,211.31674899999999,1,1,False,7.7211668935564625e-06,7.7211668935564625e-06,7.7211668935564625e-06,7.7211668935564625e-06,4.6347427675028298e-06,4.6347427675028298e-06,5.4814454867365059e-06,5.4814454867365059e-06,7.4951030135937594e-06,7.4951030135937594e-06,1.0123318103008599e-05,1.0123318103008599e-05,1.3891391973902844e-05,1.3891391973902844e-05,7.8439854625188007e-06,7.8439854625188007e-06,4.6347427675028298e-06,4.6347427675028298e-06,5.4814454867365059e-06,5.4814454867365059e-06,7.4951030135937594e-06,7.4951030135937594e-06,1.0123318103008599e-05,1.0123318103008599e-05,1.3891391973902844e-05,1.3891391973902844e-05,7.8439854625188007e-06,7.8439854625188007e-06,1.0301615440845435,1.0301615440845435,163/300 = 0.543333333333,137/300 = 0.456666666667,"2*137/300, bounded at 1 = 0.913333333333",False,False,fixed-mass empirical observed-limit diagnostic,local asymptotic discovery statistic,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/combined_bands_300toy_cached/ul_bands_combined_all.csv,b90768ab361928c63f57b3981d424fd36506893da2447e40824acdf3d20081c2,study_results/v4p2_combined_2015full_2016full_2021_10pct_300toy_20260805/derived/observed_gp_states_v4p2_enriched.csv,899b9c042231788c1cefb9f178f9db3fa9b8750934c29043260da41a5e6c45ef
