mass_GeV,mass_MeV,dataset_set,p0_analytic,Z_analytic,sigma_mass_res_min_GeV,sigma_mass_res_GeV,p0_local_asymptotic,Z_local_asymptotic,p_sidak_resolution_spacing_analytic,Z_sidak_resolution_spacing_analytic,N_eff_resolution_spacing,independence_width_sigma,is_scan_minimum,scan_toy_calibrated,uses_limit_tail_pvalues,interpretation
0.019,19,2015,0.5,0,0.00091893429023309997,0.00091893429023309997,0.5,0,0.99999999997765687,-6.5876433249583108,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.02,20,2015,0.48337921629011099,0.041674186107511897,0.00097215337409869995,0.00097215337409869995,0.48337921629011099,0.041674186107511897,0.99999999992893995,-6.4136029170078412,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.021000000000000001,21,2015,0.0059409127076337004,2.5156347292362464,0.0010253724579645,0.0010253724579645,0.0059409127076337004,2.5156347292362464,0.19008384083271596,0.87758737761254568,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.021999999999999999,22,2015,0.077045792074247194,1.4252270339921462,0.0010785915418300999,0.0010785915418300999,0.077045792074247194,1.4252270339921462,0.94138269046442713,-1.5664871306847563,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.023,23,2015,0.5,0,0.0011318106256958001,0.0011318106256958001,0.5,0,0.99999999997765687,-6.5876433249583108,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.024,24,2015,0.49993112920156918,0.00017263349150060001,0.0011850297095615,0.0011850297095615,0.49993112920156918,0.00017263349150060001,0.99999999997754774,-6.5869196116811466,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.025000000000000001,25,2015,0.5,0,0.0012382487934272999,0.0012382487934272999,0.5,0,0.99999999997765687,-6.5876433249583108,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.025999999999999999,26,2015,0.38342491277349061,0.29649795883080809,0.0012914678772928999,0.0012914678772928999,0.38342491277349061,0.29649795883080809,0.99999996289654314,-5.3806753559807756,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.027,27,2015,0.44359469766088599,0.14186151255553769,0.0013446869611586001,0.0013446869611586001,0.44359469766088599,0.14186151255553769,0.99999999901917391,-6.0009509748551997,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.028000000000000001,28,2015,0.47155994668082141,0.071349131738342605,0.0013979060450244,0.0013979060450244,0.47155994668082141,0.071349131738342605,0.99999999984179977,-6.2905218733962052,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
0.029000000000000001,29,2015,0.2958487354012595,0.53637780044898509,0.0014511251288900999,0.0014511251288900999,0.2958487354012595,0.53637780044898509,0.99999592420896877,-4.4611636207565395,35.381377775674636,2.25,False,False,False,analytic resolution-spacing Sidak reference; not scan-toy calibrated
