family,dataset,metric,value,masses_MeV,raw_counts,interpretation
combined_empirical_limit_tail,combined,minimum_p_strong,0,"[71, 72, 73]",[0],"0/300; below one-count resolution 1/300, not exact zero"
combined_empirical_limit_tail,combined,minimum_p_weak,0,"[21, 65, 66]",[0],"0/300; below one-count resolution 1/300, not exact zero"
combined_empirical_limit_tail,combined,minimum_p_two_sided,0,"[21, 65, 66, 71, 72, 73]",[0],2*0/300; no pseudoexperiment in the smaller empirical tail; not an exact zero probability
combined_local_asymptotic,combined,minimum_local_p0,3.2591825213041319e-05,[65],,local asymptotic discovery statistic
individual_local_asymptotic,2015,minimum_local_p0,0.00084628259074180005,[51],,standalone local asymptotic discovery statistic
individual_local_asymptotic,2016,minimum_local_p0,0.00030878140738439997,[90],,standalone local asymptotic discovery statistic
individual_local_asymptotic,2021,minimum_local_p0,1.0570204527233524e-05,[65],,standalone local asymptotic discovery statistic
