mass_MeV,A90,Ahat,Ahat_bounded,sigma_A,signed_r,Z0,p0_fixed_mass,p_signed,cls,q_obs,q_asimov,cls_branch,max_score,max_iterations,boundary_fits,min_lambda,min_background,n_profiles,n_cls_evaluations,monotonicity_error,nll_null,nll_free,n_bins,nuisance_rank,zero_bins,ok,status,calibration,cov_load,cov_load_over_poisson,prior_relative_error,feature_rank,density_observed,K_counts_per_epsilon2,branching_factor,epsilon2_90,epsilon2_90_fixed_density
50,38913.738002759674,15133.687536650188,15133.687536650188,17030.435669829298,0.8886289479715469,0.8886289479715469,0.18710126408179506,0.18710126408179506,0.10000000080053362,1.9497074990706036,5.224273235362956,interior,1.9290599317933754e-07,3,0,1020286.2173465445,1019475.2115793354,18,8,0,1.7446086709935351,1.349777967407026,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,7.410017230975076e-10,7.6480773804979175e-14,25,4326257306.2557793,6661352685.9625158,1,5.8417171162191555e-06,5.8417171162191555e-06
51,42632.318156222791,18572.103820883924,18572.103820883924,17573.467835543532,1.0568332520753829,1.0568332520753829,0.14529384779727478,0.14529384779727478,0.10000000000252143,1.8744622060346412,5.8877166122871962,interior,8.8655111918356511e-08,3,0,1410040.800865978,1408894.424668117,18,8,0,1.3416397901523982,0.78319152880628318,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,4.3310682557900568e-10,2.2271174763555241e-14,26,5058815347.0472307,7945094762.194459,1,5.3658665418419273e-06,5.3658665418419273e-06
52,51508.396108654197,25413.524075909212,25413.524075909212,19497.72913553266,1.3034161344823296,1.3034161344823296,0.096216365555463701,0.096216365555463701,0.099999999528112379,1.7911736415014574,6.9830212681468264,interior,9.0601459667993822e-08,3,0,1632878.9735683226,1631956.6597466127,16,7,0,1.6245683498745696,0.77512154006014033,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,5.5906487817450447e-10,7.3798648620803293e-14,26,5825139364.9648123,9328025868.1694317,1,5.5218967910905253e-06,5.5218967910905253e-06
53,56293.500109943692,30198.641884288532,30198.641884288532,19790.134429834005,1.5259578486794769,1.5259578486794769,0.063510181163768178,0.063510181163768178,0.099999999863557426,1.7386241417560648,8.0948269818773237,interior,4.5391688630047611e-08,3,0,2128447.7729669651,2127148.4517550594,18,8,0,1.5246064000523731,0.36033272207912453,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,3.3742684398975806e-10,5.371088037930954e-14,26,6626217921.3397017,10814878937.810526,1,5.2051900380625358e-06,5.2051900380625358e-06
54,52903.124458637991,25536.126713590755,25536.126713590755,20365.735520574544,1.2538868034465804,1.2538868034465804,0.10494157614101907,0.10494157614101907,0.10000000078314437,1.8057050441489828,6.7496008637870437,interior,1.1760512919067878e-07,2,0,2679745.4983643396,2678118.2359974263,16,7,0,1.085033559798122,0.2989175018693801,14,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.7671594782518997e-10,6.8034219651214427e-14,26,7431427897.2597084,12357940680.355511,1,4.2809013109064454e-06,4.2809013109064454e-06
55,39465.252817889064,7441.2541088661856,7441.2541088661856,21021.636531994223,0.35398136782994499,0.35398136782994499,0.3616764233457116,0.3616764233457116,0.099999996516542608,2.3206586742248665,3.5245136710879557,interior,3.5415505195146579e-08,2,0,2972527.9130229037,2971604.7542036725,20,9,0,1.0549107911513471,0.9922593867659677,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.9972876324746157e-10,3.9314340180516574e-14,26,8261086118.2976694,13992003881.93923,1,2.8205575949582537e-06,2.8205575949582537e-06
56,30695.91349934657,-7005.8350887078732,0,21100.857443142719,-0.33201585503060788,0,0.5,0.63006135655807149,0.099999999216789912,3.0821279297119455,2.1159141135074484,deficit,1.2341159649764677e-08,2,0,3581774.3223133734,3580695.9488341329,20,9,0,1.146043220849323,1.0909259568534702,14,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.9820515154294396e-10,6.7770489748335308e-14,26,9084598020.2960148,15666566271.078856,1,1.9593261834287535e-06,1.9593261834287535e-06
57,23658.900405322129,-27004.433140230802,0,22174.066522542154,-1.2178303756741098,0,0.5,0.88835578068754373,0.10000000307174817,3.7370740772084332,1.1379705876367172,deficit,2.2425189261099376e-08,2,0,3895462.3018260193,3894675.5818580175,22,10,0,2.2286611458686387,1.4871057339113669,15,7,0,True,converged,fixed-mass asymptotic reference,1e-10,2.3152465456368319e-10,6.9647507975167257e-14,26,9904809407.8776855,17386055302.301437,1,1.3607974893643839e-06,1.3607974893643839e-06
58,19131.245587962891,-43848.795235281068,0,22506.522298106727,-1.9482480065237551,0,0.5,0.97430735244067546,0.10000000000007161,4.0345617881100546,0.72217320637943005,deficit,1.8835754733714793e-08,2,0,4536107.7322496325,4535064.1053187521,24,11,0,3.3128118672844669,1.4149767198225742,15,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.9711939356798503e-10,6.6382081545329006e-14,26,10723439061.083199,19153235986.970036,1,9.9885187030420848e-07,9.9885187030420911e-07
59,18654.493425994835,-50204.979538540756,0,23290.22668383945,-2.155597922407229,0,0.5,0.98444246253415868,0.10000000000000593,4.094482864349839,0.64119896658720932,deficit,1.8116157018965851e-08,2,0,4861017.6869128421,4860270.6196365096,22,10,0,3.3222085565527886,0.99890735500960692,15,6,0,True,converged,fixed-mass asymptotic reference,1e-10,1.8985848511189696e-10,8.9537522824141359e-14,26,11516692808.26877,20924730460.156361,1,8.9150459842317312e-07,8.9150459842318244e-07
