dataset,mass_MeV,lane,reference_root_delta,r,Ahat_window,sigma_A_window,remote,half_deviance_fit,half_deviance_null,max_score,min_lambda
2016,39,observed_original,0.0,-0.9558427768792759,-4238.92127990919,4434.64924332652,True,18.64185677600648,19.098674483062624,1.8928868206202765e-07,29407.71677506712
2016,39,observed_first_mean,0.0,-1.308844318279252,-5809.7957388864925,4438.7404867508685,True,18.682185638996355,19.538722363742295,9.220402219511925e-14,29402.985667465702
2016,39,observed_first_rep00,0.0,-1.3248929571692687,-5881.607234879846,4439.171821225622,True,18.667546471259467,19.54521714523783,2.0305979120394113e-13,29401.555772770294
2016,39,observed_second_mean,0.0,-1.0469405023339635,-4643.8703518693255,4435.550861631057,True,18.66822930415905,19.216271511872694,4.757305660518796e-14,29407.289545386917
2016,39,observed_second_rep00,0.0,-1.0576742758694897,-4691.449841074859,4435.519632685642,True,18.694878619827048,19.254216056745072,2.2659651932599445e-13,29407.99627910319
2016,39,observed_both_mean,0.0,-1.399767158509393,-6214.666315116935,4439.642476572149,True,18.715849337074793,19.695523386095523,5.259681579161679e-14,29402.55896009414
2016,39,observed_both_rep00,0.0,-1.4264867515980642,-6333.866003397832,4440.039655275393,True,18.714270298572345,19.731702524814743,6.727951529228449e-14,29401.837120128203
2016,39,observed_both_poly_mean,0.0,-1.3408815469297584,-5952.27687232913,4438.93999638625,True,18.705385184051558,19.60436684549993,1.6975310046518644e-13,29403.384548144513
2016,39,observed_both_wide_mean,0.0,-1.512627221109805,-6717.224016178401,4440.611567417697,True,18.782652026302017,19.926672581323203,6.916689443414725e-14,29402.69248468966
2016,39,reference_original,-3.1632973263029385e-06,6.8197227077182365,29953.832778143777,4392.961488127385,True,30.63283845679332,53.8871473618772,1.6767032207098964e-10,29271.11822111513
2016,39,reference_first_mean,0.0,6.830849321924654,29998.275558402063,4392.314728195139,True,29.528848410258174,52.859099639677424,1.7861978562905279e-10,29273.75927671776
2016,39,reference_second_mean,0.0,6.7713251739454074,29744.685577269145,4393.462099982003,True,30.46079061011328,53.38621291576668,1.5862067215266507e-10,29271.653773178197
2016,39,reference_both_mean,0.0,6.782441898134493,29789.12156102826,4392.815283398642,True,29.357517629940748,52.358276680725865,1.6913936917717365e-10,29274.29418998399
2016,39,reference_both_poly_mean,0.0,7.493870635932817,32853.55358437482,4384.857731579924,True,30.579563460147114,58.65861201419517,3.8747938191363573e-10,29269.80659900796
2016,39,reference_both_wide_mean,0.0,5.55985435594154,24490.51379445784,4405.470712992567,True,25.47991341660802,40.93590364624908,3.636646539462163e-11,29287.1101690074
2016,90,observed_original,0.0,3.424751369698562,18016.53284951612,5261.4635053958655,False,30.833494712519894,36.69795568464598,1.963625158030169e-07,125281.11040313225
2016,90,observed_first_mean,0.0,0.5774236132935927,3036.2645183287714,5258.427899468562,False,0.08738402616028135,0.2540930407547956,3.4719033203955973e-10,125231.3149141172
2016,90,observed_first_rep00,0.0,-0.1010610054048659,-531.3428782859152,5257.621872032648,False,40.30285420949674,40.307960872903465,5.928824098333507e-11,125218.09696982653
2016,90,observed_second_mean,0.0,2.8465773504954304,14979.67895461234,5262.995503510157,False,30.54540947711566,34.59691078329245,7.878093233326666e-08,125304.83599794158
2016,90,observed_second_rep00,0.0,2.4868270314543675,13089.25506746821,5264.002101765937,False,30.32363468998146,33.41578903216753,4.142005149976313e-08,125292.36852363426
2016,90,observed_both_mean,0.0,0.0003640989425371439,1.9151448125805104,5259.9596422453515,False,2.0644320365818904e-08,8.692834034415213e-08,4.0975161333606583e-10,125255.02718827919
2016,90,observed_both_rep00,0.0,-1.0371358169042628,-5455.7448884486685,5260.159750295914,False,39.85819840513154,40.396023756484375,3.843176887841082e-10,125201.98507144234
2016,90,observed_both_poly_mean,0.0,0.9830426089166513,5170.219647793037,5259.629265765656,False,0.5404939080720633,1.0236802935448914,1.4320800795220023e-09,125293.90527077267
2016,90,observed_both_wide_mean,0.0,0.0007054057989047023,3.709434833027683,5258.587531077746,False,6.986003230127821e-08,3.186587028654688e-07,1.4372846794566234e-09,125285.01680633305
2016,90,reference_original,1.8358688362862807e-06,-1.7131033425858466,-9034.493255252646,5273.36870092598,False,17.791628281133306,19.258989812322707,2.1152812834657198e-10,125941.95199119352
2016,90,reference_first_mean,0.0,0.21077602552082783,1111.6725915949405,5274.236928758933,False,0.012101532513260153,0.03431479898043849,6.048508915945661e-12,125965.6844620207
2016,90,reference_second_mean,0.0,-1.9235605952128279,-10145.55742990986,5273.925717678137,False,17.614130661998512,19.464173343726276,2.4526558561888123e-10,125945.78216274646
2016,90,reference_both_mean,0.0,0.00036299951800657505,1.9147467634624626,5274.794025190118,False,2.0444577854655472e-08,8.632890289115838e-08,4.062113159676497e-10,125975.69416315045
2016,90,reference_both_poly_mean,0.0,4.517890786437576,23838.765924938172,5277.554268116339,False,6.325037748863126,16.530706327951894,1.1657341758564144e-13,126110.37062302521
2016,90,reference_both_wide_mean,0.0,0.0007055247345401216,3.6946044434638114,5236.680665969467,False,6.960571602780469e-08,3.184882915517592e-07,1.4312587713041693e-09,125361.72321854823
2016,102,observed_original,0.0,-4.499121459355815,-18961.267145697566,4213.384377890076,False,44.96426190483488,55.08530885785288,1.7993283218942224e-07,65154.40523350134
2016,102,observed_first_mean,0.0,-2.1957923620015403,-9246.879366624347,4210.666612436527,False,33.94452429916926,36.35527634768141,9.296451597418098e-08,65169.61234338419
2016,102,observed_first_rep00,0.0,-1.5338697395792438,-6459.045072491165,4210.588177591752,False,44.33590268537427,45.51228087437272,8.290310571368309e-08,65163.903676749025
2016,102,observed_second_mean,0.0,-3.3028013369438662,-13914.062866103905,4212.0328652538365,False,32.56313804657167,38.01738638223077,3.611985155416164e-08,65113.10709687603
2016,102,observed_second_rep00,0.0,-2.595513311375094,-10927.965559765056,4209.721003495658,False,39.7021073525288,43.07045202729145,5.733160135523718e-08,65049.317584907076
2016,102,observed_both_mean,0.0,-0.9981009288231972,-4201.555965439615,4209.3162519226335,False,21.637927488822704,22.13603022088157,2.7611321562481805e-09,65128.265581219566
2016,102,observed_both_rep00,0.0,0.3723402779490307,1566.3758229970613,4206.926882285299,False,39.45188082631211,39.521199467603694,3.2869262867052385e-12,65051.69481424564
2016,102,observed_both_poly_mean,0.0,-2.468323038337323,-10396.751451289598,4211.492243373594,False,21.471461122460404,24.5177704332538,4.029036495926952e-08,65191.637625502524
2016,102,observed_both_wide_mean,0.0,-0.5217740247195684,-2196.8985713659154,4210.318369453059,False,3.075986816369851,3.2121108828058795,2.339140825480257e-10,65144.904334916406
2016,102,reference_original,-9.168762322570023e-07,-0.07965967473257156,-336.08230543082595,4218.95795722545,False,0.35212635687667726,0.3552991887659268,4.6657566699082054e-11,65074.21471144895
2016,102,reference_first_mean,0.0,-0.7892075216724411,-3330.660686791277,4220.074793713214,False,0.10399723755907749,0.4154214936912558,9.178684617916488e-10,65087.45597307217
2016,102,reference_second_mean,0.0,0.22485210038353023,948.5480110064364,4218.594606863838,False,0.4626080438323565,0.48788727735579906,3.9968028886505635e-13,65050.41637136658
2016,102,reference_both_mean,0.0,-0.48490793604630045,-2046.2267219319126,4219.711573267751,False,0.06439589689773546,0.18196375011807697,7.828330692016827e-11,65067.89621515863
2016,102,reference_both_poly_mean,0.0,-5.408258106093152,-22865.98708535447,4226.710087899707,False,4.052341925591549,18.676969796652692,1.2380641312148555e-07,65146.695586298156
2016,102,reference_both_wide_mean,0.0,1.2341363884856118,5205.436479612281,4218.166918041527,False,0.32259270572851484,1.0841390184206694,7.895793463497114e-09,65618.28868834238
2016,117,observed_original,0.0,3.2786144965272666,10536.12816790312,3214.337762785046,False,44.990858740926285,50.365515249345655,3.502960677082001e-08,26251.117525986898
2016,117,observed_first_mean,0.0,2.1701085630318104,6980.768423513989,3217.276369733447,False,45.38312431884731,47.7378099065193,2.1251026605106915e-08,26263.405712652566
2016,117,observed_first_rep00,0.0,2.021320991250379,6502.830254091765,3217.57849653335,False,45.3662124040899,47.40908167892461,1.5588924595633102e-08,26268.368600140675
2016,117,observed_second_mean,0.0,1.0395695054779754,3339.683832524631,3212.800987702382,False,0.2657397967619722,0.8060921751218334,1.9203581835824934e-08,26255.278008780995
2016,117,observed_second_rep00,0.0,0.09755206860811953,313.30416890473344,3211.6831621326824,False,27.948576120834833,27.953334323879695,3.629221922984982e-12,26245.64911295958
2016,117,observed_both_mean,0.0,-0.06798206566715904,-218.61361821299198,3215.7388114294804,False,0.0013781724595347152,0.0036889530857216767,2.3409746363611816e-13,26266.815432376654
2016,117,observed_both_rep00,0.0,-1.1572649863582782,-3720.8221660506238,3214.922716373436,False,27.74523063915144,28.414861763476853,2.135903176547771e-08,26249.92967742318
2016,117,observed_both_poly_mean,0.0,0.727628126851046,2340.234282465868,3216.4160471089986,False,0.4153238307429411,0.6800451762353221,9.700889980202021e-09,26275.195036239573
2016,117,observed_both_wide_mean,0.0,-0.037127992437549995,-119.38374634894147,3215.4561816858522,False,0.0006200258277604849,0.0013092697389818697,3.4712142014947656e-14,26241.811059990825
2016,117,reference_original,-3.826052540345515e-07,0.606096353427948,1941.2453896837656,3203.0043330708345,False,0.11377774549857719,0.29745414031790524,2.590657688372744e-09,26225.632438656976
2016,117,reference_first_mean,0.0,0.7261876585561843,2325.7487259928903,3202.848577887133,False,0.17437350961962866,0.4380477673392853,2.4650025250150254e-09,26218.030328004916
2016,117,reference_second_mean,0.0,0.09179681586109603,293.9679087105119,3202.396829498526,False,0.14609889606060372,0.1503122237617217,3.967259853965288e-11,26217.817697516894
2016,117,reference_both_mean,0.0,0.21179689267359658,678.2144568105297,3202.241011355452,False,0.009456232312582791,0.031885194185678284,3.059427711171736e-11,26210.218629193634
2016,117,reference_both_poly_mean,0.0,4.071229713521205,13025.809852211733,3200.4090571550514,False,2.841438094705775,11.128893784834753,3.1807889655510735e-14,26213.56782760087
2016,117,reference_both_wide_mean,0.0,0.19035877368306786,614.5999491618202,3228.6832733013352,False,0.012983438224709029,0.031101669583769753,1.2215069233878495e-11,26391.75719856539
2016,180,observed_original,0.0,-1.2418909396500206,-1312.7431123610838,1056.8673377592586,True,70.69755452807192,71.46870108106432,2.9755644725959485e-08,1066.2884151229023
2016,180,observed_first_mean,0.0,-0.9939101711173364,-1049.2641043783317,1055.544926834623,True,70.94636803987498,71.44029675400023,1.1850945136337998e-07,1066.2896786391386
2016,180,observed_first_rep00,0.0,-1.017479157310491,-1074.361190409542,1055.753234548771,True,71.0032415774366,71.52087349521723,1.1802370525337835e-07,1065.979515644452
2016,180,observed_second_mean,0.0,-0.9738763387439959,-1027.8258608733895,1055.251445280988,True,70.88356337063355,71.35778093221626,1.1077412509497009e-07,1066.9030398827492
2016,180,observed_second_rep00,0.0,-0.8218371325073808,-866.5505355396834,1054.2837867784858,True,71.02966159637964,71.36736973256362,2.7755575615628914e-15,1067.4549335089016
2016,180,observed_both_mean,0.0,-0.725519632260204,-764.7277992252435,1053.9328940426017,True,71.13950903586093,71.40269840425842,1.27675647831893e-14,1066.9045763205781
2016,180,observed_both_rep00,0.0,-0.5973378230176772,-629.1552161783784,1053.1757421817138,True,71.26805339809404,71.44645963549779,5.995204332975845e-15,1067.1457132392184
2016,180,observed_both_poly_mean,0.0,-0.8677498774232775,-915.3873990258594,1054.7681310498322,True,71.0167299531678,71.39322487805185,1.0547118733938987e-14,1066.6409078633244
2016,180,observed_both_wide_mean,0.0,-0.5213215545469737,-548.9109194851809,1052.8437204931024,True,71.3152390994321,71.45112718104974,7.438494264988549e-15,1067.119901917579
2016,180,reference_original,5.415317221313387e-07,-0.7826205907776143,-814.9330947294527,1041.169824511114,True,0.21000689912816234,0.5162543936827133,1.4932499681208355e-14,1057.4900437407173
2016,180,reference_first_mean,0.0,-0.7189377710288467,-748.265674693708,1040.6851172584406,True,0.29651683873921775,0.5549525980451809,8.715250743307479e-15,1058.072021400137
2016,180,reference_second_mean,0.0,-0.6569734397807863,-683.627186210325,1040.4714874077024,True,0.17100039214728158,0.3868074424359808,1.4627188349436437e-14,1057.644399917744
2016,180,reference_both_mean,0.0,-0.5932169059849017,-616.9912054556773,1039.9874149655334,True,0.2663594042505516,0.4423125530237015,8.548717289613705e-15,1058.2270101130266
2016,180,reference_both_poly_mean,0.0,-1.3622263865061754,-1422.6080636307854,1044.1224881105757,True,0.7786719328908802,1.7065022969377162,6.79289957616902e-13,1057.9241812515527
2016,180,reference_both_wide_mean,0.0,-0.7319081959573556,-762.1569104888883,1041.2183846229523,True,0.2285145949642951,0.4963593986190705,1.7208456881689926e-14,1056.4677970917971
