dataset,mass_MeV,rank,sigma_MeV,low_MeV,high_MeV,n_bins,observed_original,observed_gp_fill,observed_poly_fill,reference_original,reference_gp_fill
2016,90,1,3.6982828999999993,81.74999999999999,98.24999999999999,66,11856913.0,11838581.773537653,11841953.768843248,11893816.286878444,11887752.007410495
2016,117,2,4.988710679689999,105.75,128.25,90,4596847.0,4593585.185075565,4598885.822096131,4587237.979527511,4585340.162219698
