mass_MeV,eps2_observed,expected_median,p0_local_asymptotic,selected_scope_key
129,2.9843553100196118e-06,2.2810467754752196e-06,0.2469603497162649,pair_2016_2021
130,2.8146456728469141e-06,2.3386042185271363e-06,0.31414501559972252,pair_2016_2021
131,2.436801282789529e-06,2.2994561055540592e-06,0.46586711917661078,pair_2016_2021
132,2.1989981341495469e-06,2.329067911393526e-06,0.5,pair_2016_2021
133,2.0422131218848311e-06,2.3545274391210281e-06,0.5,pair_2016_2021
134,1.8573054039235512e-06,2.3801619254373396e-06,0.5,pair_2016_2021
135,1.655663925481393e-06,2.4936029493900792e-06,0.5,pair_2016_2021
136,1.5907734015812741e-06,2.4405700394284562e-06,0.5,pair_2016_2021
137,1.5675814915111879e-06,2.37696246518201e-06,0.5,pair_2016_2021
138,1.590509772269745e-06,2.5891809745602991e-06,0.5,pair_2016_2021
139,1.6527034788838416e-06,2.5166742875810324e-06,0.5,pair_2016_2021
140,1.7771560546176195e-06,2.6035946290661319e-06,0.5,pair_2016_2021
141,1.6612964611061977e-06,2.5171102160164678e-06,0.5,pair_2016_2021
142,1.8114389201516313e-06,2.6816652415930786e-06,0.5,pair_2016_2021
143,1.9675870890540734e-06,2.6933290984552696e-06,0.5,pair_2016_2021
144,2.1732755352301019e-06,2.6394270806301058e-06,0.5,pair_2016_2021
145,2.2428740535319477e-06,2.6739463374373496e-06,0.5,pair_2016_2021
146,2.2682639159798321e-06,2.6440831079396319e-06,0.5,pair_2016_2021
147,2.391363738588981e-06,2.7793746553364301e-06,0.5,pair_2016_2021
148,2.5377539731978325e-06,2.693982807089525e-06,0.49993112920156912,pair_2016_2021
149,2.7223336554016774e-06,2.9336382948261709e-06,0.5,pair_2016_2021
150,2.8245772679168495e-06,2.7556540725962328e-06,0.48978546171962611,pair_2016_2021
151,2.9327953834725376e-06,2.7794931923381357e-06,0.4675344455817288,pair_2016_2021
152,2.9758521159956498e-06,2.8113385165746179e-06,0.4619934256332241,pair_2016_2021
153,3.0948758810580665e-06,3.0606975727529918e-06,0.431224357159325,pair_2016_2021
154,3.1883400535043988e-06,3.0274326849945166e-06,0.40721506141745872,pair_2016_2021
155,3.6984608799002701e-06,2.9846650239645616e-06,0.27697606652436152,pair_2016_2021
156,4.2682018818393067e-06,2.8523525207467698e-06,0.165157683348367,pair_2016_2021
157,4.7696759011306252e-06,2.9622638476510158e-06,0.1067071839016047,pair_2016_2021
158,5.2160123163476773e-06,3.1515154767292293e-06,0.068304637909511801,pair_2016_2021
159,5.547701760158401e-06,3.003593223373993e-06,0.049659701719069201,pair_2016_2021
160,5.7661464801252099e-06,3.2221327624595447e-06,0.040973268789944402,pair_2016_2021
161,5.6784216769359265e-06,3.0789859506223729e-06,0.049885906977784701,pair_2016_2021
162,5.3025405986129306e-06,3.1081539841974659e-06,0.080672813824059206,pair_2016_2021
163,4.849011918685275e-06,3.1611189602270564e-06,0.13274908182993461,pair_2016_2021
