mass_GeV,mass_MeV,candidate,source_csv,selected,selected_branch_replicates,exact_start_signature,lml,ls_opt,const_opt,A_up,eps2_up,p0_analytic,A_hat,sigma_A
0.094,94,repeat1,observed_scan/unchanged_card_repeats/m094/repeat1/results_single.csv,True,3,False,1657.8121654532024,0.27044320671606498,48.827308365030483,17644.864905600611,3.750046984044306e-06,0.078741783691939002,9199.3472571469993,6395.465499807623
0.094,94,repeat2,observed_scan/unchanged_card_repeats/m094/repeat2/results_single.csv,False,0,False,1657.8121654221261,0.27044287465292249,48.826313292422192,17644.913761390009,3.7500573673204977e-06,0.078741374900596406,9199.3599750920712,6395.4681453894536
0.094,94,repeat3,observed_scan/unchanged_card_repeats/m094/repeat3/results_single.csv,False,0,False,1657.8121651124138,0.27044304599787677,48.825490107845326,17644.864905064198,3.7500469839303026e-06,0.078741693881513003,9199.3489421109098,6395.4641649218256
0.094,94,primary,observed_scan/support036_300/results_single.csv,False,0,True,966.43067188059456,0.10568585807723251,1,43396.119858634425,9.2229376232539566e-06,0.19051412825900621,17223.467805515909,19577.232419072749
0.152,152,repeat1,observed_scan/unchanged_card_repeats/m152/repeat1/results_single.csv,True,3,False,1628.3621207117649,0.2719432817345051,49.800418645295402,6202.852075179665,2.922953843032644e-06,0.49458383819603641,52.636926094377657,3751.9266110736999
0.152,152,repeat2,observed_scan/unchanged_card_repeats/m152/repeat2/results_single.csv,False,0,False,1628.3621206142959,0.27194281132802939,49.803100885109117,6202.8830606328629,2.9229684442271273e-06,0.49457946176814938,52.665465896562786,3751.9321336607904
0.152,152,repeat3,observed_scan/unchanged_card_repeats/m152/repeat3/results_single.csv,False,0,False,1628.3621199428262,0.27194320827666291,49.800344516345639,6202.8520733885025,2.9229538421885994e-06,0.49458296262753187,52.638613995827725,3751.9269634094371
0.152,152,primary,observed_scan/support036_300/results_single.csv,False,0,True,857.18238031390865,0.095692484449819204,1,17912.70441029263,8.4409570888656231e-06,0.5,-1053.0154201748358,11353.306558863402
0.21199999999999999,212,repeat2,observed_scan/unchanged_card_repeats/m212/repeat2/results_single.csv,True,2,False,1597.684753425377,0.27317411578330819,50.503076639037772,4910.8558707984594,8.3407718663258511e-06,0.18812640344672729,1903.9092218620588,2151.9267481741467
0.21199999999999999,212,repeat3,observed_scan/unchanged_card_repeats/m212/repeat3/results_single.csv,False,0,False,1597.6847532859342,0.27317465982486983,50.502734241469874,4910.8728750844748,8.3408007470085933e-06,0.188123379500508,1903.9309325457909,2151.9240124166149
0.21199999999999999,212,primary,observed_scan/support036_300/results_single.csv,False,0,True,882.27823033324944,0.1024755959823144,1,9706.5382284311963,1.6485928951108059e-05,0.46094944390588471,538.23848494978063,5691.7801643160938
0.21199999999999999,212,repeat1,observed_scan/unchanged_card_repeats/m212/repeat1/results_single.csv,False,0,True,882.27823033324944,0.1024755959823144,1,9706.5382284311963,1.6485928951108059e-05,0.46094944390588471,538.23848494978063,5691.7801643160938
