model,scenario,mass_GeV,mass_MeV,inj_nsigma,n_generated,raw_n,raw_pull_mean,raw_pull_width,raw_pull_median,raw_pull_mad_scaled,raw_pull_trimmed_mean_10pct,raw_pull_mean_ci90_low,raw_pull_mean_ci90_high,raw_pull_width_ci90_low,raw_pull_width_ci90_high,raw_max_leave_one_out_mean_change,accepted_n,accepted_pull_mean,accepted_pull_width,accepted_pull_median,accepted_pull_mad_scaled,accepted_pull_trimmed_mean_10pct,accepted_pull_mean_ci90_low,accepted_pull_mean_ci90_high,accepted_pull_width_ci90_low,accepted_pull_width_ci90_high,accepted_max_leave_one_out_mean_change,n_excluded,sample_size_eligible,accepted_nominal_Z_residual_mean,accepted_upper_boundary_fraction,accepted_lower_boundary_fraction,accepted_constant_lower_boundary_fraction,accepted_constant_upper_boundary_fraction,accepted_pull_identity_max_abs_residual,accepted_ls_at_lower_fraction,accepted_ls_at_upper_fraction,accepted_const_at_lower_fraction,accepted_const_at_upper_fraction,accepted_min_y_train,accepted_max_y_train,accepted_max_n_zero_train,accepted_median_recovery,accepted_recovery_q16,accepted_recovery_q84
regional_blend,2021_10pct,0.065,65.0,0.0,20,20,-0.7761207398068908,0.6400205358797466,-0.7104097269839653,0.46945876878546355,-0.7695728860803515,-1.0235820244755636,-0.5286594551382179,0.5081286410130881,0.8770907970997592,0.054419285696465036,20,-0.776127760061202,0.6400104046975238,-0.7104602217091622,0.469466458634262,-0.7695808190589619,-1.023585127550304,-0.5286703925720999,0.5081205976089063,0.8770769132223002,0.05441965518353398,0,True,-0.776127760061202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,,,
regional_blend,2021_10pct,0.065,65.0,1.0,20,20,-0.9626385230031473,1.1077241235225976,-0.742098365715827,0.47937034398684863,-0.7962100583662182,-1.390935459270339,-0.5343415867359557,0.8794504581470314,1.5180366566388055,0.20791273641004582,20,-0.8039424997681381,0.641049383213742,-0.742098365715827,0.47937034398684863,-0.7961775756314151,-1.0518015839896777,-0.5560834155465986,0.5089454691745696,0.8785007401838942,0.05571721066269575,0,True,-0.8041351676946965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.2578033315105116,-0.7176949654060863,0.9565669720824568
regional_blend,2021_10pct,0.065,65.0,3.0,20,20,-1.4223708977015188,1.9687684336104645,-0.8208971158269047,0.4965162836743039,-1.0634050962719486,-2.183587043878296,-0.6611547515247417,1.5630555154997623,2.698020732048343,0.41688810208693683,20,-0.853074525643805,0.6249999411311161,-0.7718732641240523,0.4356479892965586,-0.844006209008767,-1.0947281596753395,-0.6114208916122704,0.49620340741673363,0.8565064178768648,0.054115732797840654,0,True,-0.8547788351204522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.7425525091828389,0.4217608843539352,0.9603003768866811
regional_blend,2021_10pct,0.065,65.0,5.0,20,20,-1.2151255516742188,1.5918975776531754,-0.806069319216953,0.7501963955980084,-0.956787173498273,-1.8306261450817705,-0.5996249582666671,1.2638481227060452,2.181552992461071,0.32274745159807483,20,-0.9219077687294165,0.6487127596119131,-0.806069319216953,0.4434328203161176,-0.9105776259358271,-1.1727298656389542,-0.6710856718198789,0.5150296193173801,0.8890027108813005,0.05563283245801576,0,True,-0.9266303332729177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.838671996915092,0.6368505996113385,0.9656037081961297
regional_blend,2021_10pct,0.09,90.0,0.0,20,20,-1.5860849255544343,3.0146272191197223,-1.1282748699087368,1.5780027892975732,-0.9770370698369482,-2.751678031742955,-0.42049181936591373,2.3933895025833714,4.1312764862175415,0.5317199184908403,20,-0.7141965453741994,1.2624893092292924,-0.8687213540607962,0.8225367571976132,-0.627891003620412,-1.2023327985538101,-0.22606029219458873,1.0023224897158072,1.7301284763304818,0.1413216639712812,0,True,-0.7141965453741994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,,,
regional_blend,2021_10pct,0.09,90.0,1.0,20,20,-0.7392780137790319,1.2633310955631825,-0.9078075238577761,0.8132812376843966,-0.6580169116904679,-1.2277397401519592,-0.2508162874061046,1.0029908053742649,1.7312820690750714,0.14048141967900218,20,-0.7392780137790319,1.2633310955631825,-0.9078075238577761,0.8132812376843966,-0.6580169116904679,-1.2277397401519592,-0.2508162874061046,1.0029908053742649,1.7312820690750714,0.14048141967900218,0,True,-0.7395485454966416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.09193110926245707,-0.4349138827647519,1.6751574779884288
regional_blend,2021_10pct,0.09,90.0,3.0,20,20,-0.7933401748969622,1.2518797240023871,-0.9506636607367813,0.8020702402561258,-0.7084906015288882,-1.277374275969152,-0.3093060738247723,0.9938992691770323,1.715588990420435,0.1388640212515726,20,-0.7933401748969622,1.2518797240023871,-0.9506636607367813,0.8020702402561258,-0.7084906015288882,-1.277374275969152,-0.3093060738247723,0.9938992691770323,1.715588990420435,0.1388640212515726,0,True,-0.7959442804850229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.6828118465711137,0.5045549949189219,1.2052252218808546
regional_blend,2021_10pct,0.09,90.0,5.0,20,20,-0.8355071421556104,1.282939221558593,-0.9848722647873349,0.8495603006549897,-0.7399131854399452,-1.3315502690879741,-0.3394640152232467,1.0185581971317277,1.7581532488182454,0.14540480257861788,20,-0.8355071421556104,1.282939221558593,-0.9848722647873349,0.8495603006549897,-0.7399131854399452,-1.3315502690879741,-0.3394640152232467,1.0185581971317277,1.7581532488182454,0.14540480257861788,0,True,-0.8426739744284923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.8027127551457488,0.6946434845062319,1.1073179725190774
regional_blend,2021_10pct,0.12,120.0,0.0,20,20,-0.4778516555600863,0.899789340989669,-0.3879293911738114,1.1942738657572054,-0.44520290782673977,-0.8257514709096334,-0.12995184021053913,0.7143657264163903,1.2330806686158862,0.08797021702657776,20,-0.4778105274000132,0.8998051711767842,-0.38785629322785314,1.1942100339733968,-0.44516115090276964,-0.8257164634257269,-0.12990459137429944,0.7143782944060326,1.2331023624689061,0.08797238166658156,0,True,-0.4778105274000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,,,
regional_blend,2021_10pct,0.12,120.0,1.0,20,20,-1.0993999553940108,2.6638306727711796,-0.5313997632269208,1.3672449347414837,-0.5863640962843605,-2.129359032437794,-0.06944087835022761,2.1148831697777295,3.6505412516304814,0.5615682676147494,20,-0.5074749082881105,0.8984687810833639,-0.40267457597141,1.182281677966871,-0.4694972531733887,-0.8548641346290613,-0.16008568194715972,0.7133173001973085,1.2312709595895235,0.08944176540108778,0,True,-0.5074810793538286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,1156477.0,0,0.5973553299884732,-0.4943746835371601,1.4318538771081422
