draw_index,mass_GeV,eps2_up_ratio_3p0_over_2p25eq2p5,delta_log10_eps2_up_3p0_minus_2p25eq2p5,delta_p0_3p0_minus_2p25eq2p5,delta_Z_3p0_minus_2p25eq2p5,delta_A_hat_3p0_minus_2p25eq2p5,scope
0,0.05,1.0208910787143712,0.008979408652333376,-8.04419158902e-05,0.11032502096431207,481.1276735979809,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.051,1.0355954591782,0.015190137496539968,-0.0020927255397956,0.14262230481783478,672.252991319594,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.052,1.0433358337520762,0.018424123641572976,-0.041784082406751355,0.10864548277818431,535.7594833381875,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.053,1.0152625265840833,0.006578356638097915,0.0,0.0,397.1939419301352,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.054,1.0029467554737346,0.001277877768436575,-6.887079843082011e-05,0.0001726334915006,170.19123085145839,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.055,1.0052598327587938,0.002278329765002418,0.0,0.0,176.66019233241968,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.056,0.9847308264488732,-0.006682466521378494,0.0,0.0,-492.1041756044633,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.057,0.969765571633617,-0.013333238157130722,0.0,0.0,-759.10116634919,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.058,0.93621477638371,-0.028624508635552992,0.06703589540491839,-0.1735811464250045,-1036.924570489315,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.059,0.9237381509199283,-0.03445111939343182,0.07131636919545462,-0.21336444482879346,-1288.9728076025035,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.06,0.9228787423009257,-0.03485535748878377,0.06579881002073187,-0.22266556261045412,-1339.9187238107597,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.061,0.9448863726444969,-0.024620414454256334,0.0395103242336686,-0.15177410561620008,-961.2842332273203,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.062,1.0111840039485192,0.004830190831666137,-0.004378737371333513,0.01781418800466883,123.25858414194954,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.063,1.0796709148067856,0.03329140209587056,-0.050597559960946906,0.2222876543830541,1424.643474957098,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.064,1.1562067407286643,0.06303549699959632,-0.1025176604427487,0.41051780244532465,2661.0144512989527,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
0,0.065,1.281986602255321,0.10788348649560042,-0.20859417165090371,0.7095932354317784,4611.502556177098,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
