mass_GeV,paired_draw_count,summary_scope,eps2_up_ratio_3p0_over_2p25eq2p5_mean,eps2_up_ratio_3p0_over_2p25eq2p5_median,eps2_up_ratio_3p0_over_2p25eq2p5_q16,eps2_up_ratio_3p0_over_2p25eq2p5_q84,delta_log10_eps2_up_3p0_minus_2p25eq2p5_mean,delta_log10_eps2_up_3p0_minus_2p25eq2p5_median,delta_log10_eps2_up_3p0_minus_2p25eq2p5_q16,delta_log10_eps2_up_3p0_minus_2p25eq2p5_q84,delta_p0_3p0_minus_2p25eq2p5_mean,delta_p0_3p0_minus_2p25eq2p5_median,delta_p0_3p0_minus_2p25eq2p5_q16,delta_p0_3p0_minus_2p25eq2p5_q84,delta_Z_3p0_minus_2p25eq2p5_mean,delta_Z_3p0_minus_2p25eq2p5_median,delta_Z_3p0_minus_2p25eq2p5_q16,delta_Z_3p0_minus_2p25eq2p5_q84,delta_A_hat_3p0_minus_2p25eq2p5_mean,delta_A_hat_3p0_minus_2p25eq2p5_median,delta_A_hat_3p0_minus_2p25eq2p5_q16,delta_A_hat_3p0_minus_2p25eq2p5_q84
0.05,10,pointwise descriptive paired differences across ten conditional draws,0.982948862012017,0.9833329461772302,0.941322916906576,1.014686280350108,-0.007757795728683447,-0.007304546683233326,-0.026274785538898834,0.006321442226089393,0.00026578092111691003,8.555276110595e-05,-0.00015547940562188,0.0008750939253433358,-0.08515404502082595,-0.08928617168832442,-0.28968339818199235,0.08427408590482417,-381.9565015050024,-390.3948703045444,-1295.3250657177991,358.6361434685298
0.051,10,pointwise descriptive paired differences across ten conditional draws,0.992564033047351,0.9939098592014444,0.9440778293116674,1.0368581690310366,-0.0035963523292465104,-0.002655357733376995,-0.024992206220945973,0.015719100586660522,0.0016974036475309,0.0007072754326127501,-0.00441177398034584,0.00874958648536944,-0.02930358731221163,-0.023019039983590117,-0.2135167966870483,0.1391485604694333,-139.95951931121436,-109.65322127273248,-1017.5627956780629,659.9180769349495
0.052,10,pointwise descriptive paired differences across ten conditional draws,1.2218241125594589,1.0123037695984194,0.9926214709992421,1.0523227465830114,0.0542954294932235,0.005308959950317327,-0.003218240400884511,0.022136498986871655,-0.028327235587467147,-0.00429248746793387,-0.03662828679798683,2.727144488158915e-05,0.07395979649234094,0.011330682052379859,-6.8359375e-05,0.09403361295585196,855.9841575617833,138.5060424146542,-168.3886161852177,677.6312680105183
0.053,10,pointwise descriptive paired differences across ten conditional draws,1.024420286192036,1.024166823261401,1.0121857742597766,1.0408982766803045,0.010405488204014634,0.01036582927045071,0.005258653450729013,0.017407290272795244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.6790698165735,605.4833757601109,339.33127100943636,1064.6761556084841
0.054,10,pointwise descriptive paired differences across ten conditional draws,1.0303902937580431,1.0321492401750836,1.0074863693819998,1.0605935192515796,0.012796847632970464,0.013739348716703237,0.0032335725441397754,0.025530176979180436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.9169965305348,1261.7692971257065,382.83662045163703,2318.140862635786
0.055,10,pointwise descriptive paired differences across ten conditional draws,1.0258404144448507,1.0287067920415192,1.0083825033177019,1.0560421315724027,0.010863362796393262,0.01228521538892613,0.003622652721249224,0.023631983810296648,-9.739801670860527e-06,0.0,0.0,0.0,2.44140625e-05,0.0,0.0,0.0,1083.6287368427281,1214.331178788204,335.49392321325865,2315.6902974329805
0.056,10,pointwise descriptive paired differences across ten conditional draws,1.0168666638787407,1.0167523359704003,0.9867586484012871,1.0538988742498823,0.0069889053701485794,0.007210272735416634,-0.005790225280769441,0.022776734468447156,6.887079843082011e-06,0.0,0.0,3.856764712125923e-05,-1.726334915006e-05,0.0,-9.667475524033601e-05,0.0,590.5630171585956,587.8776707170591,-394.8794889467682,1839.670670251231
0.057,10,pointwise descriptive paired differences across ten conditional draws,0.976619630080642,0.9919594818066355,0.9516996368954329,0.995223107154752,-0.010447225214062073,-0.003506101378811799,-0.02153388591972565,-0.0020797522322724762,0.005505877354236455,0.0,-3.8567647121259267e-05,0.009391616737053434,-0.013871910123084618,0.0,-0.023592603105408498,9.667475524033594e-05,-444.9253780759717,-211.11003136245063,-924.427121380452,-97.98264037207755
0.058,10,pointwise descriptive paired differences across ten conditional draws,0.9079608628809883,0.9059277871933741,0.8387953360002416,0.9436761440133078,-0.04310283738731293,-0.04293250075444677,-0.07634401890636308,-0.025187702239797896,0.07613309891682418,0.06914526096630563,0.039244095235115815,0.13410009693242053,-0.25102953672864425,-0.22307300950594183,-0.46403419206898805,-0.13291045041191685,-1618.8578968586157,-1674.2315577639215,-2846.51845864925,-943.2363712266405
0.059,10,pointwise descriptive paired differences across ten conditional draws,0.8817805926137782,0.8728528512276851,0.7873398435416661,0.9325153975810172,-0.05733602446483763,-0.059175412612257006,-0.10394851729383739,-0.03035912486168176,0.09980781627104747,0.10998115197778933,0.016579867733714716,0.16050271154906368,-0.36679665981755394,-0.4107134812050774,-0.670894537517562,-0.21129656134136793,-2243.486222861301,-2484.3399539753464,-4103.910217439249,-1280.778496714021
