window,draw_index,A_hat,sigma_A,eps2_up_90cl,p0_local_asymptotic,Z_local_asymptotic
window_2p25eq2p5,0,2761.241257102813,6603.257629938597,4.089430168059366e-06,0.3388427859828108,0.4156234396998438
window_2p25eq2p5,1,-2157.4295645455773,6603.610846231243,3.127876311651286e-06,0.4999026019832914,0.000244140625
window_2p25eq2p5,2,-10552.12983694316,6602.617474219303,2.3732073421492084e-06,0.4984114906020063,0.0039818130933349
window_2p25eq2p5,3,31.62405992525765,6603.7347930463375,3.4969765300657254e-06,0.4982990219018516,0.004263732714007
window_2p25eq2p5,4,-11458.72048945218,6602.689225259612,2.3167731149370205e-06,0.5,0.0
window_2p25eq2p5,5,3270.2280385282215,6604.18139186095,4.186299577353618e-06,0.3141454524452522,0.4841338141693113
window_2p25eq2p5,6,2834.6045914946976,6603.358665283084,4.100161612994114e-06,0.3338388096882167,0.429337515048479
window_2p25eq2p5,7,5218.667263446108,6603.850489427359,4.683633739094891e-06,0.2146820447485914,0.790280299377292
window_2p25eq2p5,8,836.7293365876425,6602.517141698827,3.664901887364149e-06,0.4469306572874192,0.1334198919109352
window_2p25eq2p5,9,1201.69861611061,6604.040644374519,3.7292912830747226e-06,0.4284418071135327,0.1803425996142514
window_3p0,0,7372.743813279911,6568.294287428291,5.242594686310833e-06,0.1302486143319071,1.1252166751316222
window_3p0,1,2154.159586579337,6575.736175119696,3.930388685916612e-06,0.3714318578988947,0.3280634141074592
window_3p0,2,-10914.06937651985,6610.018493330975,2.355857658278869e-06,0.5,0.0
window_3p0,3,3641.61470369096,6579.6624048705635,4.27862001356816e-06,0.2778713438968202,0.5891767861478766
window_3p0,4,-10021.425093548603,6592.712409513967,2.389459948598515e-06,0.5,0.0
window_3p0,5,6335.301716052929,6588.342067013234,4.97574723651126e-06,0.1693466380285498,0.9567503536374228
window_3p0,6,2147.8234486054416,6605.298079609304,3.945166020500727e-06,0.3725003653468862,0.3252382908735875
window_3p0,7,10528.918734047642,6566.00235746511,6.1616425866656e-06,0.0543811623243664,1.6037810427723052
window_3p0,8,3601.5397805773373,6589.262828065788,4.270385505421341e-06,0.2907543851544972,0.5511822154090991
window_3p0,9,4065.790274418033,6584.235498205622,4.365344547438854e-06,0.2690487437967973,0.6156925009498334
