dataset,method,mass_MeV,observed_r,asimov_r,response_sd,standardized_r,local_p,gp_global_p,gp_exceedances,gp_upper95,direct_global_p,direct_exceedances,direct_upper95,raw_peak_MeV,raw_gp_global_p
2016,profiled,42,0.0410266204774514,-9.214925715798085,0.9673753441123676,9.568108586402413,5.44396260223802e-22,0.0,0,1.4978549188181866e-05,0.0,0,0.002991249545095295,90,1.0
2016,fixed,43,0.9647197487307196,-31.905332460423175,3.0535056940039307,10.764693274913403,2.526476581783946e-27,0.0,0,1.4978549188181866e-05,0.0,0,0.002991249545095295,88,1.0
2021,profiled,92,1.221703142245884,-2.1766247723342422,0.9843983958661052,3.4521875785770346,0.0002780305061757964,0.02519,5038,0.025773962395266234,0.026,26,0.03589434150359929,78,0.78486
2021,fixed,77,8.377565547109654,-1.8093498690014993,2.1965823245232374,4.637620590123886,1.7622149331404797e-06,0.000205,41,0.0002659789894876697,0.001,1,0.004734993575499777,77,0.884545
