dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.006666261749999999,0.0,1.0,8000,0.0001250000000000001,True,5412.3535426809285,3.8693260895240555e-06,0.5,0.0,-14880.992034249342,5577.365496843979,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.4**2 * RBF(length_scale=0.318),0.03991491610836469,0.5442943105686093,0.14739559608280783,0.31816775002313324,0.03628628737124062,54.73165280536371,1666.1204251744482,402,17,385,416,14,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.768264076398818,19.639331569216612,267.8090668529538,156.54804134804291
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.059346508560000004,0.0066930171200000055,0.0,1.0,8000,0.0001250000000000001,True,6342.033442121743,4.047832925637147e-06,0.5,0.0,-10318.673672802635,5842.84947216041,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.43**2 * RBF(length_scale=0.319),0.03936931061422127,0.5368542356484718,0.14538081426998897,0.3185977660820549,0.035790282376564786,55.21019826818651,1660.0593647702342,401,18,383,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.901795261908031,19.293442180026243,263.0923933639942,156.1329747127765
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990652096.3793745,1.64,0.053639832085000005,0.060360167915,0.006720335829999993,0.0,1.0,8000,0.0001250000000000001,True,8827.897959828393,5.076696585179458e-06,0.4999311292015692,0.00017263349150062197,-1546.79883298188,5886.211345840944,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.68**2 * RBF(length_scale=0.319),0.03884579197431144,0.5297153451042469,0.14344759357172976,0.319039775695564,0.035314356340283126,58.90935461898181,1657.0430845672784,401,20,381,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.034279787555834,18.959498587400432,258.53861710091496,155.71401351849553
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071736532.8850116,1.64,0.05462589106,0.061374108940000005,0.006748217880000004,0.0,1.0,8000,0.0001250000000000001,True,16518.591685789674,8.629326706571152e-06,0.07728610815062799,1.4235657501230496,8549.931966332364,6005.4363770768205,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.59**2 * RBF(length_scale=0.315),0.038343234920351146,0.5228622943684247,0.14159177865950517,0.31491363694681235,0.03485748629122831,57.6685022752324,1656.6826598026685,401,21,380,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.034318605643648,18.63689240258374,254.13944185341464,153.06511253094638
2021,0.059,0.002066055875,0.054351374281249996,0.06364862571874999,1151080263.2969189,1.64,0.055611668365,0.062388331634999995,0.006776663269999997,0.0,1.0,8000,0.0001250000000000001,True,21030.150948541588,1.0055523675751627e-05,0.014892997954837093,2.172924556577652,13193.512705904595,6073.115216603023,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.56**2 * RBF(length_scale=0.315),0.03786058932616019,0.516280763538548,0.13980949168539802,0.31542763047732625,0.034418717569236534,57.167237960619985,1655.1076688319692,401,23,378,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.16442136005833,18.325055863341635,249.88712540920412,152.67139398024568
2021,0.06,0.0020749,0.055331475,0.064668525,1227442360.8213856,1.64,0.056597164,0.063402836,0.006805672000000006,0.0,1.0,8000,0.0001250000000000001,True,21518.71831200429,9.488202934468139e-06,0.01229587612383263,2.247756011202181,13675.31320713336,6085.449266039895,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.61**2 * RBF(length_scale=0.315),0.03739687403797581,0.5099573732451246,0.13809710949902224,0.3151906672040091,0.03399715821634164,57.890857383514174,1659.9201266272223,402,25,377,416,14,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.271088636240906,18.023458498229218,245.77443406676204,151.90643751699315
2021,0.061,0.002083915875,0.05631118928125,0.06568881071875,1300445533.4805682,1.64,0.057582377965,0.064417622035,0.006835244069999996,0.0,1.0,8000,0.0001250000000000001,True,18544.93550525802,7.591423972635074e-06,0.05347832269606009,1.6120243302418884,10221.532578966153,6342.48728166797,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.58**2 * RBF(length_scale=0.315),0.03695117130287354,0.5038796086755482,0.13645124307310308,0.3145850720347115,0.03359197391170321,57.46952676593201,1653.7502404977633,401,26,375,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.364887959891878,17.731604114236877,241.79460155777554,150.95862352635106
2021,0.062,0.0020931035,0.057290517125,0.066709482875,1369815472.516009,1.64,0.05856731026,0.06543268974,0.006865379479999996,0.0,1.0,8000,0.0001250000000000001,True,12335.578663372196,4.716563570125446e-06,0.33274925281440393,0.4323342390430839,2761.025862038324,6386.2371221735375,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.85**2 * RBF(length_scale=0.318),0.0365226217287332,0.49803575084636176,0.13486871889191832,0.31832919643235474,0.03320238338975745,61.55710874766651,1652.114433659585,401,28,373,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.587540529712562,17.449028071824063,237.94129188850994,152.0847853115504
2021,0.063,0.0021024628750000002,0.05826945853125,0.06773054146875,1435241859.3893926,1.64,0.059551960885,0.066448039115,0.006896078229999998,0.0,1.0,8000,0.0001250000000000001,True,8486.816653451104,3.0478886752406647e-06,0.5,0.0,-5044.782681993412,6498.564072034282,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.81**2 * RBF(length_scale=0.317),0.03611041971749458,0.49241481432947154,0.13334656208747708,0.3165437181255997,0.032827654288631436,61.023427553388814,1653.269429316182,401,29,372,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.642593264277862,17.17529481584524,234.20856567061688,150.55852918477797
2021,0.064,0.0021119940000000003,0.0592480135,0.0687519865,1495960581.3190005,1.64,0.06053632984,0.06746367016,0.006927340320000003,0.0,1.0,8000,0.0001250000000000001,True,7139.606511596975,2.421553536703034e-06,0.5,0.0,-11509.948831818027,6549.638404105952,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.88**2 * RBF(length_scale=0.315),0.035713809320656736,0.48700649073622815,0.13188198113493682,0.31496072146872733,0.03246709938241521,62.054441801163904,1652.5226014523862,401,31,370,416,15,0.04,0.3,0.0006250000000000006,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.700919622013291,16.909995634768247,230.59084956502153,149.12955314680215
