path,bytes,sha256
output/pdf/v4p9p16_candidate_removal_20260906/HPS_GPR_Analysis_Note_v4p9p16_Candidate_Removal_and_Traditional_Searches.pdf,1180953,4e32c37d387a87f598ac12d077270fd33125534451fe25bbd0da15e54c6c025b
output/pdf/v4p9p16_candidate_removal_20260906/analysis_note.log,22473,e8c7b651dc20f8f972897d961567422353bc5feb48fbbcff4927fcfb55cd3091
study_results/v4p9p16_candidate_removal_20260906/PROTOCOL.md,5343,2a08bd56ac375eb4d7abcd4f45f685695fd680c393b1c5b9524a1e9a8d7dabf1
study_results/v4p9p16_candidate_removal_20260906/README.md,5846,90487704e696c10c8c23dd866649ab399dc706e3c150732ebe76a7832edf6afc
study_results/v4p9p16_candidate_removal_20260906/derived/2015/components.npz,14625604,1fc51f5c089586d4d910da46eb8e168081fdf948efd3f07a28011e130504ef04
study_results/v4p9p16_candidate_removal_20260906/derived/2015/holes.csv,410,348f8df889acced49a1ae904cb2de789f36265a5c164cb008ce41451c4d73002
study_results/v4p9p16_candidate_removal_20260906/derived/2015/input_contract.json,20692,42604a9198c596395c058ca5e63db1c2543dcffd2143bb3410305178a49830b4
study_results/v4p9p16_candidate_removal_20260906/derived/2015/inputs.npz,119886,9585778f31cdc03e5f2565af94b44e8d8f96d0600ff618480a9bc0d39847391e
study_results/v4p9p16_candidate_removal_20260906/derived/2015/pilot_components.npz,819479,ebe90e23d95f99a63815e8f0c8a6f3ba9996efb98be8bab0e4c3bdc495a24cef
study_results/v4p9p16_candidate_removal_20260906/derived/2015/pilot_qa.json,331,47cd9d8eb274fb7d9b311cb2d72dda89eb479332803573d419d384e824fdc588
study_results/v4p9p16_candidate_removal_20260906/derived/2015/pilot_scans.csv,13336,730fc885860851bd90225239608f98acf61544311ad355fed8211ac10dad1292
study_results/v4p9p16_candidate_removal_20260906/derived/2015/scan_qa.json,328,be9cfb3b95963ba4a3ca731a0d0a588285ef37c7ae650c1d80cb58a72914871c
study_results/v4p9p16_candidate_removal_20260906/derived/2015/scans.csv,526098,756c95667242ed7a71e0e8c3f81034c72a3acbd58885ef6d129a2ad4eacc561a
study_results/v4p9p16_candidate_removal_20260906/derived/2016/components.npz,67172115,db961f44b20af2ef360bbbf1b687773fff0e8aff54e48a6060d426ee1ff968d0
study_results/v4p9p16_candidate_removal_20260906/derived/2016/holes.csv,430,b3a43fa95edeca72b46f23e6d94ae92bb48f74d1e3f534a3c5b9ecbb83c1c8f5
