mass_GeV,epsilon_90,mass_MeV,eps2_90
1.2959,0.00075267,1295.9,5.665121289e-07
1.297,0.00079094,1297,6.255860836e-07
1.2981,0.0008058,1298.1,6.4931364e-07
1.2992,0.00082869,1299.2,6.867271161e-07
1.3003,0.00083786,1300.3,7.020093796e-07
1.3014,0.00087885,1301.4,7.723773225e-07
1.3025,0.00092465,1302.5,8.549776225e-07
1.3036,0.00094524,1303.6,8.934786576e-07
1.3047,0.00095033,1304.7,9.031271089e-07
1.3059,0.00094911,1305.9,9.008097921e-07
1.3069,0.00096535,1306.9,9.319006225e-07
1.308,0.0009577,1308,9.1718929e-07
1.3092,0.00090077,1309.2,8.113865929e-07
1.3103,0.00082862,1310.3,6.866111044e-07
1.3114,0.0007505,1311.4,5.6325025e-07
1.3125,0.00067054,1312.5,4.496238916e-07
1.3136,0.0006216,1313.6,3.8638656e-07
1.3147,0.00058767,1314.7,3.453560289e-07
1.3158,0.00057401,1315.8,3.294874801e-07
1.3169,0.00057963,1316.9,3.359709369e-07
1.318,0.00062534,1318,3.910501156e-07
1.3192,0.00068383,1319.2,4.676234689e-07
1.3203,0.00075507,1320.3,5.701307049e-07
1.3214,0.00082568,1321.4,6.817474624e-07
1.3225,0.0008802,1322.5,7.7475204e-07
1.3236,0.00090177,1323.6,8.131891329e-07
1.3247,0.00089859,1324.7,8.074639881e-07
1.3258,0.00084171,1325.8,7.084757241e-07
1.327,0.0007608,1327,5.7881664e-07
1.3281,0.00068581,1328.1,4.703353561e-07
1.3292,0.00064426,1329.2,4.150709476e-07
1.3303,0.00063187,1330.3,3.992596969e-07
1.3314,0.00063185,1331.4,3.992344225e-07
1.3325,0.00061951,1332.5,3.837926401e-07
1.3337,0.00058903,1333.7,3.469563409e-07
1.3348,0.00056553,1334.8,3.198241809e-07
1.3359,0.00056973,1335.9,3.245922729e-07
1.337,0.00061022,1337,3.723684484e-07
1.3382,0.00067957,1338.2,4.618153849e-07
1.3393,0.00073204,1339.3,5.358825616e-07
1.3404,0.00075583,1340.4,5.712789889e-07
1.3415,0.00077017,1341.5,5.931618289e-07
1.3426,0.00079054,1342.6,6.249534916e-07
1.3438,0.0008029,1343.8,6.4464841e-07
1.3449,0.00080196,1344.9,6.431398416e-07
1.346,0.00082114,1346,6.742708996e-07
1.3471,0.00081948,1347.1,6.715474704e-07
1.3483,0.00081034,1348.3,6.566509156e-07
1.3494,0.00078663,1349.4,6.187867569e-07
1.3505,0.00077814,1350.5,6.055018596e-07
1.3517,0.00077284,1351.7,5.972816656e-07
1.3528,0.00073819,1352.8,5.449244761e-07
1.3539,0.00069444,1353.9,4.822469136e-07
1.3551,0.00065519,1355.1,4.292739361e-07
1.3562,0.00061886,1356.2,3.829876996e-07
1.3573,0.00061132,1357.3,3.737121424e-07
1.3585,0.00063265,1358.5,4.002460225e-07
1.3596,0.00068135,1359.6,4.642378225e-07
1.3607,0.00074799,1360.7,5.594890401e-07
1.3619,0.00081389,1361.9,6.624169321e-07
1.363,0.00086985,1363,7.566390225e-07
1.3641,0.00089315,1364.1,7.977169225e-07
1.3653,0.00089595,1365.3,8.027264025e-07
1.3664,0.00082027,1366.4,6.728428729e-07
1.3676,0.0007235,1367.6,5.2345225e-07
1.3687,0.00064932,1368.7,4.216164624e-07
1.3698,0.00060573,1369.8,3.669088329e-07
1.371,0.00060347,1371,3.641760409e-07
1.3721,0.00062199,1372.1,3.868715601e-07
1.3733,0.00065674,1373.3,4.313074276e-07
1.3744,0.0007261,1374.4,5.2722121e-07
1.3756,0.00078635,1375.6,6.183463225e-07
1.3767,0.00081664,1376.7,6.669008896e-07
1.3779,0.00080015,1377.9,6.402400225e-07
1.379,0.00075827,1379,5.749733929e-07
1.3801,0.00073583,1380.1,5.414457889e-07
1.3813,0.00073079,1381.3,5.340540241e-07
1.3824,0.0007527,1382.4,5.6655729e-07
1.3836,0.00076699,1383.6,5.882736601e-07
1.3848,0.00076824,1384.8,5.901926976e-07
1.3859,0.00077121,1385.9,5.947648641e-07
1.387,0.00076562,1387,5.861739844e-07
1.3882,0.00071312,1388.2,5.085401344e-07
1.3894,0.0006627,1389.4,4.3917129e-07
1.3905,0.00062931,1390.5,3.960310761e-07
1.3917,0.00063238,1391.7,3.999044644e-07
1.3928,0.00065715,1392.8,4.318461225e-07
1.394,0.00068215,1394,4.653286225e-07
1.3951,0.00071563,1395.1,5.121262969e-07
1.3963,0.00077536,1396.3,6.011831296e-07
1.3974,0.00085249,1397.4,7.267392001e-07
1.3986,0.00089701,1398.6,8.046269401e-07
1.3998,0.00095221,1399.8,9.067038841e-07
1.4009,0.00098514,1400.9,9.705008196e-07
1.4021,0.0010297,1402.1,1.06028209e-06
1.4032,0.0010264,1403.2,1.05349696e-06
1.4044,0.00099871,1404.4,9.974216641e-07
1.4056,0.00095731,1405.6,9.164424361e-07
1.4067,0.00096307,1406.7,9.275038249e-07
1.4079,0.00096771,1407.9,9.364626441e-07
1.409,0.00097255,1409,9.458535025e-07
1.4102,0.00094856,1410.2,8.997660736e-07
1.4114,0.00087275,1411.4,7.616925625e-07
1.4126,0.00081024,1412.6,6.564888576e-07
1.4137,0.0007378,1413.7,5.4434884e-07
1.4149,0.00069473,1414.9,4.826497729e-07
1.416,0.00069019,1416,4.763622361e-07
1.4172,0.00066871,1417.2,4.471730641e-07
1.4184,0.0006494,1418.4,4.2172036e-07
1.4195,0.00064502,1419.5,4.160508004e-07
1.4207,0.00067716,1420.7,4.585456656e-07
1.4219,0.00072973,1421.9,5.325058729e-07
1.4231,0.00080429,1423.1,6.468824041e-07
1.4242,0.00091685,1424.2,8.406139225e-07
1.4254,0.001007,1425.4,1.014049e-06
1.4266,0.0010707,1426.6,1.14639849e-06
1.4278,0.0010897,1427.8,1.18744609e-06
1.4289,0.001081,1428.9,1.168561e-06
1.4301,0.0010557,1430.1,1.11450249e-06
1.4313,0.00096839,1431.3,9.377791921e-07
1.4325,0.00087527,1432.5,7.660975729e-07
1.4336,0.00078681,1433.6,6.190699761e-07
1.4348,0.00073143,1434.8,5.349898449e-07
1.436,0.00069254,1436,4.796116516e-07
1.4372,0.00066661,1437.2,4.443688921e-07
1.4384,0.00065197,1438.4,4.250648809e-07
1.4396,0.00066312,1439.6,4.397281344e-07
1.4407,0.00067647,1440.7,4.576116609e-07
1.4419,0.00068457,1441.9,4.686360849e-07
1.4431,0.00067427,1443.1,4.546400329e-07
1.4443,0.00067418,1444.3,4.545186724e-07
1.4455,0.00069541,1445.5,4.835950681e-07
1.4467,0.00070366,1446.7,4.951373956e-07
1.4479,0.00074254,1447.9,5.513656516e-07
