dataset,mass_GeV,sigma_val,blind_lo,blind_hi,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma
2016,0.039,0.0017496509804900001,0.0350632852938975,0.0429367147061025,5700.918641692593,1.14887658390631e-05,0.5,0.0,-4335.234025875941,4535.523764046239,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.89**2 * RBF(length_scale=0.39),0.0394970657621359,0.4388562862459544,0.13165688587378632,0.38972530417405027,0.04388562862459544,79.05179694696147,2360.8063561920235,688,0.9000000000000001,10.0,8.880476738930225,22.574254066987987,250.82504518875535,222.74459793398646
2016,0.04,0.0017829184000000002,0.0359884336,0.0440115664,6525.414987011352,1.0579704271339919e-05,0.5,0.0,-3328.8223584056864,4877.9391309987195,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.57**2 * RBF(length_scale=0.398),0.03924733606075055,0.4360815117861172,0.13082445353583516,0.39836384560658544,0.04360815117861172,91.62145034161978,2355.974934255959,688,0.9,10.0,9.135077613700098,22.01297381907694,244.58859798974376,223.43358260624007
2016,0.041,0.0018162700852900004,0.0369133923080975,0.0450866076919025,6623.264854678705,8.901259157235748e-06,0.5,0.0,-3366.5470927004812,4964.923590311718,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.74**2 * RBF(length_scale=0.409),0.03901149524464547,0.4334610582738385,0.13003831748215156,0.4085314758305,0.04334610582738385,94.77253946864974,2353.2473151139243,688,0.9000000000000001,10.0,9.424871462672678,21.47890644711939,238.6545160791043,224.92881380319082
2016,0.042,0.0018497161774400001,0.037838138600760005,0.04616186139924,8752.033502472788,1.0006380075217044e-05,0.4836051946109956,0.04110725703015853,212.86800770006283,5239.739825190523,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.44**2 * RBF(length_scale=0.397),0.03878876514198728,0.4309862793554142,0.12929588380662427,0.39700204672278727,0.04309862793554142,89.16349922756287,2339.874116764913,686,0.9,10.0,9.211477620970811,20.970117261811904,233.00130290902118,214.62862874034897
2016,0.043,0.00188326655089,0.038762650260497494,0.0472373497395025,9794.854752366213,9.725197137362548e-06,0.40410340889026697,0.2427400008950222,1323.5737100203144,5453.8762950016635,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.2**2 * RBF(length_scale=0.393),0.03857843428468515,0.428649269829835,0.1285947809489505,0.3927477634899716,0.0428649269829835,84.61810747107464,2338.0682853134413,686,0.9000000000000001,10.0,9.162450309220974,20.484850785701916,227.6094531744657,208.54603046199998
2016,0.044,0.0019169308134400003,0.03968690566976,0.048313094330239996,11091.650225213925,9.739591344133528e-06,0.3318073663202733,0.43492794108695854,2558.597594583652,5690.2152010049385,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.08**2 * RBF(length_scale=0.393),0.038379850355610756,0.4264427817290084,0.12793283451870252,0.39279772728930734,0.04264427817290084,82.40357074215551,2336.44529518724,686,0.9,10.0,9.211030040107902,20.021510472115974,222.46122746795524,204.90970489666128
2016,0.045,0.00195071830625,0.0406108838109375,0.0493891161890625,13195.940372781592,1.0404033429234225e-05,0.2005506923070141,0.8396558329577523,4931.887316690474,5870.4078984408725,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.65**2 * RBF(length_scale=0.405),0.03819241363910777,0.4243601515456419,0.12730804546369257,0.4048668357721922,0.04243601515456419,93.19294125316718,2321.8026562353934,684,0.9,10.0,9.540642171456263,19.57864111734701,217.54045685941125,207.5475656710761
2016,0.046,0.0019846381038400003,0.04153456426636,0.05046543573364,11520.773845186364,8.280076912664661e-06,0.37254468598587986,0.3251211637441484,2015.9958389683588,6218.7464324553375,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.89**2 * RBF(length_scale=0.384),0.03801557132270239,0.42239523691891545,0.12671857107567464,0.38366219343871444,0.042239523691891545,79.08500473218119,2320.8332272428333,684,0.9,10.0,9.083014198674869,19.15491355786605,212.83237286517831,193.31594646720788
2016,0.047,0.00201869901409,0.0424579272182975,0.0515420727817025,10774.30223496251,7.125059211877017e-06,0.44030225175979243,0.15020294368490492,910.1258926179104,6229.339215650852,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.03**2 * RBF(length_scale=0.386),0.037848812523726454,0.4205423613747383,0.1261627084124215,0.38600791239841176,0.04205423613747383,81.5773578015948,2323.3980655584655,684,0.9000000000000001,10.0,9.178811645432468,18.749111313549705,208.32345903944113,191.2161791847996
2016,0.048,0.00205290957824,0.04338095344896,0.05261904655104,9378.999818291393,5.759194544436534e-06,0.5,0.0,-1558.5660529045786,6238.395461781806,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,9.08**2 * RBF(length_scale=0.388),0.03769166393552248,0.41879626595024977,0.12563887978507493,0.38811167825916526,0.04187962659502498,82.4368751584171,2325.704126293338,684,0.9,10.0,9.267314678141624,18.360118894197125,204.00132104663473,189.05444368957598
