scope_key,mass_MeV,truth,method,n,observed_signed_r,null_signed_r_mean,null_signed_r_sd,null_signed_r_skew,null_signed_r_excess_kurtosis,null_signed_r_q05,null_signed_r_q50,null_signed_r_q95,direct_tail_count,direct_tail_fraction,direct_tail_ci95_low,direct_tail_ci95_high,signal_bias_sigma,linearized_zero_noise_bias_sigma,linearized_sampling_sd_sigma,raw_local_rejection_count,calibrated_local_rejection_count,observed_q0_is_zero,source_toy_ledger
individual_2015_full,22,gp,fixed,500,11.359991684426843,1.9854182657080193,3.4878689020733793,-0.10270970276341611,0.09499792229961646,-4.222656633766026,2.1167503764920497,7.539186737393957,2,0.004,0.00048478617629000073,0.014374078562200309,0.7512853900855351,0.7341701247616966,1.3798252954814918,281,17,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch001/individual_2015_full/m022/validation_toys.csv.gz
individual_2015_full,22,gp,profiled,500,1.425381870113801,0.4098987826676582,0.9289608633460975,-0.14954852748888375,-0.18220418852338405,-1.1366774100746464,0.4163264954036656,1.916008178916213,70,0.14,0.1107895342640659,0.17354385649370963,0.4086672029253079,0.4056126988374789,0.9676093775730824,48,20,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch001/individual_2015_full/m022/validation_toys.csv.gz
individual_2015_full,22,stress,fixed,500,11.359991684426843,-6.359230042813268,3.5080564323057617,0.13093121557036785,-0.2224478246312005,-11.912475710238901,-6.4440368930270395,-0.35281239829957417,0,0.0,0.0,0.007350610051907784,-2.4127323580102753,-2.4902113293998753,1.329310645323275,6,0,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch001/individual_2015_full/m022/validation_toys.csv.gz
individual_2015_full,22,stress,profiled,500,1.425381870113801,-1.7142483125984596,0.9776520068332366,-0.1207347965347059,-0.26696386355413537,-3.370168943497013,-1.7185105519007262,-0.15427095105508298,0,0.0,0.0,0.007350610051907784,-1.652772557949284,-1.7387799076366712,0.9358742218307048,0,0,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch001/individual_2015_full/m022/validation_toys.csv.gz
individual_2015_full,39,gp,fixed,500,8.440848934591413,-0.47122355158704426,3.2837343088099886,-0.15771431017962076,0.051541270198446565,-6.1434011442363365,-0.36457422489006924,4.606222266674904,1,0.002,5.0634334007415215e-05,0.011092476898968787,-0.1892991693413782,-0.2185118286897205,1.3297667059012217,126,19,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m039/validation_toys.csv.gz
individual_2015_full,39,gp,profiled,500,2.2239547905804233,-0.09635682571485694,0.9689391334845442,0.030770841530188348,0.038668185366993235,-1.7383940044296338,-0.11871388932843449,1.3773390280486644,5,0.01,0.0032547214070242528,0.02318138806965964,-0.0968854549775395,-0.0979881824327453,0.9650214047048072,15,23,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m039/validation_toys.csv.gz
individual_2015_full,39,stress,fixed,500,8.440848934591413,-0.6859373648016751,3.400770556300192,0.009544075031238436,-0.17632123472138295,-6.477197284621321,-0.5885195013142306,4.685790181310438,1,0.002,5.0634334007415215e-05,0.011092476898968787,-0.274483605796152,-0.2417728380458416,1.3263146668194294,126,19,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m039/validation_toys.csv.gz
individual_2015_full,39,stress,profiled,500,2.2239547905804233,-0.2974471408795373,0.9324641689453826,0.007160177035380954,0.007649065384975895,-1.7759893980986816,-0.2259495648618257,1.1819737218366226,2,0.004,0.00048478617629000073,0.014374078562200309,-0.2966118291617868,-0.300707454122712,0.9617201342975106,9,11,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m039/validation_toys.csv.gz
individual_2015_full,50,gp,fixed,500,9.81373837369393,-1.4487776538793011,3.457167566988251,0.1726338956077242,0.3204598060644952,-6.743666135921444,-1.5701006409640237,3.8936756474215946,1,0.002,5.0634334007415215e-05,0.011092476898968787,-0.5798816485403989,-0.533690493234107,1.3245396929635778,98,10,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2015_full/m050/validation_toys.csv.gz
individual_2015_full,50,gp,profiled,500,3.0248073568306686,-0.3028550640071194,0.9247226321347239,-0.041414889735748445,0.29856130847844353,-1.7102490782356528,-0.286003442060932,1.248812071951001,0,0.0,0.0,0.007350610051907784,-0.3039719976284363,-0.3158136542450637,0.9650143430454378,10,8,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2015_full/m050/validation_toys.csv.gz
individual_2015_full,50,stress,fixed,500,9.81373837369393,1.1027769236623746,3.325130964749787,0.13399508458371673,-0.345356715106532,-4.065955004921386,0.9872884723042892,6.7860105482856214,3,0.006,0.0012390575435407504,0.017433673725913514,0.4378052088937501,0.4285850536380299,1.316107930082321,216,35,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2015_full/m050/validation_toys.csv.gz
individual_2015_full,50,stress,profiled,500,3.0248073568306686,0.13409661057511923,0.9938037015921473,-0.026906232036329615,-0.17451248734522462,-1.574992199387234,0.1375286294907802,1.7499263895357888,1,0.002,5.0634334007415215e-05,0.011092476898968787,0.1327237169305034,0.1449270149023314,0.960190209762692,35,26,False,study_results/v4p9p13_calibration_20260905/refined_v1/attempt1_batch002/individual_2015_full/m050/validation_toys.csv.gz
individual_2015_full,51,gp,fixed,500,11.906451291461677,-1.5511478128737095,3.4555343079972527,-0.025364250556757978,-0.06253980717062602,-7.155391919487233,-1.686606110938397,4.23205091351095,0,0.0,0.0,0.007350610051907784,-0.6154758666643472,-0.6244575010955415,1.364805102960638,86,6,False,study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m051/validation_toys.csv.gz
individual_2015_full,51,gp,profiled,500,3.1392368271805537,-0.2973986087360489,0.924859324421122,0.14584197307897584,0.0031916415327164493,-1.722167746269519,-0.32839496525889905,1.3162384230855582,0,0.0,0.0,0.007350610051907784,-0.2984215403403331,-0.3527084502865902,0.9639599197077684,12,17,False,study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m051/validation_toys.csv.gz
individual_2015_full,51,stress,fixed,500,11.906451291461677,0.10948873463532266,3.5198173922467517,-0.09689588748047957,0.027146718367766276,-5.622313289593517,0.22266567912689494,5.696519573941766,0,0.0,0.0,0.007350610051907784,0.042341738443625,0.0679175011823175,1.3598791476693315,165,23,False,study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m051/validation_toys.csv.gz
individual_2015_full,51,stress,profiled,500,3.1392368271805537,-0.0759154142553459,0.9496847709373578,-0.11743128691524302,-0.266716441862735,-1.6999495085183332,-0.08077345051014204,1.4638280271334418,0,0.0,0.0,0.007350610051907784,-0.0766905757477773,-0.0894140472361194,0.9612799578484608,13,23,False,study_results/v4p9p13_calibration_20260905/study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_remaining_2015_batch001/individual_2015_full/m051/validation_toys.csv.gz
