lane,mass_GeV,n_attempt_rows,n_finite_attempt_rows,branch_multiplicity,lml_spread,selected_lml,selected_const_opt,selected_ls_opt,selected_source,selected_state_reproducing_attempt_count,selected_at_kernel_bound,review_status
functional_form,0.09,2,2,1,1.6592925931036007e-06,1629.9777624551812,74.90899398610685,0.320595657884566,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.091,2,2,1,7.246635504998267e-07,1636.892839516094,74.5274615500854,0.3197727106478187,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.092,2,2,1,3.7293375498848036e-08,1633.3219556087702,75.78599425180745,0.3219169537064443,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.093,2,2,1,2.9531870495702606e-06,1633.8131602817052,76.85077566662157,0.3229426946144907,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.094,2,2,1,2.59686385106761e-06,1630.2078313725842,78.36680532013888,0.3228412661562115,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.095,2,2,1,5.433439582702704e-07,1631.1356639100932,74.02568630351716,0.3196452606407443,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.096,2,2,1,2.8654994821408764e-07,1631.3808567496808,74.64993971888332,0.3200622790704831,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.097,2,2,1,7.862663551350124e-07,1631.1633771827355,75.60499175448071,0.3210455755434823,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.098,2,2,1,8.563847586628981e-08,1631.2871553243735,76.56110812132926,0.3220070231234312,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.099,2,2,1,4.4390571929397993e-07,1625.9064290693827,76.13551594055696,0.3217974239604169,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.1,2,2,1,2.28809494728921e-06,1632.212065773453,76.50317007921,0.3224652408050216,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.101,2,2,1,1.302405507885851e-07,1626.3508145870992,77.39518045358842,0.3233641647291253,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.102,2,2,1,1.2408440852595959e-06,1626.7685718088917,78.97511629352157,0.3238783942342404,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.103,2,2,1,9.346226761408616e-07,1625.1758075660014,75.80948493647578,0.3221350852047981,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.104,2,2,1,2.5381518753420096e-07,1625.6270951097126,74.02673068307772,0.3212291229926604,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.105,2,2,1,2.7652731660054997e-08,1620.2997178755636,73.91628954039479,0.321122072970926,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.106,2,2,1,7.716660093137762e-07,1623.328471806184,77.08645253593362,0.3228542355310341,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.107,2,2,1,1.443340806872584e-07,1623.6817121189224,76.44228667837763,0.3223397878650786,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.108,2,2,1,1.1017914403055329e-06,1619.729053067343,75.42655644657486,0.3215137310507291,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.109,2,2,1,2.1155547074158676e-06,1625.7251130767615,75.91927012118272,0.3221314505049941,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.11,2,2,1,1.5550635907857213e-06,1620.275028243993,74.82475602208007,0.3211505826487479,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.111,2,2,1,2.0070460777787957e-06,1620.2136604621892,74.12525956365918,0.3206068910192497,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.112,2,2,1,4.755595455208095e-07,1621.2020028311815,71.80516432861027,0.3187618920027045,runs/functional_form/attempt_02/results_single.csv,2,False,stable_reproduced
functional_form,0.113,3,3,2,737.5567360907314,1621.4216717873803,72.97956153382874,0.3195332188113055,runs/functional_form/repairs/m113/round_01/results_single.csv,2,False,resolved_reproduced_max_lml
functional_form,0.114,2,2,1,1.9208778212487232e-07,1616.1807494647635,73.1599121567835,0.3199568131918952,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.115,2,2,1,4.6936747821746394e-08,1621.1960063273996,73.90410399673704,0.3204777669014212,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
functional_form,0.116,2,2,1,8.825845725368708e-07,1615.7656032079194,72.60469634935478,0.3196018968388561,runs/functional_form/attempt_01/results_single.csv,2,False,stable_reproduced
