dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,source_csv,source_sha256_pending
2021,0.05,0.0019941875,0.045513078125,0.054486921875,432274745.5035101,1.64,0.0467295325,0.0532704675,0.0065409349999999,0.0,1.0,8000,0.000125,True,22918.03852636904,3.44324161924784e-05,0.000151099595387,3.61340750396374,16888.157468926576,4682.259990273924,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.31**2 * RBF(length_scale=0.328),0.0430198208653474,0.586633920891102,0.1588612167593829,0.3279651277889421,0.0391089280594068,53.50477882670913,1683.6256085738326,402,9,393,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.385940092522103,21.57260581833327,294.1718975227264,164.46052730194234,runs/gp_mean/attempt_01/results_single.csv,False
2021,0.05,0.0019941875,0.045513078125,0.054486921875,432274745.5035101,1.64,0.0467295325,0.0532704675,0.0065409349999999,0.0,1.0,8000,0.000125,True,22917.993891648453,3.4432349132582584e-05,0.0001511011124912,3.6134049018115912,16888.146139985092,4682.260207892874,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.31**2 * RBF(length_scale=0.328),0.0430198208653474,0.586633920891102,0.1588612167593829,0.3279652693186367,0.0391089280594068,53.505292409202255,1683.6256089168749,402,9,393,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.385943711381058,21.57260581833327,294.1718975227264,164.46059827304936,runs/gp_mean/attempt_02/results_single.csv,False
2021,0.051,0.002001485875,0.04649665678125,0.0555033432187499,505722115.71658146,1.64,0.047717563165,0.0542824368349999,0.0065648736699999,0.0,1.0,8000,0.000125,True,17825.419256257923,2.2442826554144356e-05,0.0091984818948407,2.3575300999334954,11501.366243310147,4896.90985210667,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.32**2 * RBF(length_scale=0.328),0.0423437473933882,0.5774147371825666,0.1563646500091317,0.3283575471787989,0.0384943158121711,53.57745779639617,1677.5231959983123,401,10,391,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.530026842949603,21.15615599504954,288.4930362961301,164.05688957400156,runs/gp_mean/attempt_01/results_single.csv,False
2021,0.051,0.002001485875,0.04649665678125,0.0555033432187499,505722115.71658146,1.64,0.047717563165,0.0542824368349999,0.0065648736699999,0.0,1.0,8000,0.000125,True,17825.468968075078,2.244288914306157e-05,0.0091983088582776,2.357537084259477,11501.395016603914,4896.907563879872,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.32**2 * RBF(length_scale=0.328),0.0423437473933882,0.5774147371825666,0.1563646500091317,0.328358232598922,0.0384943158121711,53.57937505410082,1677.5231959011946,401,10,391,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.530044648698548,21.15615599504954,288.4930362961301,164.05723202964,runs/gp_mean/attempt_02/results_single.csv,False
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,7758.238739285767,8.317382201295293e-06,0.5,0.0,-537.255176131761,4918.764050524355,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.69**2 * RBF(length_scale=0.322),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3219776375898004,0.0379061660828008,59.085036856989525,1674.7373988634424,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.494070249322611,20.75544844739304,283.02884246445046,160.27112469850033,runs/gp_mean/attempt_01/results_single.csv,False
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,7758.341274426561,8.31749212623879e-06,0.5,0.0,-537.0376570123466,4918.746252603691,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.69**2 * RBF(length_scale=0.322),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3219790110947595,0.0379061660828008,59.083914777816126,1674.7373990883225,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.494106483663908,20.75544844739304,283.02884246445046,160.27180838941197,runs/gp_mean/attempt_02/results_single.csv,False
2021,0.053,0.002016597875,0.0484626547812499,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.00661444103,0.0,1.0,8000,0.000125,True,5649.856917925703,5.229115279511617e-06,0.5,0.0,-7992.476038288938,5057.218404136759,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.66**2 * RBF(length_scale=0.321),0.0410773062694674,0.5601450854927381,0.1516880062237032,0.3207579188874869,0.0373430056995158,58.60595878506484,1670.8646227144884,402,14,388,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.589504590725683,20.369607039017364,277.76736871387317,159.05893924810712,runs/gp_mean/attempt_01/results_single.csv,False
2021,0.053,0.002016597875,0.0484626547812499,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.00661444103,0.0,1.0,8000,0.000125,True,5649.884622663312,5.229140921093139e-06,0.5,0.0,-7992.309592534484,5057.208786761304,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.66**2 * RBF(length_scale=0.321),0.0410773062694674,0.5601450854927381,0.1516880062237032,0.3207594076676325,0.0373430056995158,58.60963059876016,1670.8646234098371,402,14,388,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.58954445843632,20.369607039017364,277.76736871387317,159.05967751137914,runs/gp_mean/attempt_02/results_single.csv,False
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.00664006972,0.0,1.0,8000,0.000125,True,5242.802723162238,4.240805546007348e-06,0.5,0.0,-15009.34069851008,5447.907562179461,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.43**2 * RBF(length_scale=0.319),0.0404838157112043,0.552052032425514,0.1494963970927404,0.3189350610323578,0.0368034688283676,55.15803030735817,1665.460361138403,401,15,386,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.665896753366008,19.99781947059892,272.6975382354398,157.54458074969335,runs/gp_mean/attempt_01/results_single.csv,False
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.00664006972,0.0,1.0,8000,0.000125,True,5242.802715780064,4.240805540036044e-06,0.4999311292015692,0.0001726334915006,-15009.328940291824,5447.906475256706,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.43**2 * RBF(length_scale=0.319),0.0404838157112043,0.552052032425514,0.1494963970927404,0.3189351777245457,0.0368034688283676,55.158268330079835,1665.4603607921442,401,15,386,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.6658999240505,19.99781947059892,272.6975382354398,157.54463839221708,runs/gp_mean/attempt_02/results_single.csv,False
