dataset,mass_GeV,sigma_val,blind_lo,blind_hi,integral_density,density_nsigma,density_window_lo,density_window_hi,density_window_width,density_source_lo,density_source_hi,density_source_n_bins,density_source_bin_width_median,density_window_fully_covered,A_up,eps2_up,p0_analytic,Z_analytic,A_hat,sigma_A,extract_success,cls_statistic,cls_calibration,signal_model,global_method,visibility,kernel_str,ls_lo,ls_hi,ls_init,ls_opt,sigma_x,const_opt,lml,n_train,n_train_low,n_train_high,n_full,n_blind,train_domain_lo,train_domain_hi,bin_width_median,const_init,const_lo,const_hi,const_at_lower,const_at_upper,ls_at_lower,ls_at_upper,optimizer_restarts,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_lo_over_sigma,ls_hi_over_sigma,ls_opt_over_sigma,source_csv,source_sha256_pending,selected_source,selected_state_reproducing_attempt_count,reproducing_sources,all_attempt_sources,attempt_row_count,finite_attempt_row_count,branch_multiplicity,attempt_lml_spread,optimizer_repair_applied,review_status,interpolated
2021,0.05,0.0019941875,0.045513078125,0.054486921875,432274745.5035101,1.64,0.0467295325,0.0532704675,0.0065409349999999,0.0,1.0,8000,0.000125,True,27684.75114603401,4.1593999091529695e-05,9.814910870395903e-07,4.757198403726919,21759.634710739083,4584.966893803751,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.59**2 * RBF(length_scale=0.335),0.0430198208653474,0.586633920891102,0.1588612167593829,0.3353260659546819,0.0391089280594068,57.63547287782156,1679.397780354415,402,9,393,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.574156403502514,21.57260581833327,294.1718975227264,168.15172392499798,runs/functional_form/attempt_02/results_single.csv,False,runs/functional_form/attempt_02/results_single.csv,2,runs/functional_form/attempt_02/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,2.1457799448398873e-07,False,stable_reproduced,False
2021,0.051,0.002001485875,0.04649665678125,0.0555033432187499,505722115.71658146,1.64,0.047717563165,0.0542824368349999,0.0065648736699999,0.0,1.0,8000,0.000125,True,23741.69971033877,2.989163065618514e-05,0.0001324911251667,3.647327346091582,17500.779351515146,4819.253732915793,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.71**2 * RBF(length_scale=0.337),0.0423437473933882,0.5774147371825666,0.1563646500091317,0.3369438248127438,0.0384943158121711,59.472107282105824,1673.4697066877625,401,10,391,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.753079973075119,21.15615599504954,288.4930362961301,168.34684122501932,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,6.732232122885762e-07,False,stable_reproduced,False
2021,0.052,0.002008956,0.047479849,0.056520151,582496150.2912881,1.64,0.04870531216,0.0552946878399999,0.0065893756799999,0.0,1.0,8000,0.000125,True,10779.44084340621,1.1556325143342552e-05,0.2122430440526168,0.7986625835628638,3884.78374141509,4873.837989328027,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.35**2 * RBF(length_scale=0.328),0.0416967826910809,0.5685924912420126,0.1539755745145915,0.3277029140538569,0.0379061660828008,69.66917253119486,1667.3920545659892,402,12,390,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.645108379941,20.75544844739304,283.02884246445046,163.12100118362815,runs/functional_form/repairs/m052/round_01/results_single.csv,False,runs/functional_form/repairs/m052/round_01/results_single.csv,2,runs/functional_form/repairs/m052/round_01/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv|runs/functional_form/repairs/m052/round_01/results_single.csv,3,3,2,61.29735806361123,True,resolved_reproduced_max_lml,False
2021,0.053,0.002016597875,0.0484626547812499,0.05753734521875,661992830.0519445,1.64,0.049692779485,0.056307220515,0.00661444103,0.0,1.0,8000,0.000125,True,6127.816640621785,5.67148161289813e-06,0.5,0.0,-5423.68983830362,5018.526116810713,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.22**2 * RBF(length_scale=0.325),0.0410773062694674,0.5601450854927381,0.1516880062237032,0.3251997005042238,0.0373430056995158,67.57973557493993,1663.2237579609491,402,14,388,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.708450067489876,20.369607039017364,277.76736871387317,161.2615507215209,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,1.9551030163711403e-06,False,stable_reproduced,False
2021,0.054,0.0020244115,0.049445074125,0.058554925875,743432117.467634,1.64,0.05067996514,0.05732003486,0.00664006972,0.0,1.0,8000,0.000125,True,5118.144750503665,4.139972032003668e-06,0.5,0.0,-15461.89838446134,5381.3549668737505,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.78**2 * RBF(length_scale=0.324),0.0404838157112043,0.552052032425514,0.1494963970927404,0.323998609197051,0.0368034688283676,60.46396649089237,1659.1467598648735,401,15,386,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.803480202043275,19.99781947059892,272.6975382354398,160.04582526677555,runs/functional_form/attempt_02/results_single.csv,False,runs/functional_form/attempt_02/results_single.csv,2,runs/functional_form/attempt_02/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,1.1831543815787882e-06,False,stable_reproduced,False
2021,0.055,0.002032396875,0.05042710703125,0.05957289296875,825863093.242175,1.64,0.051666869125,0.058333130875,0.0066662617499999,0.0,1.0,8000,0.000125,True,4849.95376379661,3.467262898341287e-06,0.5,0.0,-20146.54177465795,5480.365770219824,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.83**2 * RBF(length_scale=0.326),0.0399149161083646,0.5442943105686093,0.1473955960828078,0.3259294125232804,0.0362862873712406,61.3000743049113,1664.2983351467813,402,17,385,416,14,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,8.982164782765896,19.639331569216612,267.8090668529538,160.36701125279993,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,7.446660674759187e-07,False,stable_reproduced,False
2021,0.056,0.002040554,0.0514087535,0.0605912465,908527012.009006,1.64,0.05265349144,0.05934650856,0.00669301712,0.0,1.0,8000,0.000125,True,5026.056828588344,3.207904610177673e-06,0.5,0.0,-21225.215156961996,5716.465162318594,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,7.88**2 * RBF(length_scale=0.33),0.0393693106142212,0.5368542356484718,0.1453808142699889,0.3298306935990004,0.0357902823765647,62.06764806426276,1660.5606127510212,401,18,383,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.215649380150492,19.293442180026243,263.0923933639942,161.6378167884802,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,9.349387255497277e-07,False,stable_reproduced,False
2021,0.057,0.002048882875,0.05239001353125,0.06160998646875,990712198.9884846,1.64,0.053639832085,0.060360167915,0.0067203358299999,0.0,1.0,8000,0.000125,True,5674.169770292116,3.2628708304852004e-06,0.5,0.0,-14904.228119263693,5787.083319798539,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.53**2 * RBF(length_scale=0.331),0.0388457919743114,0.5297153451042469,0.1434475935717297,0.3314302378237129,0.0353143563402831,72.68398148046673,1654.9457246669788,401,20,381,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.3851416865738,18.959498587400432,258.53861710091496,161.7614368628626,runs/functional_form/attempt_02/results_single.csv,False,runs/functional_form/attempt_02/results_single.csv,2,runs/functional_form/attempt_02/results_single.csv|runs/functional_form/attempt_01/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,2.1682878923456883e-06,False,stable_reproduced,False
2021,0.058,0.0020573835,0.053370887125,0.062629112875,1071829864.4825622,1.64,0.05462589106,0.06137410894,0.00674821788,0.0,1.0,8000,0.000125,True,7656.200933124777,3.999257773109957e-06,0.4999311292015692,0.0001726334915006,-4760.1228340824755,5908.8767991679715,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.57**2 * RBF(length_scale=0.327),0.0383432349203511,0.5228622943684247,0.1415917786595051,0.3266578734411521,0.0348574862912283,73.40081847136618,1651.922886804594,401,21,380,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.37124010354567,18.63689240258374,254.13944185341464,158.77344862596212,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,8.910819815355353e-08,False,stable_reproduced,False
2021,0.059,0.002066055875,0.0543513742812499,0.0636486257187499,1151233300.2195165,1.64,0.055611668365,0.0623883316349999,0.0067766632699999,0.0,1.0,8000,0.000125,True,14066.63771883964,6.725039964500081e-06,0.1685845489775324,0.9597737468396018,5757.11551754804,6005.3529563367565,True,tilde_q_mu,asymptotic,default,sidak_approx,observed,8.1**2 * RBF(length_scale=0.322),0.0378605893261601,0.516280763538548,0.139809491685398,0.3220259664339198,0.0344187175692365,65.61602193082767,1654.4885509749113,401,23,378,416,15,0.04,0.3,0.000625,1.0,1e-08,1e+18,False,False,False,False,12,1.1,15.0,9.35612914066696,18.325055863341635,249.88712540920412,155.8650810612369,runs/functional_form/attempt_01/results_single.csv,False,runs/functional_form/attempt_01/results_single.csv,2,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,runs/functional_form/attempt_01/results_single.csv|runs/functional_form/attempt_02/results_single.csv,2,2,1,1.371861344523495e-06,False,stable_reproduced,False
