scenario,background_toy_index,mass_MeV,mass_GeV,lower_factor,upper_factor,strict_lml_tolerance,gate_lml_per_train_tolerance,comparable,reason,n_train,lower_lml,upper_lml,delta_lml_upper_minus_lower,delta_lml_per_train,strict_nested_order_violation,material_nested_order_violation,same_input_geometry
2021_1pct_x10,9,50,0.05,15,20,0.0001,0.001,True,,402,1635.3051056076708,1635.3051046713674,-9.36303422349738e-07,-2.329112990919746e-09,False,False,True
2021_1pct_x10,9,50,0.05,20,25,0.0001,0.001,True,,402,1635.3051046713674,1635.3051041917804,-4.795870154339354e-07,-1.1930025259550632e-09,False,False,True
2021_1pct_x10,9,70,0.07,15,20,0.0001,0.001,True,,400,1612.1198980966694,1612.119898237824,1.4115448720986024e-07,3.528862180246506e-10,False,False,True
2021_1pct_x10,9,70,0.07,20,25,0.0001,0.001,True,,400,1612.119898237824,1612.119898467549,2.2972517399466597e-07,5.743129349866649e-10,False,False,True
2021_1pct_x10,9,90,0.09,15,20,0.0001,0.001,True,,398,1601.9076817114405,1601.9076794255311,-2.2859094315208495e-06,-5.743491033971983e-09,False,False,True
2021_1pct_x10,9,90,0.09,20,25,0.0001,0.001,True,,398,1601.9076794255311,1601.9076792768965,-1.4863462638459168e-07,-3.73453835137165e-10,False,False,True
2021_1pct_x10,9,110,0.11,15,20,0.0001,0.001,True,,396,1596.3444102993772,1598.3437062272828,1.9992959279056777,0.005048727090670903,False,False,True
2021_1pct_x10,9,110,0.11,20,25,0.0001,0.001,True,,396,1598.3437062272828,1598.3437061894952,-3.778768586926162e-08,-9.542344916480207e-11,False,False,True
2021_1pct_x10,9,130,0.13,15,20,0.0001,0.001,True,,394,1595.333307364317,1597.9740156867351,2.6407083224180496,0.0067023053868478415,False,False,True
2021_1pct_x10,9,130,0.13,20,25,0.0001,0.001,True,,394,1597.9740156867351,1597.974016439386,7.526509762101341e-07,1.9102816655079547e-09,False,False,True
2021_1pct_x10,9,150,0.15,15,20,0.0001,0.001,True,,390,1577.6914986881427,1580.888790593064,3.197291904921258,0.008198184371592969,False,False,True
2021_1pct_x10,9,150,0.15,20,25,0.0001,0.001,True,,390,1580.888790593064,1580.8887898099094,-7.831545190128963e-07,-2.0080885102894777e-09,False,False,True
2021_1pct_x10,9,170,0.17,15,20,0.0001,0.001,True,,386,1566.391914754929,1568.7522888346798,2.360374079750727,0.006114958755830899,False,False,True
2021_1pct_x10,9,170,0.17,20,25,0.0001,0.001,True,,386,1568.7522888346798,1568.7522896338905,7.992107384779956e-07,2.070494141134704e-09,False,False,True
2021_1pct_x10,9,190,0.19,15,20,0.0001,0.001,True,,382,1558.1178408157994,1558.9149627444926,0.7971219286932865,0.002086706619615933,False,False,True
2021_1pct_x10,9,190,0.19,20,25,0.0001,0.001,True,,382,1558.9149627444926,1558.9149612991714,-1.4453212315856945e-06,-3.783563433470404e-09,False,False,True
2021_1pct_x10,9,210,0.21,15,20,0.0001,0.001,True,,378,1552.5607691915322,1552.7447978952853,0.18402870375302882,0.00048684842262706037,False,False,True
2021_1pct_x10,9,210,0.21,20,25,0.0001,0.001,True,,378,1552.7447978952853,1552.744798467413,5.7212764659198e-07,1.5135652026242858e-09,False,False,True
2021_1pct_x10,9,230,0.23,15,20,0.0001,0.001,True,,372,1535.0832978749313,1535.0985641042307,0.01526622929941368,4.103825080487549e-05,False,False,True
2021_1pct_x10,9,230,0.23,20,25,0.0001,0.001,True,,372,1535.0985641042307,1535.0985652859163,1.1816855476354249e-06,3.1765740527834003e-09,False,False,True
2021_1pct_x10,9,250,0.25,15,20,0.0001,0.001,True,,366,1525.1567299594965,1525.1567316470039,1.6875073924893513e-06,4.610675935763255e-09,False,False,True
2021_1pct_x10,9,250,0.25,20,25,0.0001,0.001,True,,366,1525.1567316470039,1525.1567307754597,-8.715442163520493e-07,-2.381268350688659e-09,False,False,True
