lane,mass_GeV,attempt_row_count,finite_attempt_row_count,branch_multiplicity,selected_lml,selected_const_opt,selected_ls_opt,selected_source,selected_state_reproducing_attempt_count,selected_at_kernel_bound,review_status
gp_mean,0.055,2,2,1,1673.9768845043438,56.57266838050104,0.3181120037591662,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.056,2,2,1,1668.0778407296011,56.95877532808519,0.3195819646625552,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.057,2,2,1,1664.528529923744,61.75253305645408,0.3207621790638114,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.058,2,2,1,1662.129952983733,63.20457551061244,0.3187896131775654,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.059,2,2,1,1660.6920024987633,62.106638144380824,0.3181673639606766,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.06,2,2,1,1665.0599873830945,60.54880434408447,0.3163596332124855,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.061,2,2,1,1658.9894287526024,58.8074500405283,0.315584671811169,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.062,3,3,2,1657.033487891454,62.968841939585275,0.3188160664238681,runs/gp_mean/attempt_01/results_single.csv,2,False,resolved_reproduced_max_lml
gp_mean,0.063,2,2,1,1656.8200411995624,62.92012076944632,0.3190816647841048,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.064,2,2,1,1654.941058967691,66.36477927664797,0.3195179631403099,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.065,3,3,2,1648.806088371629,66.34397622158592,0.3194697192009296,runs/gp_mean/attempt_01/results_single.csv,2,False,resolved_reproduced_max_lml
gp_mean,0.066,2,2,1,1655.8004632189256,69.27054575955215,0.3213660212034762,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.067,2,2,1,1650.5854528000366,66.20096202345346,0.3196388321507416,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.068,2,2,1,1651.8610190477025,65.45733677082058,0.3195892502340753,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.069,2,2,1,1658.4261931689755,64.82906890429886,0.3199848337954308,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.07,2,2,1,1652.661829196955,65.56300753255468,0.3199784280687975,runs/gp_mean/attempt_02/results_single.csv,2,False,stable_reproduced
gp_mean,0.071,2,2,1,1659.981973849963,66.27054056360699,0.321508947091751,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.072,2,2,1,1654.123439007256,66.45170192081287,0.3212844619645885,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.073,2,2,1,1654.6194374234767,65.26911422001085,0.3194474056716778,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.074,2,2,1,1656.7292341879568,68.00844451477424,0.3219302073861227,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
gp_mean,0.075,2,2,1,1656.9722664259923,67.94415538946431,0.3215472334774485,runs/gp_mean/attempt_01/results_single.csv,2,False,stable_reproduced
